schema	item	weight	n_unique	H_bits	stack_discriminative_bits	classification
v1	loss_form	10	1	0.000000	0.000000	PLACEBO
v1	ref_policy_kl	10	1	0.000000	0.000000	PLACEBO
v1	sampler_backend_precision	20	1	0.000000	0.000000	PLACEBO
v1	per_step_zvf_path	20	98	6.614710	0.000000	CELL_IDENTIFIER
v1	group_size_schedule	10	5	2.312122	2.312122	VARYING_STACK_DESCRIPTOR
v1	heldout_split	10	3	1.554608	1.554608	VARYING_STACK_DESCRIPTOR
v1	decontamination_notes	20	2	0.931304	0.931304	VARYING_STACK_DESCRIPTOR
v2	model_family	10	2	0.998798	0.998798	VARYING_STACK_DESCRIPTOR
v2	task_slice	10	3	1.554608	1.554608	VARYING_STACK_DESCRIPTOR
v2	G	5	5	2.312122	2.312122	VARYING_STACK_DESCRIPTOR
v2	temperature	5	2	0.995188	0.995188	VARYING_STACK_DESCRIPTOR
v2	seed	5	2	1.000000	1.000000	VARYING_STACK_DESCRIPTOR
