method	metric	n	point	lo	hi
grpo	zvf	40	0.7203	0.6875	0.7531
grpo	reward_mean	40	0.8342	0.8098	0.8578
grpo	pcd	40	0.0477	0.0414	0.0542
grpo	lag1_autocorr	38	-0.0171	-0.1284	0.092
grpo	mean_len	40	351.6457	341.8471	361.69
grpo	loss	40	347.3155	281.4387	414.821
aero	zvf	40	0.7203	0.6891	0.7516
aero	reward_mean	40	0.8275	0.8033	0.8516
aero	pcd	40	0.0497	0.0433	0.0564
aero	lag1_autocorr	38	0.0372	-0.0631	0.1399
aero	mean_len	40	365.8088	358.5322	373.4455
aero	loss	40	301.1095	243.44	360.8323
gift	zvf	40	0.7703	0.7312	0.8094
gift	reward_mean	40	0.8447	0.8187	0.8695
gift	pcd	40	0.0399	0.0328	0.0468
gift	lag1_autocorr	38	-0.2065	-0.3301	-0.0852
gift	mean_len	40	350.9037	340.9629	361.3443
gift	loss	40	-17527.6982	-18072.6411	-16976.8939
areal	zvf	40	0.7063	0.6703	0.7406
areal	reward_mean	40	0.8287	0.8047	0.852
areal	pcd	40	0.05	0.0435	0.0565
areal	lag1_autocorr	38	0.0153	-0.1111	0.1441
areal	mean_len	40	366.2506	358.9297	373.8482
areal	loss	40	341.0149	275.8676	408.3945
