rate	rule	mean_cpd_usd	mean_cpf_usd	mean_n_llm	n_trees
0.0005	absolute_band	0.0001	0.29583000000000004	0.0	3
0.0005	gradient_band	0.0001050806206267113	0.31116000000000005	55.666666666666664	3
0.0005	xgb_only	0.0001	0.29583000000000004	0.0	3
0.001	absolute_band	0.0001	0.12058444444444445	0.0	3
0.001	gradient_band	0.00010480437867423476	0.12646444444444446	52.666666666666664	3
0.001	xgb_only	0.0001	0.12058444444444445	0.0	3
0.005	absolute_band	0.00010039370078740158	0.023937612903225807	4.333333333333333	3
0.005	gradient_band	0.000103694730466384	0.024771806451612904	40.666666666666664	3
0.005	xgb_only	0.0001	0.023859612903225805	0.0	3
0.01	absolute_band	0.00010078344716753717	0.01267540933140933	8.666666666666666	3
0.01	gradient_band	0.00010222981116914424	0.012918530543530544	24.666666666666668	3
0.01	xgb_only	0.0001	0.012597045695045696	0.0	3
0.0144	absolute_band	0.00010132	0.009063253649423862	14.666666666666666	3
0.0144	gradient_band	0.00010171000000000001	0.009156602853411364	19.0	3
0.0144	xgb_only	0.0001	0.008968572798360032	0.0	3
