axis	metric	eta2	metric_mean	n_levels
n_estimators	auc	0.12471781932869347	0.9749064222564415	3
n_estimators	f1	0.14270074538933697	0.6971926158720202	3
n_estimators	brier	0.08009474889146027	0.0094923538597507	3
n_estimators	ece	0.05344187505505873	0.034010184583197815	3
max_depth	auc	0.4921137525861651	0.9749064222564415	3
max_depth	f1	0.5877701628148531	0.6971926158720202	3
max_depth	brier	0.3398769678312193	0.0094923538597507	3
max_depth	ece	0.157000951092987	0.034010184583197815	3
learning_rate	auc	0.10735702179825418	0.9749064222564415	3
learning_rate	f1	0.1454153921237537	0.6971926158720202	3
learning_rate	brier	0.0745690915602219	0.0094923538597507	3
learning_rate	ece	0.059385821509990944	0.034010184583197815	3
subsample	auc	0.0013849375676594437	0.9749064222564415	3
subsample	f1	0.0014047099705200537	0.6971926158720202	3
subsample	brier	0.0011202349761757018	0.0094923538597507	3
subsample	ece	0.0014607504064819451	0.034010184583197815	3
scale_pos_weight	auc	0.010726860129996569	0.9749064222564415	3
scale_pos_weight	f1	0.044676906417220864	0.6971926158720202	3
scale_pos_weight	brier	0.23499686933218417	0.0094923538597507	3
scale_pos_weight	ece	0.42257481651131945	0.034010184583197815	3
