method	policy	step	G_t	cost_t	obs_zvf	proj_zvf	proj_contrast
gift	AG_HYB	7	8	1.0	0.6875	0.7645	0.2355
gift	AG_HYB	8	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	9	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	10	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	11	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	12	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	13	8	1.0	0.5625	0.7645	0.2355
gift	AG_HYB	14	12	1.5	0.8125	0.7542	0.2458
gift	AG_HYB	15	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	16	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	17	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	18	8	1.0	0.625	0.7645	0.2355
gift	AG_HYB	19	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	20	8	1.0	0.6875	0.7645	0.2355
gift	AG_HYB	21	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	22	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	23	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	24	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	25	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	26	12	1.5	0.8125	0.7542	0.2458
gift	AG_HYB	27	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	28	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	29	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	30	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	31	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	32	12	1.5	0.75	0.7542	0.2458
gift	AG_HYB	33	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	34	12	1.5	1.0	0.7542	0.2458
gift	AG_HYB	35	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	36	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	37	12	1.5	0.875	0.7542	0.2458
gift	AG_HYB	38	12	1.5	0.9375	0.7542	0.2458
gift	AG_HYB	39	12	1.5	0.8125	0.7542	0.2458
areal	BASE	0	8	1.0	0.6875	0.7397	0.2603
areal	BASE	1	8	1.0	0.5	0.7397	0.2603
areal	BASE	2	8	1.0	0.6875	0.7397	0.2603
areal	BASE	3	8	1.0	0.6875	0.7397	0.2603
areal	BASE	4	8	1.0	0.5	0.7397	0.2603
areal	BASE	5	8	1.0	0.75	0.7397	0.2603
areal	BASE	6	8	1.0	0.6875	0.7397	0.2603
areal	BASE	7	8	1.0	0.875	0.7397	0.2603
areal	BASE	8	8	1.0	0.625	0.7397	0.2603
areal	BASE	9	8	1.0	0.6875	0.7397	0.2603
areal	BASE	10	8	1.0	0.6875	0.7397	0.2603
areal	BASE	11	8	1.0	0.5	0.7397	0.2603
areal	BASE	12	8	1.0	0.8125	0.7397	0.2603
areal	BASE	13	8	1.0	0.5625	0.7397	0.2603
areal	BASE	14	8	1.0	0.6875	0.7397	0.2603
areal	BASE	15	8	1.0	0.6875	0.7397	0.2603
areal	BASE	16	8	1.0	0.625	0.7397	0.2603
areal	BASE	17	8	1.0	0.5	0.7397	0.2603
areal	BASE	18	8	1.0	0.5625	0.7397	0.2603
areal	BASE	19	8	1.0	0.75	0.7397	0.2603
areal	BASE	20	8	1.0	0.6875	0.7397	0.2603
areal	BASE	21	8	1.0	0.6875	0.7397	0.2603
areal	BASE	22	8	1.0	0.8125	0.7397	0.2603
areal	BASE	23	8	1.0	0.8125	0.7397	0.2603
areal	BASE	24	8	1.0	0.875	0.7397	0.2603
areal	BASE	25	8	1.0	0.625	0.7397	0.2603
areal	BASE	26	8	1.0	0.875	0.7397	0.2603
areal	BASE	27	8	1.0	0.9375	0.7397	0.2603
areal	BASE	28	8	1.0	0.875	0.7397	0.2603
areal	BASE	29	8	1.0	0.8125	0.7397	0.2603
areal	BASE	30	8	1.0	0.75	0.7397	0.2603
areal	BASE	31	8	1.0	0.5625	0.7397	0.2603
areal	BASE	32	8	1.0	0.75	0.7397	0.2603
areal	BASE	33	8	1.0	0.625	0.7397	0.2603
areal	BASE	34	8	1.0	0.6875	0.7397	0.2603
areal	BASE	35	8	1.0	0.8125	0.7397	0.2603
areal	BASE	36	8	1.0	0.75	0.7397	0.2603
areal	BASE	37	8	1.0	0.6875	0.7397	0.2603
areal	BASE	38	8	1.0	0.8125	0.7397	0.2603
areal	BASE	39	8	1.0	0.75	0.7397	0.2603
areal	STATIC16	0	16	2.0	0.6875	0.703	0.297
areal	STATIC16	1	16	2.0	0.5	0.703	0.297
areal	STATIC16	2	16	2.0	0.6875	0.703	0.297
areal	STATIC16	3	16	2.0	0.6875	0.703	0.297
areal	STATIC16	4	16	2.0	0.5	0.703	0.297
areal	STATIC16	5	16	2.0	0.75	0.703	0.297
areal	STATIC16	6	16	2.0	0.6875	0.703	0.297
areal	STATIC16	7	16	2.0	0.875	0.703	0.297
areal	STATIC16	8	16	2.0	0.625	0.703	0.297
areal	STATIC16	9	16	2.0	0.6875	0.703	0.297
areal	STATIC16	10	16	2.0	0.6875	0.703	0.297
areal	STATIC16	11	16	2.0	0.5	0.703	0.297
areal	STATIC16	12	16	2.0	0.8125	0.703	0.297
areal	STATIC16	13	16	2.0	0.5625	0.703	0.297
areal	STATIC16	14	16	2.0	0.6875	0.703	0.297
areal	STATIC16	15	16	2.0	0.6875	0.703	0.297
areal	STATIC16	16	16	2.0	0.625	0.703	0.297
areal	STATIC16	17	16	2.0	0.5	0.703	0.297
areal	STATIC16	18	16	2.0	0.5625	0.703	0.297
areal	STATIC16	19	16	2.0	0.75	0.703	0.297
areal	STATIC16	20	16	2.0	0.6875	0.703	0.297
areal	STATIC16	21	16	2.0	0.6875	0.703	0.297
areal	STATIC16	22	16	2.0	0.8125	0.703	0.297
areal	STATIC16	23	16	2.0	0.8125	0.703	0.297
areal	STATIC16	24	16	2.0	0.875	0.703	0.297
areal	STATIC16	25	16	2.0	0.625	0.703	0.297
areal	STATIC16	26	16	2.0	0.875	0.703	0.297
areal	STATIC16	27	16	2.0	0.9375	0.703	0.297
areal	STATIC16	28	16	2.0	0.875	0.703	0.297
areal	STATIC16	29	16	2.0	0.8125	0.703	0.297
areal	STATIC16	30	16	2.0	0.75	0.703	0.297
areal	STATIC16	31	16	2.0	0.5625	0.703	0.297
areal	STATIC16	32	16	2.0	0.75	0.703	0.297
areal	STATIC16	33	16	2.0	0.625	0.703	0.297
areal	STATIC16	34	16	2.0	0.6875	0.703	0.297
areal	STATIC16	35	16	2.0	0.8125	0.703	0.297
areal	STATIC16	36	16	2.0	0.75	0.703	0.297
areal	STATIC16	37	16	2.0	0.6875	0.703	0.297
areal	STATIC16	38	16	2.0	0.8125	0.703	0.297
areal	STATIC16	39	16	2.0	0.75	0.703	0.297
areal	AG8	0	8	1.0	0.6875	0.7397	0.2603
areal	AG8	1	8	1.0	0.5	0.7397	0.2603
areal	AG8	2	8	1.0	0.6875	0.7397	0.2603
areal	AG8	3	8	1.0	0.6875	0.7397	0.2603
areal	AG8	4	8	1.0	0.5	0.7397	0.2603
areal	AG8	5	16	2.0	0.75	0.703	0.297
areal	AG8	6	8	1.0	0.6875	0.7397	0.2603
areal	AG8	7	16	2.0	0.875	0.703	0.297
areal	AG8	8	8	1.0	0.625	0.7397	0.2603
areal	AG8	9	8	1.0	0.6875	0.7397	0.2603
areal	AG8	10	8	1.0	0.6875	0.7397	0.2603
areal	AG8	11	8	1.0	0.5	0.7397	0.2603
areal	AG8	12	16	2.0	0.8125	0.703	0.297
areal	AG8	13	8	1.0	0.5625	0.7397	0.2603
areal	AG8	14	8	1.0	0.6875	0.7397	0.2603
areal	AG8	15	8	1.0	0.6875	0.7397	0.2603
areal	AG8	16	8	1.0	0.625	0.7397	0.2603
areal	AG8	17	8	1.0	0.5	0.7397	0.2603
areal	AG8	18	8	1.0	0.5625	0.7397	0.2603
areal	AG8	19	16	2.0	0.75	0.703	0.297
areal	AG8	20	8	1.0	0.6875	0.7397	0.2603
areal	AG8	21	8	1.0	0.6875	0.7397	0.2603
areal	AG8	22	16	2.0	0.8125	0.703	0.297
areal	AG8	23	16	2.0	0.8125	0.703	0.297
areal	AG8	24	16	2.0	0.875	0.703	0.297
areal	AG8	25	8	1.0	0.625	0.7397	0.2603
areal	AG8	26	16	2.0	0.875	0.703	0.297
areal	AG8	27	16	2.0	0.9375	0.703	0.297
areal	AG8	28	16	2.0	0.875	0.703	0.297
areal	AG8	29	16	2.0	0.8125	0.703	0.297
areal	AG8	30	16	2.0	0.75	0.703	0.297
areal	AG8	31	8	1.0	0.5625	0.7397	0.2603
areal	AG8	32	16	2.0	0.75	0.703	0.297
areal	AG8	33	8	1.0	0.625	0.7397	0.2603
areal	AG8	34	8	1.0	0.6875	0.7397	0.2603
areal	AG8	35	16	2.0	0.8125	0.703	0.297
areal	AG8	36	16	2.0	0.75	0.703	0.297
areal	AG8	37	8	1.0	0.6875	0.7397	0.2603
areal	AG8	38	16	2.0	0.8125	0.703	0.297
areal	AG8	39	16	2.0	0.75	0.703	0.297
areal	AG_HYB	0	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	1	8	1.0	0.5	0.7397	0.2603
areal	AG_HYB	2	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	3	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	4	8	1.0	0.5	0.7397	0.2603
areal	AG_HYB	5	12	1.5	0.75	0.7151	0.2849
areal	AG_HYB	6	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	7	12	1.5	0.875	0.7151	0.2849
areal	AG_HYB	8	8	1.0	0.625	0.7397	0.2603
areal	AG_HYB	9	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	10	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	11	8	1.0	0.5	0.7397	0.2603
areal	AG_HYB	12	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	13	8	1.0	0.5625	0.7397	0.2603
areal	AG_HYB	14	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	15	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	16	8	1.0	0.625	0.7397	0.2603
areal	AG_HYB	17	8	1.0	0.5	0.7397	0.2603
areal	AG_HYB	18	8	1.0	0.5625	0.7397	0.2603
areal	AG_HYB	19	12	1.5	0.75	0.7151	0.2849
areal	AG_HYB	20	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	21	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	22	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	23	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	24	12	1.5	0.875	0.7151	0.2849
areal	AG_HYB	25	8	1.0	0.625	0.7397	0.2603
areal	AG_HYB	26	12	1.5	0.875	0.7151	0.2849
areal	AG_HYB	27	12	1.5	0.9375	0.7151	0.2849
areal	AG_HYB	28	12	1.5	0.875	0.7151	0.2849
areal	AG_HYB	29	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	30	12	1.5	0.75	0.7151	0.2849
areal	AG_HYB	31	8	1.0	0.5625	0.7397	0.2603
areal	AG_HYB	32	12	1.5	0.75	0.7151	0.2849
areal	AG_HYB	33	8	1.0	0.625	0.7397	0.2603
areal	AG_HYB	34	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	35	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	36	12	1.5	0.75	0.7151	0.2849
areal	AG_HYB	37	8	1.0	0.6875	0.7397	0.2603
areal	AG_HYB	38	12	1.5	0.8125	0.7151	0.2849
areal	AG_HYB	39	12	1.5	0.75	0.7151	0.2849
