method	policy	step	G_t	cost_t	obs_zvf	proj_zvf	proj_contrast
grpo	AG8	20	8	1.0	0.625	0.7797	0.2203
grpo	AG8	21	16	2.0	0.75	0.7176	0.2824
grpo	AG8	22	16	2.0	0.75	0.7176	0.2824
grpo	AG8	23	16	2.0	0.875	0.7176	0.2824
grpo	AG8	24	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	25	8	1.0	0.5625	0.7797	0.2203
grpo	AG8	26	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	27	16	2.0	0.9375	0.7176	0.2824
grpo	AG8	28	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	29	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	30	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	31	16	2.0	0.75	0.7176	0.2824
grpo	AG8	32	8	1.0	0.6875	0.7797	0.2203
grpo	AG8	33	8	1.0	0.6875	0.7797	0.2203
grpo	AG8	34	16	2.0	0.875	0.7176	0.2824
grpo	AG8	35	16	2.0	0.9375	0.7176	0.2824
grpo	AG8	36	16	2.0	0.8125	0.7176	0.2824
grpo	AG8	37	16	2.0	0.75	0.7176	0.2824
grpo	AG8	38	8	1.0	0.6875	0.7797	0.2203
grpo	AG8	39	16	2.0	0.75	0.7176	0.2824
grpo	AG_HYB	0	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	1	8	1.0	0.5	0.7797	0.2203
grpo	AG_HYB	2	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	3	12	1.5	0.75	0.7398	0.2602
grpo	AG_HYB	4	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	5	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	6	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	7	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	8	8	1.0	0.5625	0.7797	0.2203
grpo	AG_HYB	9	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	10	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	11	8	1.0	0.6875	0.7797	0.2203
grpo	AG_HYB	12	12	1.5	0.8125	0.7398	0.2602
grpo	AG_HYB	13	8	1.0	0.5625	0.7797	0.2203
