seed	tau	n_fire	n_steps	fire_rate	headroom_wrong_fires	headroom_rate	mean_zvf_seed	heldout_acc_seed
179	0.50	14	15	0.9333	0	0.0000	0.6083	0.5859
316	0.50	13	15	0.8667	0	0.0000	0.5917	0.4766
42	0.50	10	15	0.6667	0	0.0000	0.4917	0.3750
453	0.50	14	15	0.9333	0	0.0000	0.6333	0.4297
590	0.50	12	15	0.8000	0	0.0000	0.6083	0.4062
179	0.60	10	15	0.6667	0	0.0000	0.6083	0.5859
316	0.60	9	15	0.6000	0	0.0000	0.5917	0.4766
42	0.60	6	15	0.4000	0	0.0000	0.4917	0.3750
453	0.60	10	15	0.6667	0	0.0000	0.6333	0.4297
590	0.60	10	15	0.6667	0	0.0000	0.6083	0.4062
179	0.70	4	15	0.2667	0	0.0000	0.6083	0.5859
316	0.70	4	15	0.2667	0	0.0000	0.5917	0.4766
42	0.70	2	15	0.1333	0	0.0000	0.4917	0.3750
453	0.70	6	15	0.4000	0	0.0000	0.6333	0.4297
590	0.70	5	15	0.3333	0	0.0000	0.6083	0.4062
179	0.80	0	15	0.0000	0	0.0000	0.6083	0.5859
316	0.80	0	15	0.0000	0	0.0000	0.5917	0.4766
42	0.80	0	15	0.0000	0	0.0000	0.4917	0.3750
453	0.80	1	15	0.0667	0	0.0000	0.6333	0.4297
590	0.80	2	15	0.1333	0	0.0000	0.6083	0.4062
179	0.90	0	15	0.0000	0	0.0000	0.6083	0.5859
316	0.90	0	15	0.0000	0	0.0000	0.5917	0.4766
42	0.90	0	15	0.0000	0	0.0000	0.4917	0.3750
453	0.90	0	15	0.0000	0	0.0000	0.6333	0.4297
590	0.90	0	15	0.0000	0	0.0000	0.6083	0.4062
