method	step	z_obs	g_used	cost_ratio	savings_vs_g16	mean_cm_used	mean_cm_base	contrast_retention	fired
grpo	0	0.6875	8	1.0000	0.5000	0.2203	0.2203	1.0000	0
grpo	1	0.5000	8	1.0000	0.5000	0.4216	0.4216	1.0000	0
grpo	2	0.6875	8	1.0000	0.5000	0.2565	0.2565	1.0000	0
grpo	3	0.7500	16	2.0000	0.0000	0.2340	0.1945	1.2028	1
grpo	4	0.6875	8	1.0000	0.5000	0.2718	0.2718	1.0000	0
grpo	5	0.6875	8	1.0000	0.5000	0.2623	0.2623	1.0000	0
grpo	6	0.8125	16	2.0000	0.0000	0.1795	0.1583	1.1338	1
grpo	7	0.6875	8	1.0000	0.5000	0.2413	0.2413	1.0000	0
grpo	8	0.5625	8	1.0000	0.5000	0.3576	0.3576	1.0000	0
grpo	9	0.6875	8	1.0000	0.5000	0.2556	0.2556	1.0000	0
grpo	10	0.6875	8	1.0000	0.5000	0.2556	0.2556	1.0000	0
grpo	11	0.6875	8	1.0000	0.5000	0.2623	0.2623	1.0000	0
grpo	12	0.8125	16	2.0000	0.0000	0.1862	0.1735	1.0732	1
grpo	13	0.5625	8	1.0000	0.5000	0.3434	0.3434	1.0000	0
grpo	14	0.7500	16	2.0000	0.0000	0.2346	0.2003	1.1713	1
grpo	15	0.7500	16	2.0000	0.0000	0.2426	0.2251	1.0776	1
grpo	16	0.6250	8	1.0000	0.5000	0.3366	0.3366	1.0000	0
grpo	17	0.5000	8	1.0000	0.5000	0.4148	0.4148	1.0000	0
grpo	18	0.5625	8	1.0000	0.5000	0.4138	0.4138	1.0000	0
grpo	19	0.6250	8	1.0000	0.5000	0.2861	0.2861	1.0000	0
grpo	20	0.6250	8	1.0000	0.5000	0.3328	0.3328	1.0000	0
grpo	21	0.7500	16	2.0000	0.0000	0.2352	0.2041	1.1523	1
grpo	22	0.7500	16	2.0000	0.0000	0.2419	0.2193	1.1031	1
grpo	23	0.8750	16	2.0000	0.0000	0.1170	0.0973	1.2028	1
grpo	24	0.8125	16	2.0000	0.0000	0.1654	0.1231	1.3436	1
grpo	25	0.5625	8	1.0000	0.5000	0.3634	0.3634	1.0000	0
grpo	26	0.8125	16	2.0000	0.0000	0.1721	0.1383	1.2446	1
grpo	27	0.9375	16	2.0000	0.0000	0.0625	0.0620	1.0078	1
grpo	28	0.8125	16	2.0000	0.0000	0.1727	0.1431	1.2072	1
grpo	29	0.8125	16	2.0000	0.0000	0.1727	0.1441	1.1991	1
grpo	30	0.8125	16	2.0000	0.0000	0.1721	0.1383	1.2446	1
grpo	31	0.7500	16	2.0000	0.0000	0.2272	0.1793	1.2672	1
grpo	32	0.6875	8	1.0000	0.5000	0.2765	0.2765	1.0000	0
grpo	33	0.6875	8	1.0000	0.5000	0.2403	0.2403	1.0000	0
grpo	34	0.8750	16	2.0000	0.0000	0.1170	0.0973	1.2028	1
grpo	35	0.9375	16	2.0000	0.0000	0.0619	0.0562	1.1001	1
grpo	36	0.8125	16	2.0000	0.0000	0.1727	0.1431	1.2072	1
grpo	37	0.7500	16	2.0000	0.0000	0.2414	0.2155	1.1199	1
grpo	38	0.6875	8	1.0000	0.5000	0.2556	0.2556	1.0000	0
grpo	39	0.7500	16	2.0000	0.0000	0.2419	0.2193	1.1031	1
aero	0	0.6875	8	1.0000	0.5000	0.2251	0.2251	1.0000	0
aero	1	0.6875	8	1.0000	0.5000	0.3013	0.3013	1.0000	0
aero	2	0.8125	16	2.0000	0.0000	0.1654	0.1231	1.3436	1
aero	3	0.6875	8	1.0000	0.5000	0.2755	0.2755	1.0000	0
aero	4	0.7500	16	2.0000	0.0000	0.2494	0.2423	1.0293	1
aero	5	0.5625	8	1.0000	0.5000	0.3528	0.3528	1.0000	0
aero	6	0.7500	16	2.0000	0.0000	0.2481	0.2297	1.0798	1
aero	7	0.6250	8	1.0000	0.5000	0.3071	0.3071	1.0000	0
aero	8	0.6875	8	1.0000	0.5000	0.3023	0.3023	1.0000	0
aero	9	0.6250	8	1.0000	0.5000	0.3166	0.3166	1.0000	0
aero	10	0.7500	16	2.0000	0.0000	0.2407	0.2098	1.1478	1
aero	11	0.5625	8	1.0000	0.5000	0.3900	0.3900	1.0000	0
aero	12	0.6875	8	1.0000	0.5000	0.2755	0.2755	1.0000	0
aero	13	0.5625	8	1.0000	0.5000	0.4216	0.4216	1.0000	0
aero	14	0.7500	16	2.0000	0.0000	0.2352	0.2061	1.1415	1
aero	15	0.8125	16	2.0000	0.0000	0.1801	0.1631	1.1042	1
aero	16	0.5625	8	1.0000	0.5000	0.3806	0.3806	1.0000	0
aero	17	0.5625	8	1.0000	0.5000	0.3844	0.3844	1.0000	0
aero	18	0.6250	8	1.0000	0.5000	0.3186	0.3186	1.0000	0
aero	19	0.6250	8	1.0000	0.5000	0.3328	0.3328	1.0000	0
aero	20	0.6250	8	1.0000	0.5000	0.3081	0.3081	1.0000	0
aero	21	0.8125	16	2.0000	0.0000	0.1727	0.1441	1.1991	1
aero	22	0.6875	8	1.0000	0.5000	0.2251	0.2251	1.0000	0
aero	23	0.8125	16	2.0000	0.0000	0.1789	0.1535	1.1652	1
aero	24	0.8125	16	2.0000	0.0000	0.1654	0.1231	1.3436	1
aero	25	0.6875	8	1.0000	0.5000	0.2556	0.2556	1.0000	0
aero	26	0.8750	16	2.0000	0.0000	0.1243	0.1173	1.0604	1
aero	27	0.9375	16	2.0000	0.0000	0.0625	0.0610	1.0237	1
aero	28	0.8125	16	2.0000	0.0000	0.1727	0.1441	1.1991	1
aero	29	0.8750	16	2.0000	0.0000	0.1237	0.1125	1.1001	1
aero	30	0.8125	16	2.0000	0.0000	0.1721	0.1383	1.2446	1
aero	31	0.8125	16	2.0000	0.0000	0.1721	0.1383	1.2446	1
aero	32	0.7500	16	2.0000	0.0000	0.2420	0.2203	1.0983	1
aero	33	0.6250	8	1.0000	0.5000	0.3014	0.3014	1.0000	0
aero	34	0.8750	16	2.0000	0.0000	0.1176	0.1020	1.1523	1
aero	35	0.8125	16	2.0000	0.0000	0.1795	0.1593	1.1269	1
aero	36	0.8125	16	2.0000	0.0000	0.1789	0.1535	1.1652	1
aero	37	0.6875	8	1.0000	0.5000	0.2461	0.2461	1.0000	0
aero	38	0.6875	8	1.0000	0.5000	0.2471	0.2471	1.0000	0
aero	39	0.6250	8	1.0000	0.5000	0.2661	0.2661	1.0000	0
gift	0	0.7500	16	2.0000	0.0000	0.2487	0.2355	1.0560	1
gift	1	0.5625	8	1.0000	0.5000	0.3596	0.3596	1.0000	0
gift	2	0.6875	8	1.0000	0.5000	0.2051	0.2051	1.0000	0
gift	3	0.5625	8	1.0000	0.5000	0.3480	0.3480	1.0000	0
gift	4	0.6875	8	1.0000	0.5000	0.2556	0.2556	1.0000	0
gift	5	0.6250	8	1.0000	0.5000	0.2661	0.2661	1.0000	0
gift	6	0.7500	16	2.0000	0.0000	0.2419	0.2193	1.1031	1
gift	7	0.6875	8	1.0000	0.5000	0.2356	0.2356	1.0000	0
gift	8	0.6250	8	1.0000	0.5000	0.3176	0.3176	1.0000	0
gift	9	0.6250	8	1.0000	0.5000	0.2814	0.2814	1.0000	0
gift	10	0.7500	16	2.0000	0.0000	0.2279	0.1851	1.2311	1
gift	11	0.6250	8	1.0000	0.5000	0.3280	0.3280	1.0000	0
gift	12	0.7500	16	2.0000	0.0000	0.2413	0.2145	1.1249	1
gift	13	0.5625	8	1.0000	0.5000	0.3996	0.3996	1.0000	0
gift	14	0.8125	16	2.0000	0.0000	0.1801	0.1641	1.0977	1
gift	15	0.6250	8	1.0000	0.5000	0.3023	0.3023	1.0000	0
gift	16	0.6250	8	1.0000	0.5000	0.3118	0.3118	1.0000	0
gift	17	0.7500	16	2.0000	0.0000	0.2500	0.2480	1.0078	1
gift	18	0.6250	8	1.0000	0.5000	0.3223	0.3223	1.0000	0
gift	19	0.7500	16	2.0000	0.0000	0.2346	0.2003	1.1713	1
gift	20	0.6875	8	1.0000	0.5000	0.2623	0.2623	1.0000	0
gift	21	0.7500	16	2.0000	0.0000	0.2419	0.2193	1.1031	1
gift	22	0.8750	16	2.0000	0.0000	0.1176	0.1020	1.1523	1
gift	23	0.8750	16	2.0000	0.0000	0.1176	0.1020	1.1523	1
gift	24	0.8750	16	2.0000	0.0000	0.1102	0.0820	1.3436	1
gift	25	0.7500	16	2.0000	0.0000	0.2487	0.2355	1.0560	1
gift	26	0.8125	16	2.0000	0.0000	0.1727	0.1431	1.2072	1
gift	27	0.9375	16	2.0000	0.0000	0.0619	0.0562	1.1001	1
gift	28	0.8750	16	2.0000	0.0000	0.1170	0.0973	1.2028	1
gift	29	0.9375	16	2.0000	0.0000	0.0625	0.0610	1.0237	1
gift	30	0.8750	16	2.0000	0.0000	0.1244	0.1183	1.0517	1
gift	31	0.9375	16	2.0000	0.0000	0.0551	0.0410	1.3436	1
gift	32	0.7500	16	2.0000	0.0000	0.2352	0.2041	1.1523	1
gift	33	0.9375	16	2.0000	0.0000	0.0551	0.0410	1.3436	1
gift	34	1.0000	16	2.0000	0.0000	0.0000	0.0000	0.0000	1
gift	35	0.9375	16	2.0000	0.0000	0.0551	0.0410	1.3436	1
gift	36	0.9375	16	2.0000	0.0000	0.0625	0.0620	1.0078	1
gift	37	0.8750	16	2.0000	0.0000	0.1176	0.1020	1.1523	1
gift	38	0.9375	16	2.0000	0.0000	0.0625	0.0610	1.0237	1
gift	39	0.8125	16	2.0000	0.0000	0.1868	0.1793	1.0422	1
areal	0	0.6875	8	1.0000	0.5000	0.2603	0.2603	1.0000	0
areal	1	0.5000	8	1.0000	0.5000	0.4216	0.4216	1.0000	0
areal	2	0.6875	8	1.0000	0.5000	0.2261	0.2261	1.0000	0
areal	3	0.6875	8	1.0000	0.5000	0.2755	0.2755	1.0000	0
areal	4	0.5000	8	1.0000	0.5000	0.3644	0.3644	1.0000	0
areal	5	0.7500	16	2.0000	0.0000	0.2352	0.2041	1.1523	1
areal	6	0.6875	8	1.0000	0.5000	0.2451	0.2451	1.0000	0
areal	7	0.8750	16	2.0000	0.0000	0.1102	0.0820	1.3436	1
areal	8	0.6250	8	1.0000	0.5000	0.3223	0.3223	1.0000	0
areal	9	0.6875	8	1.0000	0.5000	0.2803	0.2803	1.0000	0
areal	10	0.6875	8	1.0000	0.5000	0.2251	0.2251	1.0000	0
areal	11	0.5000	8	1.0000	0.5000	0.3986	0.3986	1.0000	0
areal	12	0.8125	16	2.0000	0.0000	0.1874	0.1831	1.0237	1
areal	13	0.5625	8	1.0000	0.5000	0.4128	0.4128	1.0000	0
areal	14	0.6875	8	1.0000	0.5000	0.2565	0.2565	1.0000	0
areal	15	0.6875	8	1.0000	0.5000	0.2251	0.2251	1.0000	0
areal	16	0.6250	8	1.0000	0.5000	0.2966	0.2966	1.0000	0
areal	17	0.5000	8	1.0000	0.5000	0.4254	0.4254	1.0000	0
areal	18	0.5625	8	1.0000	0.5000	0.3634	0.3634	1.0000	0
areal	19	0.7500	16	2.0000	0.0000	0.2487	0.2365	1.0517	1
areal	20	0.6875	8	1.0000	0.5000	0.2985	0.2985	1.0000	0
areal	21	0.6875	8	1.0000	0.5000	0.2261	0.2261	1.0000	0
areal	22	0.8125	16	2.0000	0.0000	0.1727	0.1441	1.1991	1
areal	23	0.8125	16	2.0000	0.0000	0.1795	0.1583	1.1338	1
