controller	n_cells	mean_cost	ci95_cost_lo	ci95_cost_hi	contrast_retention	ci95_ret_lo	ci95_ret_hi	mag_per_cost
STATIC_G8	2560	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2238
STATIC_G16	2560	2.0000	2.0000	2.0000	1.1473	1.1373	1.1572	0.1284
DUALFORMER_PP	2560	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.2238
ADAPTIVE_PP_ORACLE	2560	1.8121	1.7641	1.8637	1.2026	1.1877	1.2179	0.1485
UNIFIED_C4	2560	1.0914	1.0805	1.1027	1.0489	1.0417	1.0558	0.2151
