rank_in_pareto	tau_esc	tau_des	delta	n10_n_seeds	mean_savings_n10	savings_ci_lo	savings_ci_hi	seed_cv_total_G	mean_headroom_bad	mean_escalations_per_seed	mean_deescalations_per_seed	mean_savings_n2	mean_contrast_intent_n2	n2_methods
1	0.55	0.6	0.05	5	0.3	0.2467	0.3333	0.0738	0.0	0.0	9.0	0.3646	0.0	aero,areal,gift,grpo
2	0.65	0.7	0.05	5	0.14	0.1	0.1733	0.0514	0.0	0.0	4.2	0.3646	0.0	aero,areal,gift,grpo
3	0.65	0.75	0.1	5	0.14	0.1	0.1733	0.0514	0.0	0.0	4.2	0.3646	0.0	aero,areal,gift,grpo
4	0.7	0.75	0.05	5	0.14	0.0933	0.1733	0.0514	0.0	0.0	4.2	0.3646	0.0	aero,areal,gift,grpo
5	0.5	0.55	0.05	5	0.06	-0.0133	0.14	0.0908	0.0	3.6	9.0	0.3646	0.0	aero,areal,gift,grpo
6	0.5	0.6	0.1	5	0.06	-0.0133	0.14	0.0908	0.0	3.6	9.0	0.3646	0.0	aero,areal,gift,grpo
7	0.8	0.85	0.05	5	0.02	0.0	0.0467	0.0272	0.0	0.0	0.6	0.3646	0.0	aero,areal,gift,grpo
8	0.8	0.9	0.1	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
9	0.8	0.95	0.15	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
10	0.8	1.0	0.2	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
11	0.85	0.9	0.05	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
12	0.85	0.95	0.1	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
13	0.85	1.0	0.15	5	-0.04	-0.0933	0.0	0.0513	0.0	0.6	0.0	0.3646	0.0	aero,areal,gift,grpo
14	0.55	0.65	0.1	5	-0.18	-0.2333	-0.12	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
15	0.55	0.7	0.15	5	-0.18	-0.2333	-0.1133	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
16	0.55	0.75	0.2	5	-0.18	-0.2333	-0.12	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
17	0.6	0.65	0.05	5	-0.18	-0.2333	-0.12	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
18	0.6	0.7	0.1	5	-0.18	-0.2333	-0.12	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
19	0.6	0.75	0.15	5	-0.18	-0.2333	-0.12	0.0554	0.0	4.8	4.2	0.3646	0.0	aero,areal,gift,grpo
20	0.65	0.8	0.15	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
21	0.65	0.85	0.2	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
22	0.7	0.8	0.1	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
23	0.7	0.85	0.15	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
24	0.75	0.8	0.05	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
25	0.75	0.85	0.1	5	-0.22	-0.28	-0.16	0.0589	0.0	3.6	0.6	0.3646	0.0	aero,areal,gift,grpo
26	0.65	0.9	0.25	5	-0.28	-0.36	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
27	0.7	0.9	0.2	5	-0.28	-0.36	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
28	0.7	0.95	0.25	5	-0.28	-0.3467	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
29	0.75	0.9	0.15	5	-0.28	-0.36	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
30	0.75	0.95	0.2	5	-0.28	-0.3467	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
31	0.75	1.0	0.25	5	-0.28	-0.3467	-0.2	0.0691	0.0	4.2	0.0	0.3646	0.0	aero,areal,gift,grpo
32	0.5	0.65	0.15	5	-0.42	-0.4933	-0.34	0.0623	0.0	8.4	4.2	0.3646	0.0	aero,areal,gift,grpo
33	0.5	0.7	0.2	5	-0.42	-0.4933	-0.34	0.0623	0.0	8.4	4.2	0.3646	0.0	aero,areal,gift,grpo
34	0.5	0.75	0.25	5	-0.42	-0.4933	-0.34	0.0623	0.0	8.4	4.2	0.3646	0.0	aero,areal,gift,grpo
35	0.55	0.8	0.25	5	-0.54	-0.6133	-0.46	0.0618	0.0	8.4	0.6	0.3646	0.0	aero,areal,gift,grpo
36	0.6	0.8	0.2	5	-0.54	-0.62	-0.46	0.0618	0.0	8.4	0.6	0.3646	0.0	aero,areal,gift,grpo
37	0.6	0.85	0.25	5	-0.54	-0.6267	-0.4533	0.0618	0.0	8.4	0.6	0.3646	0.0	aero,areal,gift,grpo
