method	step	tau	G_N	zvf_step	n_boundary_prompts	n_total_prompts	mean_restored_step
aero	35	0.55	16	0.8125	13	16	0.0202
aero	36	0.55	16	0.8125	13	16	0.0254
aero	37	0.55	16	0.6875	11	16	0.0442
aero	38	0.55	16	0.6875	11	16	0.0433
aero	39	0.55	16	0.625	10	16	0.0719
aero	0	0.55	32	0.6875	11	16	0.0839
aero	1	0.55	32	0.6875	11	16	0.0112
aero	2	0.55	32	0.8125	13	16	0.0618
aero	3	0.55	32	0.6875	11	16	0.0361
aero	4	0.55	32	0.75	12	16	0.0077
aero	5	0.55	32	0.5625	9	16	0.082
aero	6	0.55	32	0.75	12	16	0.0202
aero	7	0.55	32	0.625	10	16	0.0653
aero	8	0.55	32	0.6875	11	16	0.0102
aero	9	0.55	32	0.625	10	16	0.0567
aero	10	0.55	32	0.75	12	16	0.0394
aero	11	0.55	32	0.5625	9	16	0.0466
aero	12	0.55	32	0.6875	11	16	0.0361
aero	13	0.55	32	0.5625	9	16	0.0159
aero	14	0.55	32	0.75	12	16	0.0422
aero	15	0.55	32	0.8125	13	16	0.0236
aero	16	0.55	32	0.5625	9	16	0.0552
aero	17	0.55	32	0.5625	9	16	0.0514
aero	18	0.55	32	0.625	10	16	0.0547
aero	19	0.55	32	0.625	10	16	0.0413
aero	20	0.55	32	0.625	10	16	0.0643
aero	21	0.55	32	0.8125	13	16	0.0417
aero	22	0.55	32	0.6875	11	16	0.0839
aero	23	0.55	32	0.8125	13	16	0.0331
aero	24	0.55	32	0.8125	13	16	0.0618
aero	25	0.55	32	0.6875	11	16	0.0552
aero	26	0.55	32	0.875	14	16	0.0077
aero	27	0.55	32	0.9375	15	16	0.0015
aero	28	0.55	32	0.8125	13	16	0.0417
aero	29	0.55	32	0.875	14	16	0.0125
aero	30	0.55	32	0.8125	13	16	0.0475
aero	31	0.55	32	0.8125	13	16	0.0475
aero	32	0.55	32	0.75	12	16	0.0288
aero	33	0.55	32	0.625	10	16	0.071
aero	34	0.55	32	0.875	14	16	0.0221
aero	35	0.55	32	0.8125	13	16	0.0273
aero	36	0.55	32	0.8125	13	16	0.0331
aero	37	0.55	32	0.6875	11	16	0.0638
aero	38	0.55	32	0.6875	11	16	0.0628
aero	39	0.55	32	0.625	10	16	0.1045
aero	0	0.6	12	0.6875	11	16	0.0368
aero	1	0.6	12	0.6875	11	16	0.0085
aero	2	0.6	12	0.8125	13	16	0.0267
aero	3	0.6	12	0.6875	11	16	0.02
aero	4	0.6	12	0.75	12	16	0.0057
aero	6	0.6	12	0.75	12	16	0.0141
aero	7	0.6	12	0.625	10	16	0.0296
aero	8	0.6	12	0.6875	11	16	0.0077
aero	9	0.6	12	0.625	10	16	0.0288
aero	10	0.6	12	0.75	12	16	0.0217
aero	12	0.6	12	0.6875	11	16	0.02
aero	14	0.6	12	0.75	12	16	0.0187
aero	15	0.6	12	0.8125	13	16	0.0114
aero	18	0.6	12	0.625	10	16	0.0272
aero	19	0.6	12	0.625	10	16	0.0234
aero	20	0.6	12	0.625	10	16	0.0288
aero	21	0.6	12	0.8125	13	16	0.0182
aero	22	0.6	12	0.6875	11	16	0.0368
aero	23	0.6	12	0.8125	13	16	0.0174
aero	24	0.6	12	0.8125	13	16	0.0267
aero	25	0.6	12	0.6875	11	16	0.0276
aero	26	0.6	12	0.875	14	16	0.0055
aero	27	0.6	12	0.9375	15	16	0.0013
aero	28	0.6	12	0.8125	13	16	0.0182
aero	29	0.6	12	0.875	14	16	0.0086
aero	30	0.6	12	0.8125	13	16	0.0221
aero	31	0.6	12	0.8125	13	16	0.0221
aero	32	0.6	12	0.75	12	16	0.0149
aero	33	0.6	12	0.625	10	16	0.0335
aero	34	0.6	12	0.875	14	16	0.0101
aero	35	0.6	12	0.8125	13	16	0.0136
aero	36	0.6	12	0.8125	13	16	0.0174
aero	37	0.6	12	0.6875	11	16	0.0284
aero	38	0.6	12	0.6875	11	16	0.0276
aero	39	0.6	12	0.625	10	16	0.0457
aero	0	0.6	16	0.6875	11	16	0.0578
aero	1	0.6	16	0.6875	11	16	0.0105
aero	2	0.6	16	0.8125	13	16	0.0423
aero	3	0.6	16	0.6875	11	16	0.0283
aero	4	0.6	16	0.75	12	16	0.0071
aero	6	0.6	16	0.75	12	16	0.0183
aero	7	0.6	16	0.625	10	16	0.0457
aero	8	0.6	16	0.6875	11	16	0.0095
aero	9	0.6	16	0.625	10	16	0.0423
aero	10	0.6	16	0.75	12	16	0.031
aero	12	0.6	16	0.6875	11	16	0.0283
aero	14	0.6	16	0.75	12	16	0.0292
aero	15	0.6	16	0.8125	13	16	0.017
aero	18	0.6	16	0.625	10	16	0.0404
aero	19	0.6	16	0.625	10	16	0.0329
aero	20	0.6	16	0.625	10	16	0.0447
aero	21	0.6	16	0.8125	13	16	0.0287
aero	22	0.6	16	0.6875	11	16	0.0578
aero	23	0.6	16	0.8125	13	16	0.0254
aero	24	0.6	16	0.8125	13	16	0.0423
aero	25	0.6	16	0.6875	11	16	0.0409
aero	26	0.6	16	0.875	14	16	0.0071
aero	27	0.6	16	0.9375	15	16	0.0014
aero	28	0.6	16	0.8125	13	16	0.0287
aero	29	0.6	16	0.875	14	16	0.0113
aero	30	0.6	16	0.8125	13	16	0.0338
aero	31	0.6	16	0.8125	13	16	0.0338
aero	32	0.6	16	0.75	12	16	0.0217
aero	33	0.6	16	0.625	10	16	0.0508
aero	34	0.6	16	0.875	14	16	0.0155
aero	35	0.6	16	0.8125	13	16	0.0202
aero	36	0.6	16	0.8125	13	16	0.0254
aero	37	0.6	16	0.6875	11	16	0.0442
aero	38	0.6	16	0.6875	11	16	0.0433
aero	39	0.6	16	0.625	10	16	0.0719
aero	0	0.6	32	0.6875	11	16	0.0839
aero	1	0.6	32	0.6875	11	16	0.0112
aero	2	0.6	32	0.8125	13	16	0.0618
aero	3	0.6	32	0.6875	11	16	0.0361
aero	4	0.6	32	0.75	12	16	0.0077
aero	6	0.6	32	0.75	12	16	0.0202
aero	7	0.6	32	0.625	10	16	0.0653
aero	8	0.6	32	0.6875	11	16	0.0102
aero	9	0.6	32	0.625	10	16	0.0567
aero	10	0.6	32	0.75	12	16	0.0394
aero	12	0.6	32	0.6875	11	16	0.0361
aero	14	0.6	32	0.75	12	16	0.0422
aero	15	0.6	32	0.8125	13	16	0.0236
aero	18	0.6	32	0.625	10	16	0.0547
aero	19	0.6	32	0.625	10	16	0.0413
aero	20	0.6	32	0.625	10	16	0.0643
aero	21	0.6	32	0.8125	13	16	0.0417
aero	22	0.6	32	0.6875	11	16	0.0839
aero	23	0.6	32	0.8125	13	16	0.0331
aero	24	0.6	32	0.8125	13	16	0.0618
aero	25	0.6	32	0.6875	11	16	0.0552
aero	26	0.6	32	0.875	14	16	0.0077
aero	27	0.6	32	0.9375	15	16	0.0015
aero	28	0.6	32	0.8125	13	16	0.0417
aero	29	0.6	32	0.875	14	16	0.0125
aero	30	0.6	32	0.8125	13	16	0.0475
aero	31	0.6	32	0.8125	13	16	0.0475
aero	32	0.6	32	0.75	12	16	0.0288
aero	33	0.6	32	0.625	10	16	0.071
aero	34	0.6	32	0.875	14	16	0.0221
aero	35	0.6	32	0.8125	13	16	0.0273
aero	36	0.6	32	0.8125	13	16	0.0331
aero	37	0.6	32	0.6875	11	16	0.0638
aero	38	0.6	32	0.6875	11	16	0.0628
aero	39	0.6	32	0.625	10	16	0.1045
aero	0	0.65	12	0.6875	11	16	0.0368
aero	1	0.65	12	0.6875	11	16	0.0085
aero	2	0.65	12	0.8125	13	16	0.0267
aero	3	0.65	12	0.6875	11	16	0.02
aero	4	0.65	12	0.75	12	16	0.0057
aero	6	0.65	12	0.75	12	16	0.0141
aero	8	0.65	12	0.6875	11	16	0.0077
aero	10	0.65	12	0.75	12	16	0.0217
aero	12	0.65	12	0.6875	11	16	0.02
aero	14	0.65	12	0.75	12	16	0.0187
aero	15	0.65	12	0.8125	13	16	0.0114
aero	21	0.65	12	0.8125	13	16	0.0182
aero	22	0.65	12	0.6875	11	16	0.0368
aero	23	0.65	12	0.8125	13	16	0.0174
aero	24	0.65	12	0.8125	13	16	0.0267
aero	25	0.65	12	0.6875	11	16	0.0276
aero	26	0.65	12	0.875	14	16	0.0055
aero	27	0.65	12	0.9375	15	16	0.0013
aero	28	0.65	12	0.8125	13	16	0.0182
aero	29	0.65	12	0.875	14	16	0.0086
aero	30	0.65	12	0.8125	13	16	0.0221
aero	31	0.65	12	0.8125	13	16	0.0221
aero	32	0.65	12	0.75	12	16	0.0149
aero	34	0.65	12	0.875	14	16	0.0101
aero	35	0.65	12	0.8125	13	16	0.0136
aero	36	0.65	12	0.8125	13	16	0.0174
aero	37	0.65	12	0.6875	11	16	0.0284
aero	38	0.65	12	0.6875	11	16	0.0276
aero	0	0.65	16	0.6875	11	16	0.0578
aero	1	0.65	16	0.6875	11	16	0.0105
aero	2	0.65	16	0.8125	13	16	0.0423
aero	3	0.65	16	0.6875	11	16	0.0283
aero	4	0.65	16	0.75	12	16	0.0071
aero	6	0.65	16	0.75	12	16	0.0183
aero	8	0.65	16	0.6875	11	16	0.0095
aero	10	0.65	16	0.75	12	16	0.031
aero	12	0.65	16	0.6875	11	16	0.0283
aero	14	0.65	16	0.75	12	16	0.0292
aero	15	0.65	16	0.8125	13	16	0.017
aero	21	0.65	16	0.8125	13	16	0.0287
aero	22	0.65	16	0.6875	11	16	0.0578
aero	23	0.65	16	0.8125	13	16	0.0254
aero	24	0.65	16	0.8125	13	16	0.0423
aero	25	0.65	16	0.6875	11	16	0.0409
aero	26	0.65	16	0.875	14	16	0.0071
aero	27	0.65	16	0.9375	15	16	0.0014
aero	28	0.65	16	0.8125	13	16	0.0287
aero	29	0.65	16	0.875	14	16	0.0113
aero	30	0.65	16	0.8125	13	16	0.0338
aero	31	0.65	16	0.8125	13	16	0.0338
aero	32	0.65	16	0.75	12	16	0.0217
aero	34	0.65	16	0.875	14	16	0.0155
aero	35	0.65	16	0.8125	13	16	0.0202
aero	36	0.65	16	0.8125	13	16	0.0254
aero	37	0.65	16	0.6875	11	16	0.0442
aero	38	0.65	16	0.6875	11	16	0.0433
aero	0	0.65	32	0.6875	11	16	0.0839
aero	1	0.65	32	0.6875	11	16	0.0112
aero	2	0.65	32	0.8125	13	16	0.0618
aero	3	0.65	32	0.6875	11	16	0.0361
aero	4	0.65	32	0.75	12	16	0.0077
aero	6	0.65	32	0.75	12	16	0.0202
aero	8	0.65	32	0.6875	11	16	0.0102
aero	10	0.65	32	0.75	12	16	0.0394
aero	12	0.65	32	0.6875	11	16	0.0361
aero	14	0.65	32	0.75	12	16	0.0422
aero	15	0.65	32	0.8125	13	16	0.0236
aero	21	0.65	32	0.8125	13	16	0.0417
aero	22	0.65	32	0.6875	11	16	0.0839
aero	23	0.65	32	0.8125	13	16	0.0331
aero	24	0.65	32	0.8125	13	16	0.0618
aero	25	0.65	32	0.6875	11	16	0.0552
aero	26	0.65	32	0.875	14	16	0.0077
aero	27	0.65	32	0.9375	15	16	0.0015
aero	28	0.65	32	0.8125	13	16	0.0417
aero	29	0.65	32	0.875	14	16	0.0125
aero	30	0.65	32	0.8125	13	16	0.0475
aero	31	0.65	32	0.8125	13	16	0.0475
aero	32	0.65	32	0.75	12	16	0.0288
aero	34	0.65	32	0.875	14	16	0.0221
aero	35	0.65	32	0.8125	13	16	0.0273
aero	36	0.65	32	0.8125	13	16	0.0331
aero	37	0.65	32	0.6875	11	16	0.0638
aero	38	0.65	32	0.6875	11	16	0.0628
aero	2	0.7	12	0.8125	13	16	0.0267
aero	4	0.7	12	0.75	12	16	0.0057
aero	6	0.7	12	0.75	12	16	0.0141
aero	10	0.7	12	0.75	12	16	0.0217
aero	14	0.7	12	0.75	12	16	0.0187
aero	15	0.7	12	0.8125	13	16	0.0114
aero	21	0.7	12	0.8125	13	16	0.0182
aero	23	0.7	12	0.8125	13	16	0.0174
aero	24	0.7	12	0.8125	13	16	0.0267
aero	26	0.7	12	0.875	14	16	0.0055
aero	27	0.7	12	0.9375	15	16	0.0013
aero	28	0.7	12	0.8125	13	16	0.0182
aero	29	0.7	12	0.875	14	16	0.0086
aero	30	0.7	12	0.8125	13	16	0.0221
aero	31	0.7	12	0.8125	13	16	0.0221
aero	32	0.7	12	0.75	12	16	0.0149
aero	34	0.7	12	0.875	14	16	0.0101
aero	35	0.7	12	0.8125	13	16	0.0136
aero	36	0.7	12	0.8125	13	16	0.0174
aero	2	0.7	16	0.8125	13	16	0.0423
aero	4	0.7	16	0.75	12	16	0.0071
aero	6	0.7	16	0.75	12	16	0.0183
aero	10	0.7	16	0.75	12	16	0.031
aero	14	0.7	16	0.75	12	16	0.0292
aero	15	0.7	16	0.8125	13	16	0.017
aero	21	0.7	16	0.8125	13	16	0.0287
aero	23	0.7	16	0.8125	13	16	0.0254
aero	24	0.7	16	0.8125	13	16	0.0423
aero	26	0.7	16	0.875	14	16	0.0071
aero	27	0.7	16	0.9375	15	16	0.0014
aero	28	0.7	16	0.8125	13	16	0.0287
aero	29	0.7	16	0.875	14	16	0.0113
aero	30	0.7	16	0.8125	13	16	0.0338
aero	31	0.7	16	0.8125	13	16	0.0338
aero	32	0.7	16	0.75	12	16	0.0217
aero	34	0.7	16	0.875	14	16	0.0155
aero	35	0.7	16	0.8125	13	16	0.0202
aero	36	0.7	16	0.8125	13	16	0.0254
aero	2	0.7	32	0.8125	13	16	0.0618
aero	4	0.7	32	0.75	12	16	0.0077
aero	6	0.7	32	0.75	12	16	0.0202
aero	10	0.7	32	0.75	12	16	0.0394
aero	14	0.7	32	0.75	12	16	0.0422
aero	15	0.7	32	0.8125	13	16	0.0236
aero	21	0.7	32	0.8125	13	16	0.0417
aero	23	0.7	32	0.8125	13	16	0.0331
aero	24	0.7	32	0.8125	13	16	0.0618
aero	26	0.7	32	0.875	14	16	0.0077
aero	27	0.7	32	0.9375	15	16	0.0015
aero	28	0.7	32	0.8125	13	16	0.0417
aero	29	0.7	32	0.875	14	16	0.0125
aero	30	0.7	32	0.8125	13	16	0.0475
aero	31	0.7	32	0.8125	13	16	0.0475
aero	32	0.7	32	0.75	12	16	0.0288
aero	34	0.7	32	0.875	14	16	0.0221
aero	35	0.7	32	0.8125	13	16	0.0273
aero	36	0.7	32	0.8125	13	16	0.0331
aero	2	0.75	12	0.8125	13	16	0.0267
aero	4	0.75	12	0.75	12	16	0.0057
aero	6	0.75	12	0.75	12	16	0.0141
aero	10	0.75	12	0.75	12	16	0.0217
aero	14	0.75	12	0.75	12	16	0.0187
aero	15	0.75	12	0.8125	13	16	0.0114
aero	21	0.75	12	0.8125	13	16	0.0182
aero	23	0.75	12	0.8125	13	16	0.0174
aero	24	0.75	12	0.8125	13	16	0.0267
aero	26	0.75	12	0.875	14	16	0.0055
aero	27	0.75	12	0.9375	15	16	0.0013
aero	28	0.75	12	0.8125	13	16	0.0182
aero	29	0.75	12	0.875	14	16	0.0086
aero	30	0.75	12	0.8125	13	16	0.0221
aero	31	0.75	12	0.8125	13	16	0.0221
aero	32	0.75	12	0.75	12	16	0.0149
aero	34	0.75	12	0.875	14	16	0.0101
aero	35	0.75	12	0.8125	13	16	0.0136
aero	36	0.75	12	0.8125	13	16	0.0174
aero	2	0.75	16	0.8125	13	16	0.0423
aero	4	0.75	16	0.75	12	16	0.0071
aero	6	0.75	16	0.75	12	16	0.0183
aero	10	0.75	16	0.75	12	16	0.031
aero	14	0.75	16	0.75	12	16	0.0292
aero	15	0.75	16	0.8125	13	16	0.017
aero	21	0.75	16	0.8125	13	16	0.0287
aero	23	0.75	16	0.8125	13	16	0.0254
aero	24	0.75	16	0.8125	13	16	0.0423
aero	26	0.75	16	0.875	14	16	0.0071
aero	27	0.75	16	0.9375	15	16	0.0014
aero	28	0.75	16	0.8125	13	16	0.0287
aero	29	0.75	16	0.875	14	16	0.0113
aero	30	0.75	16	0.8125	13	16	0.0338
aero	31	0.75	16	0.8125	13	16	0.0338
aero	32	0.75	16	0.75	12	16	0.0217
aero	34	0.75	16	0.875	14	16	0.0155
aero	35	0.75	16	0.8125	13	16	0.0202
aero	36	0.75	16	0.8125	13	16	0.0254
aero	2	0.75	32	0.8125	13	16	0.0618
aero	4	0.75	32	0.75	12	16	0.0077
aero	6	0.75	32	0.75	12	16	0.0202
aero	10	0.75	32	0.75	12	16	0.0394
aero	14	0.75	32	0.75	12	16	0.0422
aero	15	0.75	32	0.8125	13	16	0.0236
aero	21	0.75	32	0.8125	13	16	0.0417
aero	23	0.75	32	0.8125	13	16	0.0331
aero	24	0.75	32	0.8125	13	16	0.0618
aero	26	0.75	32	0.875	14	16	0.0077
aero	27	0.75	32	0.9375	15	16	0.0015
aero	28	0.75	32	0.8125	13	16	0.0417
aero	29	0.75	32	0.875	14	16	0.0125
aero	30	0.75	32	0.8125	13	16	0.0475
aero	31	0.75	32	0.8125	13	16	0.0475
aero	32	0.75	32	0.75	12	16	0.0288
aero	34	0.75	32	0.875	14	16	0.0221
aero	35	0.75	32	0.8125	13	16	0.0273
aero	36	0.75	32	0.8125	13	16	0.0331
aero	2	0.8	12	0.8125	13	16	0.0267
aero	15	0.8	12	0.8125	13	16	0.0114
aero	21	0.8	12	0.8125	13	16	0.0182
aero	23	0.8	12	0.8125	13	16	0.0174
aero	24	0.8	12	0.8125	13	16	0.0267
aero	26	0.8	12	0.875	14	16	0.0055
aero	27	0.8	12	0.9375	15	16	0.0013
aero	28	0.8	12	0.8125	13	16	0.0182
aero	29	0.8	12	0.875	14	16	0.0086
aero	30	0.8	12	0.8125	13	16	0.0221
aero	31	0.8	12	0.8125	13	16	0.0221
aero	34	0.8	12	0.875	14	16	0.0101
aero	35	0.8	12	0.8125	13	16	0.0136
aero	36	0.8	12	0.8125	13	16	0.0174
aero	2	0.8	16	0.8125	13	16	0.0423
aero	15	0.8	16	0.8125	13	16	0.017
aero	21	0.8	16	0.8125	13	16	0.0287
aero	23	0.8	16	0.8125	13	16	0.0254
aero	24	0.8	16	0.8125	13	16	0.0423
aero	26	0.8	16	0.875	14	16	0.0071
aero	27	0.8	16	0.9375	15	16	0.0014
aero	28	0.8	16	0.8125	13	16	0.0287
aero	29	0.8	16	0.875	14	16	0.0113
aero	30	0.8	16	0.8125	13	16	0.0338
aero	31	0.8	16	0.8125	13	16	0.0338
aero	34	0.8	16	0.875	14	16	0.0155
aero	35	0.8	16	0.8125	13	16	0.0202
aero	36	0.8	16	0.8125	13	16	0.0254
aero	2	0.8	32	0.8125	13	16	0.0618
aero	15	0.8	32	0.8125	13	16	0.0236
aero	21	0.8	32	0.8125	13	16	0.0417
aero	23	0.8	32	0.8125	13	16	0.0331
aero	24	0.8	32	0.8125	13	16	0.0618
aero	26	0.8	32	0.875	14	16	0.0077
aero	27	0.8	32	0.9375	15	16	0.0015
aero	28	0.8	32	0.8125	13	16	0.0417
aero	29	0.8	32	0.875	14	16	0.0125
aero	30	0.8	32	0.8125	13	16	0.0475
aero	31	0.8	32	0.8125	13	16	0.0475
aero	34	0.8	32	0.875	14	16	0.0221
aero	35	0.8	32	0.8125	13	16	0.0273
aero	36	0.8	32	0.8125	13	16	0.0331
gift	0	0.55	12	0.75	12	16	0.0103
gift	1	0.55	12	0.5625	9	16	0.0361
gift	2	0.55	12	0.6875	11	16	0.0444
gift	3	0.55	12	0.5625	9	16	0.0438
gift	4	0.55	12	0.6875	11	16	0.0276
gift	5	0.55	12	0.625	10	16	0.0457
gift	6	0.55	12	0.75	12	16	0.0157
gift	7	0.55	12	0.6875	11	16	0.0352
gift	8	0.55	12	0.625	10	16	0.028
gift	9	0.55	12	0.625	10	16	0.0411
gift	10	0.55	12	0.75	12	16	0.0271
gift	11	0.55	12	0.625	10	16	0.0265
gift	12	0.55	12	0.75	12	16	0.0187
gift	13	0.55	12	0.5625	9	16	0.0209
gift	14	0.55	12	0.8125	13	16	0.0106
gift	15	0.55	12	0.625	10	16	0.0327
gift	16	0.55	12	0.625	10	16	0.0319
gift	17	0.55	12	0.75	12	16	0.0018
gift	18	0.55	12	0.625	10	16	0.025
gift	19	0.55	12	0.75	12	16	0.0225
gift	20	0.55	12	0.6875	11	16	0.023
gift	21	0.55	12	0.75	12	16	0.0157
gift	22	0.55	12	0.875	14	16	0.0101
gift	23	0.55	12	0.875	14	16	0.0101
gift	24	0.55	12	0.875	14	16	0.0178
gift	25	0.55	12	0.75	12	16	0.0103
gift	26	0.55	12	0.8125	13	16	0.019
gift	27	0.55	12	0.9375	15	16	0.0043
gift	28	0.55	12	0.875	14	16	0.0132
gift	29	0.55	12	0.9375	15	16	0.0013
gift	30	0.55	12	0.875	14	16	0.0047
gift	31	0.55	12	0.9375	15	16	0.0089
gift	32	0.55	12	0.75	12	16	0.0203
gift	33	0.55	12	0.9375	15	16	0.0089
gift	34	0.55	12	1.0	16	16	0.0
gift	35	0.55	12	0.9375	15	16	0.0089
gift	36	0.55	12	0.9375	15	16	0.0005
gift	37	0.55	12	0.875	14	16	0.0101
gift	38	0.55	12	0.9375	15	16	0.0013
gift	39	0.55	12	0.8125	13	16	0.006
gift	0	0.55	16	0.75	12	16	0.0132
gift	1	0.55	16	0.5625	9	16	0.0545
gift	2	0.55	16	0.6875	11	16	0.0705
gift	3	0.55	16	0.5625	9	16	0.0648
gift	4	0.55	16	0.6875	11	16	0.0409
gift	5	0.55	16	0.625	10	16	0.0719
gift	6	0.55	16	0.75	12	16	0.0226
gift	7	0.55	16	0.6875	11	16	0.0536
gift	8	0.55	16	0.625	10	16	0.0414
gift	9	0.55	16	0.625	10	16	0.0635
gift	10	0.55	16	0.75	12	16	0.0428
gift	11	0.55	16	0.625	10	16	0.0371
gift	12	0.55	16	0.75	12	16	0.0268
gift	13	0.55	16	0.5625	9	16	0.0292
gift	14	0.55	16	0.8125	13	16	0.016
gift	15	0.55	16	0.625	10	16	0.0499
gift	16	0.55	16	0.625	10	16	0.0465
gift	17	0.55	16	0.75	12	16	0.0019
gift	18	0.55	16	0.625	10	16	0.0372
gift	19	0.55	16	0.75	12	16	0.0343
gift	20	0.55	16	0.6875	11	16	0.0348
gift	21	0.55	16	0.75	12	16	0.0226
gift	22	0.55	16	0.875	14	16	0.0155
gift	23	0.55	16	0.875	14	16	0.0155
gift	24	0.55	16	0.875	14	16	0.0282
gift	25	0.55	16	0.75	12	16	0.0132
gift	26	0.55	16	0.8125	13	16	0.0296
gift	27	0.55	16	0.9375	15	16	0.0056
gift	28	0.55	16	0.875	14	16	0.0197
gift	29	0.55	16	0.9375	15	16	0.0014
gift	30	0.55	16	0.875	14	16	0.0061
gift	31	0.55	16	0.9375	15	16	0.0141
gift	32	0.55	16	0.75	12	16	0.0311
gift	33	0.55	16	0.9375	15	16	0.0141
gift	34	0.55	16	1.0	16	16	0.0
gift	35	0.55	16	0.9375	15	16	0.0141
gift	36	0.55	16	0.9375	15	16	0.0005
gift	37	0.55	16	0.875	14	16	0.0155
gift	38	0.55	16	0.9375	15	16	0.0014
gift	39	0.55	16	0.8125	13	16	0.0076
gift	0	0.55	32	0.75	12	16	0.0145
gift	1	0.55	32	0.5625	9	16	0.0753
gift	2	0.55	32	0.6875	11	16	0.103
gift	3	0.55	32	0.5625	9	16	0.0868
gift	4	0.55	32	0.6875	11	16	0.0552
gift	5	0.55	32	0.625	10	16	0.1045
gift	6	0.55	32	0.75	12	16	0.0298
gift	7	0.55	32	0.6875	11	16	0.0743
gift	8	0.55	32	0.625	10	16	0.0557
gift	9	0.55	32	0.625	10	16	0.0901
gift	10	0.55	32	0.75	12	16	0.0623
gift	11	0.55	32	0.625	10	16	0.0461
gift	12	0.55	32	0.75	12	16	0.0346
gift	13	0.55	32	0.5625	9	16	0.037
gift	14	0.55	32	0.8125	13	16	0.0226
gift	15	0.55	32	0.625	10	16	0.07
gift	16	0.55	32	0.625	10	16	0.0614
gift	17	0.55	32	0.75	12	16	0.002
gift	18	0.55	32	0.625	10	16	0.0509
gift	19	0.55	32	0.75	12	16	0.0479
gift	20	0.55	32	0.6875	11	16	0.0484
gift	21	0.55	32	0.75	12	16	0.0298
gift	22	0.55	32	0.875	14	16	0.0221
gift	23	0.55	32	0.875	14	16	0.0221
gift	24	0.55	32	0.875	14	16	0.0412
gift	25	0.55	32	0.75	12	16	0.0145
gift	26	0.55	32	0.8125	13	16	0.0427
gift	27	0.55	32	0.9375	15	16	0.0063
gift	28	0.55	32	0.875	14	16	0.0269
gift	29	0.55	32	0.9375	15	16	0.0015
gift	30	0.55	32	0.875	14	16	0.0067
gift	31	0.55	32	0.9375	15	16	0.0206
gift	32	0.55	32	0.75	12	16	0.0442
gift	33	0.55	32	0.9375	15	16	0.0206
gift	34	0.55	32	1.0	16	16	0.0
gift	35	0.55	32	0.9375	15	16	0.0206
gift	36	0.55	32	0.9375	15	16	0.0005
gift	37	0.55	32	0.875	14	16	0.0221
gift	38	0.55	32	0.9375	15	16	0.0015
gift	39	0.55	32	0.8125	13	16	0.0082
gift	0	0.6	12	0.75	12	16	0.0103
gift	2	0.6	12	0.6875	11	16	0.0444
gift	4	0.6	12	0.6875	11	16	0.0276
gift	5	0.6	12	0.625	10	16	0.0457
gift	6	0.6	12	0.75	12	16	0.0157
gift	7	0.6	12	0.6875	11	16	0.0352
gift	8	0.6	12	0.625	10	16	0.028
gift	9	0.6	12	0.625	10	16	0.0411
gift	10	0.6	12	0.75	12	16	0.0271
gift	11	0.6	12	0.625	10	16	0.0265
gift	12	0.6	12	0.75	12	16	0.0187
gift	14	0.6	12	0.8125	13	16	0.0106
gift	15	0.6	12	0.625	10	16	0.0327
gift	16	0.6	12	0.625	10	16	0.0319
gift	17	0.6	12	0.75	12	16	0.0018
gift	18	0.6	12	0.625	10	16	0.025
gift	19	0.6	12	0.75	12	16	0.0225
gift	20	0.6	12	0.6875	11	16	0.023
gift	21	0.6	12	0.75	12	16	0.0157
gift	22	0.6	12	0.875	14	16	0.0101
gift	23	0.6	12	0.875	14	16	0.0101
gift	24	0.6	12	0.875	14	16	0.0178
gift	25	0.6	12	0.75	12	16	0.0103
gift	26	0.6	12	0.8125	13	16	0.019
gift	27	0.6	12	0.9375	15	16	0.0043
gift	28	0.6	12	0.875	14	16	0.0132
gift	29	0.6	12	0.9375	15	16	0.0013
gift	30	0.6	12	0.875	14	16	0.0047
gift	31	0.6	12	0.9375	15	16	0.0089
gift	32	0.6	12	0.75	12	16	0.0203
gift	33	0.6	12	0.9375	15	16	0.0089
gift	34	0.6	12	1.0	16	16	0.0
gift	35	0.6	12	0.9375	15	16	0.0089
gift	36	0.6	12	0.9375	15	16	0.0005
gift	37	0.6	12	0.875	14	16	0.0101
gift	38	0.6	12	0.9375	15	16	0.0013
gift	39	0.6	12	0.8125	13	16	0.006
gift	0	0.6	16	0.75	12	16	0.0132
gift	2	0.6	16	0.6875	11	16	0.0705
gift	4	0.6	16	0.6875	11	16	0.0409
gift	5	0.6	16	0.625	10	16	0.0719
gift	6	0.6	16	0.75	12	16	0.0226
gift	7	0.6	16	0.6875	11	16	0.0536
gift	8	0.6	16	0.625	10	16	0.0414
gift	9	0.6	16	0.625	10	16	0.0635
gift	10	0.6	16	0.75	12	16	0.0428
gift	11	0.6	16	0.625	10	16	0.0371
gift	12	0.6	16	0.75	12	16	0.0268
gift	14	0.6	16	0.8125	13	16	0.016
gift	15	0.6	16	0.625	10	16	0.0499
gift	16	0.6	16	0.625	10	16	0.0465
gift	17	0.6	16	0.75	12	16	0.0019
gift	18	0.6	16	0.625	10	16	0.0372
gift	19	0.6	16	0.75	12	16	0.0343
gift	20	0.6	16	0.6875	11	16	0.0348
gift	21	0.6	16	0.75	12	16	0.0226
gift	22	0.6	16	0.875	14	16	0.0155
gift	23	0.6	16	0.875	14	16	0.0155
gift	24	0.6	16	0.875	14	16	0.0282
