method	step	tau	G_N	zvf_step	n_boundary_prompts	n_total_prompts	mean_restored_step
grpo	12	0.65	32	0.8125	13	16	0.014
grpo	14	0.65	32	0.75	12	16	0.0479
grpo	15	0.65	32	0.75	12	16	0.0241
grpo	21	0.65	32	0.75	12	16	0.0442
grpo	22	0.65	32	0.75	12	16	0.0298
grpo	23	0.65	32	0.875	14	16	0.0269
grpo	24	0.65	32	0.8125	13	16	0.0618
grpo	26	0.65	32	0.8125	13	16	0.0475
grpo	27	0.65	32	0.9375	15	16	0.0005
grpo	28	0.65	32	0.8125	13	16	0.0427
grpo	29	0.65	32	0.8125	13	16	0.0417
grpo	30	0.65	32	0.8125	13	16	0.0475
grpo	31	0.65	32	0.75	12	16	0.0681
grpo	32	0.65	32	0.6875	11	16	0.0351
grpo	33	0.65	32	0.6875	11	16	0.0695
grpo	34	0.65	32	0.875	14	16	0.0269
grpo	35	0.65	32	0.9375	15	16	0.0063
grpo	36	0.65	32	0.8125	13	16	0.0427
grpo	37	0.65	32	0.75	12	16	0.0336
grpo	38	0.65	32	0.6875	11	16	0.0552
grpo	39	0.65	32	0.75	12	16	0.0298
grpo	3	0.7	12	0.75	12	16	0.0263
grpo	6	0.7	12	0.8125	13	16	0.0144
grpo	12	0.7	12	0.8125	13	16	0.0098
grpo	14	0.7	12	0.75	12	16	0.0225
grpo	15	0.7	12	0.75	12	16	0.0119
grpo	21	0.7	12	0.75	12	16	0.0203
grpo	22	0.7	12	0.75	12	16	0.0157
grpo	23	0.7	12	0.875	14	16	0.0132
grpo	24	0.7	12	0.8125	13	16	0.0267
grpo	26	0.7	12	0.8125	13	16	0.0221
grpo	27	0.7	12	0.9375	15	16	0.0005
grpo	28	0.7	12	0.8125	13	16	0.019
grpo	29	0.7	12	0.8125	13	16	0.0182
grpo	30	0.7	12	0.8125	13	16	0.0221
grpo	31	0.7	12	0.75	12	16	0.0309
grpo	34	0.7	12	0.875	14	16	0.0132
grpo	35	0.7	12	0.9375	15	16	0.0043
grpo	36	0.7	12	0.8125	13	16	0.019
grpo	37	0.7	12	0.75	12	16	0.0179
grpo	39	0.7	12	0.75	12	16	0.0157
grpo	3	0.7	16	0.75	12	16	0.0395
grpo	6	0.7	16	0.8125	13	16	0.0212
grpo	12	0.7	16	0.8125	13	16	0.0127
grpo	14	0.7	16	0.75	12	16	0.0343
grpo	15	0.7	16	0.75	12	16	0.0175
grpo	21	0.7	16	0.75	12	16	0.0311
grpo	22	0.7	16	0.75	12	16	0.0226
grpo	23	0.7	16	0.875	14	16	0.0197
grpo	24	0.7	16	0.8125	13	16	0.0423
grpo	26	0.7	16	0.8125	13	16	0.0338
grpo	27	0.7	16	0.9375	15	16	0.0005
grpo	28	0.7	16	0.8125	13	16	0.0296
grpo	29	0.7	16	0.8125	13	16	0.0287
grpo	30	0.7	16	0.8125	13	16	0.0338
grpo	31	0.7	16	0.75	12	16	0.0479
grpo	34	0.7	16	0.875	14	16	0.0197
grpo	35	0.7	16	0.9375	15	16	0.0056
grpo	36	0.7	16	0.8125	13	16	0.0296
grpo	37	0.7	16	0.75	12	16	0.0258
grpo	39	0.7	16	0.75	12	16	0.0226
grpo	3	0.7	32	0.75	12	16	0.0537
grpo	6	0.7	32	0.8125	13	16	0.0283
grpo	12	0.7	32	0.8125	13	16	0.014
grpo	14	0.7	32	0.75	12	16	0.0479
grpo	15	0.7	32	0.75	12	16	0.0241
grpo	21	0.7	32	0.75	12	16	0.0442
grpo	22	0.7	32	0.75	12	16	0.0298
grpo	23	0.7	32	0.875	14	16	0.0269
grpo	24	0.7	32	0.8125	13	16	0.0618
grpo	26	0.7	32	0.8125	13	16	0.0475
grpo	27	0.7	32	0.9375	15	16	0.0005
grpo	28	0.7	32	0.8125	13	16	0.0427
grpo	29	0.7	32	0.8125	13	16	0.0417
grpo	30	0.7	32	0.8125	13	16	0.0475
grpo	31	0.7	32	0.75	12	16	0.0681
grpo	34	0.7	32	0.875	14	16	0.0269
grpo	35	0.7	32	0.9375	15	16	0.0063
grpo	36	0.7	32	0.8125	13	16	0.0427
grpo	37	0.7	32	0.75	12	16	0.0336
grpo	39	0.7	32	0.75	12	16	0.0298
grpo	3	0.75	12	0.75	12	16	0.0263
grpo	6	0.75	12	0.8125	13	16	0.0144
grpo	12	0.75	12	0.8125	13	16	0.0098
grpo	14	0.75	12	0.75	12	16	0.0225
grpo	15	0.75	12	0.75	12	16	0.0119
grpo	21	0.75	12	0.75	12	16	0.0203
grpo	22	0.75	12	0.75	12	16	0.0157
grpo	23	0.75	12	0.875	14	16	0.0132
grpo	24	0.75	12	0.8125	13	16	0.0267
grpo	26	0.75	12	0.8125	13	16	0.0221
grpo	27	0.75	12	0.9375	15	16	0.0005
grpo	28	0.75	12	0.8125	13	16	0.019
grpo	29	0.75	12	0.8125	13	16	0.0182
grpo	30	0.75	12	0.8125	13	16	0.0221
grpo	31	0.75	12	0.75	12	16	0.0309
grpo	34	0.75	12	0.875	14	16	0.0132
grpo	35	0.75	12	0.9375	15	16	0.0043
grpo	36	0.75	12	0.8125	13	16	0.019
grpo	37	0.75	12	0.75	12	16	0.0179
grpo	39	0.75	12	0.75	12	16	0.0157
grpo	3	0.75	16	0.75	12	16	0.0395
grpo	6	0.75	16	0.8125	13	16	0.0212
grpo	12	0.75	16	0.8125	13	16	0.0127
grpo	14	0.75	16	0.75	12	16	0.0343
grpo	15	0.75	16	0.75	12	16	0.0175
grpo	21	0.75	16	0.75	12	16	0.0311
grpo	22	0.75	16	0.75	12	16	0.0226
grpo	23	0.75	16	0.875	14	16	0.0197
