pair	point	lo	hi	n	B	excl_zero
agxdf	-0.0125	-0.0376	0.0000	160	2000	0
agxap	-0.0000	-0.0000	0.0000	160	2000	0
dfxap	0.0000	-0.0000	0.0000	160	2000	0
