variant	metric	panel	left_out_step	loo_delta	loo_sign_consistent_with_full
aero	reward_mean	n2_same_stack_last10_loo	30	-0.015625	True
aero	reward_mean	n2_same_stack_last10_loo	31	-0.014757	True
aero	reward_mean	n2_same_stack_last10_loo	32	-0.013889	True
aero	reward_mean	n2_same_stack_last10_loo	33	-0.014757	True
aero	reward_mean	n2_same_stack_last10_loo	34	-0.014757	True
aero	reward_mean	n2_same_stack_last10_loo	35	-0.011285	True
aero	reward_mean	n2_same_stack_last10_loo	36	-0.015625	True
aero	reward_mean	n2_same_stack_last10_loo	37	-0.013021	True
aero	reward_mean	n2_same_stack_last10_loo	38	-0.015625	True
aero	reward_mean	n2_same_stack_last10_loo	39	-0.011285	True
areal	reward_mean	n2_same_stack_last10_loo	30	-0.019097	True
areal	reward_mean	n2_same_stack_last10_loo	31	-0.017361	True
areal	reward_mean	n2_same_stack_last10_loo	32	-0.022569	True
areal	reward_mean	n2_same_stack_last10_loo	33	-0.021701	True
areal	reward_mean	n2_same_stack_last10_loo	34	-0.017361	True
areal	reward_mean	n2_same_stack_last10_loo	35	-0.019965	True
areal	reward_mean	n2_same_stack_last10_loo	36	-0.021701	True
areal	reward_mean	n2_same_stack_last10_loo	37	-0.015625	True
areal	reward_mean	n2_same_stack_last10_loo	38	-0.019097	True
areal	reward_mean	n2_same_stack_last10_loo	39	-0.020833	True
