method	step	zvf	reward_mean	pcd	p_hat	regime	G_ccc	G_dualformer	G_adaptive	z_base	z_after	contrast_delta
grpo	19	0.625	0.78125	0.0566406	0.057058	BASELINE	8	4	16	0.625	0.625	0
grpo	20	0.625	0.828125	0.0722656	0.057058	BASELINE	8	4	16	0.625	0.625	0
grpo	21	0.75	0.859375	0.0429688	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
grpo	22	0.75	0.882812	0.0478516	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
grpo	23	0.875	0.882812	0.0185547	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
grpo	24	0.8125	0.929688	0.0205078	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	25	0.5625	0.789062	0.0771484	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
grpo	26	0.8125	0.875	0.0253906	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	27	0.9375	0.96875	0.015625	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
grpo	28	0.8125	0.898438	0.0283203	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	29	0.8125	0.953125	0.0292969	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	30	0.8125	0.9375	0.0253906	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	31	0.75	0.914062	0.0322266	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
grpo	32	0.6875	0.890625	0.0605469	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
grpo	33	0.6875	0.875	0.046875	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
grpo	34	0.875	0.898438	0.0185547	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
grpo	35	0.9375	0.859375	0.0117188	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
grpo	36	0.8125	0.898438	0.0283203	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	37	0.75	0.726562	0.0458984	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
grpo	38	0.6875	0.804688	0.0517578	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	39	0.75	0.804688	0.0478516	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
aero	0	0.6875	0.789062	0.0419922	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	1	0.6875	0.820312	0.0712891	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	2	0.8125	0.867188	0.0205078	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	3	0.6875	0.757812	0.0595703	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	4	0.75	0.828125	0.0585938	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
aero	5	0.5625	0.640625	0.0703125	0.0693951	BASELINE	8	8	16	0.5625	0.5625	0
aero	6	0.75	0.742188	0.0498047	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
aero	7	0.625	0.710938	0.0654297	0.057058	BASELINE	8	4	16	0.625	0.625	0
aero	8	0.6875	0.75	0.0722656	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	9	0.625	0.859375	0.0664062	0.057058	BASELINE	8	2	16	0.625	0.625	0
aero	10	0.75	0.851562	0.0419922	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
aero	11	0.5625	0.757812	0.0849609	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
aero	12	0.6875	0.867188	0.0595703	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
aero	13	0.5625	0.710938	0.100586	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
aero	14	0.75	0.921875	0.0449219	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
aero	15	0.8125	0.882812	0.0361328	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	16	0.5625	0.71875	0.0839844	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
aero	17	0.5625	0.78125	0.0859375	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
aero	18	0.625	0.703125	0.0683594	0.057058	BASELINE	8	4	16	0.625	0.625	0
aero	19	0.625	0.78125	0.0722656	0.057058	BASELINE	8	4	16	0.625	0.625	0
aero	20	0.625	0.828125	0.0664062	0.057058	BASELINE	8	4	16	0.625	0.625	0
aero	21	0.8125	0.90625	0.0292969	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	22	0.6875	0.898438	0.0419922	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
aero	23	0.8125	0.867188	0.0302734	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	24	0.8125	0.929688	0.0205078	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	25	0.6875	0.820312	0.0517578	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	26	0.875	0.820312	0.0263672	0.0165529	DEGENERATE	32	4	64	0.875	0.586182	-0.288818
aero	27	0.9375	0.976562	0.0146484	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
aero	28	0.8125	0.90625	0.0292969	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	29	0.875	0.9375	0.0234375	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
aero	30	0.8125	0.9375	0.0253906	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	31	0.8125	0.90625	0.0253906	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	32	0.75	0.875	0.0488281	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
aero	33	0.625	0.867188	0.0615234	0.057058	BASELINE	8	2	16	0.625	0.625	0
aero	34	0.875	0.890625	0.0214844	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
aero	35	0.8125	0.820312	0.0341797	0.025621	DEGENERATE	32	4	32	0.8125	0.435806	-0.376694
aero	36	0.8125	0.898438	0.0302734	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
aero	37	0.6875	0.703125	0.0507812	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	38	0.6875	0.804688	0.0517578	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
aero	39	0.625	0.765625	0.0488281	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	0	0.75	0.820312	0.0537109	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
gift	1	0.5625	0.804688	0.0751953	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
gift	2	0.6875	0.851562	0.0341797	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
gift	3	0.5625	0.757812	0.0673828	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
gift	4	0.6875	0.867188	0.0517578	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
gift	5	0.625	0.625	0.0488281	0.057058	BASELINE	8	8	16	0.625	0.625	0
gift	6	0.75	0.789062	0.0478516	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
gift	7	0.6875	0.726562	0.0439453	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
gift	8	0.625	0.710938	0.0673828	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	9	0.625	0.882812	0.0537109	0.057058	BASELINE	8	2	16	0.625	0.625	0
gift	10	0.75	0.882812	0.0361328	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
gift	11	0.625	0.757812	0.0693359	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	12	0.75	0.9375	0.0449219	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
gift	13	0.5625	0.710938	0.0908203	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
gift	14	0.8125	0.9375	0.0371094	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
gift	15	0.625	0.84375	0.0625	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	16	0.625	0.742188	0.0634766	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	17	0.75	0.8125	0.0625	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
gift	18	0.625	0.703125	0.0703125	0.057058	BASELINE	8	4	16	0.625	0.625	0
gift	19	0.75	0.84375	0.0410156	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
gift	20	0.6875	0.828125	0.0566406	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
gift	21	0.75	0.867188	0.0478516	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
gift	22	0.875	0.890625	0.0214844	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
gift	23	0.875	0.890625	0.0214844	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
gift	24	0.875	0.9375	0.0136719	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
gift	25	0.75	0.851562	0.0537109	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
gift	26	0.8125	0.898438	0.0283203	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
gift	27	0.9375	0.953125	0.0117188	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
gift	28	0.875	0.929688	0.0185547	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
gift	29	0.9375	0.960938	0.0146484	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
gift	30	0.875	0.921875	0.0273438	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
gift	31	0.9375	0.929688	0.00683594	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
gift	32	0.75	0.84375	0.0429688	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
gift	33	0.9375	0.929688	0.00683594	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
gift	34	1	0.9375	0	2.91038e-11	DEGENERATE	32	2	64	1	1	-6.98492e-10
gift	35	0.9375	0.820312	0.00683594	0.00803486	DEGENERATE	32	4	64	0.9375	0.772476	-0.165024
gift	36	0.9375	0.90625	0.015625	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
gift	37	0.875	0.78125	0.0214844	0.0165529	DEGENERATE	32	4	64	0.875	0.586182	-0.288818
gift	38	0.9375	0.835938	0.0146484	0.00803486	DEGENERATE	32	4	64	0.9375	0.772476	-0.165024
gift	39	0.8125	0.867188	0.0419922	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
areal	0	0.6875	0.859375	0.0546875	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
areal	1	0.5	0.851562	0.0908203	0.082996	BASELINE	8	2	16	0.5	0.5	0
areal	2	0.6875	0.8125	0.0429688	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	3	0.6875	0.742188	0.0595703	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	4	0.5	0.828125	0.0683594	0.082996	BASELINE	8	4	16	0.5	0.5	0
areal	5	0.75	0.65625	0.0429688	0.0353214	DEGENERATE	32	8	32	0.75	0.316406	-0.433594
areal	6	0.6875	0.820312	0.0498047	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	7	0.875	0.75	0.0136719	0.0165529	DEGENERATE	32	4	64	0.875	0.586182	-0.288818
areal	8	0.625	0.75	0.0703125	0.057058	BASELINE	8	4	16	0.625	0.625	0
areal	9	0.6875	0.859375	0.0625	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
areal	10	0.6875	0.882812	0.0419922	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
areal	11	0.5	0.734375	0.0800781	0.082996	BASELINE	8	4	16	0.5	0.5	0
areal	12	0.8125	0.914062	0.0439453	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
areal	13	0.5625	0.71875	0.09375	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
areal	14	0.6875	0.890625	0.0527344	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
areal	15	0.6875	0.835938	0.0419922	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	16	0.625	0.75	0.0585938	0.057058	BASELINE	8	4	16	0.625	0.625	0
areal	17	0.5	0.789062	0.0927734	0.082996	BASELINE	8	4	16	0.5	0.5	0
areal	18	0.5625	0.664062	0.0771484	0.0693951	BASELINE	8	8	16	0.5625	0.5625	0
areal	19	0.75	0.75	0.0546875	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
areal	20	0.6875	0.84375	0.0703125	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	21	0.6875	0.84375	0.0429688	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
areal	22	0.8125	0.90625	0.0292969	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
areal	23	0.8125	0.875	0.0332031	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
areal	24	0.875	0.929688	0.0185547	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
areal	25	0.625	0.828125	0.0820312	0.057058	BASELINE	8	4	16	0.625	0.625	0
areal	26	0.875	0.835938	0.0263672	0.0165529	DEGENERATE	32	4	64	0.875	0.586182	-0.288818
areal	27	0.9375	0.953125	0.0117188	0.00803486	DEGENERATE	32	2	64	0.9375	0.772476	-0.165024
areal	28	0.875	0.90625	0.0214844	0.0165529	DEGENERATE	32	2	64	0.875	0.586182	-0.288818
areal	29	0.8125	0.953125	0.0292969	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
areal	30	0.75	0.914062	0.0400391	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
areal	31	0.5625	0.875	0.0527344	0.0693951	BASELINE	8	2	16	0.5625	0.5625	0
areal	32	0.75	0.898438	0.0478516	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
areal	33	0.625	0.875	0.0625	0.057058	BASELINE	8	2	16	0.625	0.625	0
areal	34	0.6875	0.859375	0.0390625	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
areal	35	0.8125	0.84375	0.0253906	0.025621	DEGENERATE	32	4	32	0.8125	0.435806	-0.376694
areal	36	0.75	0.898438	0.0400391	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
areal	37	0.6875	0.671875	0.0566406	0.0457568	BASELINE	8	8	32	0.6875	0.6875	0
areal	38	0.8125	0.78125	0.0332031	0.025621	DEGENERATE	32	4	32	0.8125	0.435806	-0.376694
areal	39	0.75	0.796875	0.0449219	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
