method	step	zvf	reward_mean	pcd	p_hat	regime	G_ccc	G_dualformer	G_adaptive	z_base	z_after	contrast_delta
grpo	0	0.6875	0.8125	0.0390625	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	1	0.5	0.820312	0.0908203	0.082996	BASELINE	8	4	16	0.5	0.5	0
grpo	2	0.6875	0.828125	0.0527344	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	3	0.75	0.796875	0.0371094	0.0353214	DEGENERATE	32	4	32	0.75	0.316406	-0.433594
grpo	4	0.6875	0.804688	0.0576172	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	5	0.6875	0.6875	0.0566406	0.0457568	BASELINE	8	8	32	0.6875	0.6875	0
grpo	6	0.8125	0.796875	0.0332031	0.025621	DEGENERATE	32	4	32	0.8125	0.435806	-0.376694
grpo	7	0.6875	0.710938	0.0478516	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	8	0.5625	0.726562	0.0732422	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
grpo	9	0.6875	0.882812	0.0517578	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
grpo	10	0.6875	0.882812	0.0517578	0.0457568	BASELINE	8	2	32	0.6875	0.6875	0
grpo	11	0.6875	0.71875	0.0566406	0.0457568	BASELINE	8	4	32	0.6875	0.6875	0
grpo	12	0.8125	0.945312	0.0380859	0.025621	DEGENERATE	32	2	32	0.8125	0.435806	-0.376694
grpo	13	0.5625	0.742188	0.0693359	0.0693951	BASELINE	8	4	16	0.5625	0.5625	0
grpo	14	0.75	0.875	0.0410156	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
grpo	15	0.75	0.851562	0.0517578	0.0353214	DEGENERATE	32	2	32	0.75	0.316406	-0.433594
grpo	16	0.625	0.734375	0.0742188	0.057058	BASELINE	8	4	16	0.625	0.625	0
grpo	17	0.5	0.84375	0.0859375	0.082996	BASELINE	8	4	16	0.5	0.5	0
grpo	18	0.5625	0.648438	0.0947266	0.0693951	BASELINE	8	8	16	0.5625	0.5625	0
