trigger	tau	n_seeds	n_fire_mean	n_fire_sd	n_fire_cv	n_fire_ci_lo	n_fire_ci_hi	headroom_bdy_total	ddiv_neg_fire_total
T1_zvf	0.5	5	12.6	1.4966629547095767	0.11878277418329974	11.2	13.8	0	61
T1_zvf	0.6	5	9.0	1.5491933384829668	0.17213259316477408	7.4	10.0	0	43
T1_zvf	0.7	5	4.2	1.3266499161421599	0.3158690276528952	3.0	5.4	0	19
T1_zvf	0.8	5	0.6	0.8	1.3333333333333335	0.0	1.4	0	3
T1_zvf	0.9	5	0.0	0.0	0.0	0.0	0.0	0	0
T2_yobs	0.2	5	14.4	0.8	0.05555555555555556	13.6	15.0	0	69
T2_yobs	0.3	5	10.8	1.3266499161421599	0.12283795519834813	9.6	12.0	0	53
T2_yobs	0.4	5	6.0	1.5491933384829668	0.25819888974716115	5.0	7.6	0	29
T2_yobs	0.5	5	6.0	1.5491933384829668	0.25819888974716115	5.0	7.6	0	29
T2_yobs	0.6	5	2.4	1.4966629547095767	0.6236095644623236	1.2	3.8	0	11
T3_ddiv	0.03	5	0.2	0.4	2.0	0.0	0.6	0	0
T3_ddiv	0.04	5	0.2	0.4	2.0	0.0	0.6	0	0
T3_ddiv	0.05	5	0.0	0.0	0.0	0.0	0.0	0	0
T3_ddiv	0.06	5	0.0	0.0	0.0	0.0	0.0	0	0
T3_ddiv	0.07	5	0.0	0.0	0.0	0.0	0.0	0	0
T_joint		5	10.2	0.7483314773547883	0.07336583111321454	9.6	10.8	0	48
