method	controller	threshold	step	trigger_zvf	trigger_pcd
grpo	zvf_triage	0.5	0	0.6875	0.0391
grpo	zvf_triage	0.5	1	0.5	0.0908
grpo	zvf_triage	0.5	2	0.6875	0.0527
grpo	zvf_triage	0.5	3	0.75	0.0371
grpo	zvf_triage	0.5	4	0.6875	0.0576
grpo	zvf_triage	0.5	5	0.6875	0.0566
grpo	zvf_triage	0.5	6	0.8125	0.0332
grpo	zvf_triage	0.5	7	0.6875	0.0479
grpo	zvf_triage	0.5	8	0.5625	0.0732
grpo	zvf_triage	0.5	9	0.6875	0.0518
grpo	zvf_triage	0.5	10	0.6875	0.0518
grpo	zvf_triage	0.5	11	0.6875	0.0566
grpo	zvf_triage	0.5	12	0.8125	0.0381
grpo	zvf_triage	0.5	13	0.5625	0.0693
grpo	zvf_triage	0.5	14	0.75	0.041
grpo	zvf_triage	0.5	15	0.75	0.0518
grpo	zvf_triage	0.5	16	0.625	0.0742
grpo	zvf_triage	0.5	17	0.5	0.0859
grpo	zvf_triage	0.5	18	0.5625	0.0947
grpo	zvf_triage	0.5	19	0.625	0.0566
grpo	zvf_triage	0.5	20	0.625	0.0723
grpo	zvf_triage	0.5	21	0.75	0.043
grpo	zvf_triage	0.5	22	0.75	0.0479
grpo	zvf_triage	0.5	23	0.875	0.0186
grpo	zvf_triage	0.5	24	0.8125	0.0205
grpo	zvf_triage	0.5	25	0.5625	0.0771
grpo	zvf_triage	0.5	26	0.8125	0.0254
grpo	zvf_triage	0.5	27	0.9375	0.0156
grpo	zvf_triage	0.5	28	0.8125	0.0283
grpo	zvf_triage	0.5	29	0.8125	0.0293
grpo	zvf_triage	0.5	30	0.8125	0.0254
grpo	zvf_triage	0.5	31	0.75	0.0322
grpo	zvf_triage	0.5	32	0.6875	0.0605
grpo	zvf_triage	0.5	33	0.6875	0.0469
grpo	zvf_triage	0.5	34	0.875	0.0186
grpo	zvf_triage	0.5	35	0.9375	0.0117
grpo	zvf_triage	0.5	36	0.8125	0.0283
grpo	zvf_triage	0.5	37	0.75	0.0459
grpo	zvf_triage	0.5	38	0.6875	0.0518
grpo	zvf_triage	0.5	39	0.75	0.0479
aero	zvf_triage	0.5	0	0.6875	0.042
aero	zvf_triage	0.5	1	0.6875	0.0713
aero	zvf_triage	0.5	2	0.8125	0.0205
aero	zvf_triage	0.5	3	0.6875	0.0596
aero	zvf_triage	0.5	4	0.75	0.0586
aero	zvf_triage	0.5	5	0.5625	0.0703
aero	zvf_triage	0.5	6	0.75	0.0498
aero	zvf_triage	0.5	7	0.625	0.0654
aero	zvf_triage	0.5	8	0.6875	0.0723
aero	zvf_triage	0.5	9	0.625	0.0664
aero	zvf_triage	0.5	10	0.75	0.042
aero	zvf_triage	0.5	11	0.5625	0.085
