method	controller	pct_point	ci_lo	ci_hi	B
aero	C2_dualformer	-10.973722618406061	-98.35007280351891	76.0909590084413	2000
areal	C2_dualformer	73.69701930135214	-9.27676703546847	147.57672274841704	2000
gift	C2_dualformer	-1.6998928314646777	-103.68319128775467	89.08046567784218	2000
grpo	C2_dualformer	7.3651201601976215	-80.40476415262503	88.75122968565421	2000
aero	C3_hybrid	86.0230815503497	63.71020085409871	109.15116235729516	2000
areal	C3_hybrid	64.18906593242146	45.101627022909355	84.22330887498829	2000
gift	C3_hybrid	82.6326007719274	60.12851649525106	108.39923380528941	2000
grpo	C3_hybrid	92.53789568846166	70.86118787492077	113.94713944964512	2000
aero	C5_isog_y090	252.43217120334677	225.69060250055512	275.1591572736795	2000
areal	C5_isog_y090	270.3863530982652	244.62522403401886	291.8223410686752	2000
gift	C5_isog_y090	260.5661586858424	232.224417183889	284.80026216844124	2000
grpo	C5_isog_y090	262.13834025355493	236.7113075035824	283.91173799745667	2000
aero	C6_calibrated	9.885164638133048	-43.02532636154528	58.74515293212059	2000
areal	C6_calibrated	1.7994124956843487	-42.62582513613991	45.312941222104826	2000
gift	C6_calibrated	9.262211881142166	-44.78640509513136	62.625709904480864	2000
grpo	C6_calibrated	11.617386359786307	-39.64587451720167	62.783569876459154	2000
