tau	method_a	method_b	cohens_kappa
0.7	grpo	aero	0.55
0.7	grpo	gift	0.4634146341463415
0.7	grpo	areal	0.3500000000000001
0.7	aero	gift	0.32611311672683524
0.7	aero	areal	0.19395465994962208
0.7	gift	areal	0.39038686987104343
0.8	grpo	aero	0.6590909090909091
0.8	grpo	gift	0.4764397905759163
0.8	grpo	areal	0.573170731707317
0.8	aero	gift	0.4858611825192803
0.8	aero	areal	0.3641618497109826
0.8	gift	areal	0.4715984147952444
0.9	grpo	aero	0.6551724137931038
0.9	grpo	gift	0.35135135135135115
0.9	grpo	areal	0.6551724137931038
0.9	aero	gift	0.1884057971014489
0.9	aero	areal	1.0
0.9	gift	areal	0.1884057971014489
