method	tier	pair	n	kappa	agree	fA	fB
grpo	boundary	agxdf	461	0.0000	203	258	0
grpo	boundary	agxap	461	0.0000	203	258	0
grpo	boundary	dfxap	461	nan	461	0	0
grpo	edge	agxdf	75	0.0000	29	29	75
grpo	edge	agxap	75	0.0000	46	29	0
grpo	edge	dfxap	75	0.0000	0	75	0
grpo	mid	agxdf	104	0.0000	33	33	104
grpo	mid	agxap	104	0.0000	71	33	0
grpo	mid	dfxap	104	0.0000	0	104	0
aero	boundary	agxdf	461	0.0000	214	247	0
aero	boundary	agxap	461	0.0000	214	247	0
aero	boundary	dfxap	461	nan	461	0	0
aero	edge	agxdf	68	0.0000	23	23	68
aero	edge	agxap	68	0.0000	45	23	0
aero	edge	dfxap	68	0.0000	0	68	0
aero	mid	agxdf	111	0.0000	34	34	111
aero	mid	agxap	111	0.0000	77	34	0
aero	mid	dfxap	111	0.0000	0	111	0
gift	boundary	agxdf	493	0.0000	141	352	0
gift	boundary	agxap	493	0.0000	141	352	0
gift	boundary	dfxap	493	nan	493	0	0
gift	edge	agxdf	60	0.0000	22	22	60
gift	edge	agxap	60	0.0000	38	22	0
gift	edge	dfxap	60	0.0000	0	60	0
gift	mid	agxdf	87	0.0000	42	42	87
gift	mid	agxap	87	0.0000	45	42	0
gift	mid	dfxap	87	0.0000	0	87	0
areal	boundary	agxdf	452	-0.0000	231	221	0
areal	boundary	agxap	452	-0.0000	231	221	0
areal	boundary	dfxap	452	nan	452	0	0
areal	edge	agxdf	84	0.0000	20	20	84
areal	edge	agxap	84	0.0000	64	20	0
areal	edge	dfxap	84	0.0000	0	84	0
areal	mid	agxdf	104	0.0000	31	31	104
areal	mid	agxap	104	0.0000	73	31	0
areal	mid	dfxap	104	0.0000	0	104	0
