stat	quartile	n_llm_grad	n_missed_xgb	lpm_grad
V_mean	0	13	12	1.0833333333333333
V_mean	1	19	28	0.6785714285714286
V_mean	2	37	36	1.0277777777777777
V_mean	3	15	17	0.8823529411764706
V_std	0	30	30	1.0
V_std	1	20	24	0.8333333333333334
V_std	2	19	20	0.95
V_std	3	15	18	0.8333333333333334
V_max	0	30	27	1.1111111111111112
V_max	1	18	24	0.75
V_max	2	18	16	1.125
V_max	3	18	25	0.72
V_min	0	14	15	0.9333333333333333
V_min	1	26	22	1.1818181818181819
V_min	2	31	28	1.1071428571428572
V_min	3	13	28	0.4642857142857143
