controller	threshold	eta_min	n_fires_total	sum_zvf_drop_total	extra_rollouts_total	zvf_drop_per_1k_mean	ci_lo	ci_hi
zvf_then_drop	0.50	0.050	30	1.8429	3840	7.6367	7.3907	7.8827
drop_gated	n/a	0.050	30	1.8429	3840	7.6367	7.3907	7.8827
zvf_then_drop	0.60	0.050	16	0.9655	2048	7.5888	7.3080	7.9428
zvf_then_drop	0.55	0.050	24	1.4587	3072	7.5788	7.3994	7.7871
zvf_then_drop	0.65	0.050	10	0.5931	1280	7.5047	7.2572	7.7521
zvf_then_drop	0.50	0.030	83	3.9089	10624	5.9021	5.5532	6.2509
drop_gated	n/a	0.030	83	3.9089	10624	5.9021	5.5532	6.2509
zvf_then_drop	0.55	0.030	77	3.5248	9856	5.7563	5.4757	6.0369
zvf_then_drop	0.60	0.030	66	2.9155	8448	5.5502	5.2580	5.7786
zvf_then_drop	0.65	0.030	47	2.0049	6016	5.3739	5.1589	5.5545
zvf_then_drop	0.50	0.020	118	4.8149	15104	5.1166	4.8704	5.3627
drop_gated	n/a	0.020	118	4.8149	15104	5.1166	4.8704	5.3627
zvf_then_drop	0.55	0.020	112	4.4307	14336	4.9737	4.7914	5.1966
zvf_then_drop	0.60	0.020	98	3.7478	12544	4.8110	4.5945	5.0665
zvf_then_drop	0.50	0.010	143	5.2002	18304	4.5336	4.2990	4.8013
drop_gated	n/a	0.010	143	5.2002	18304	4.5336	4.2990	4.8013
zvf_then_drop	0.70	0.030	19	0.6895	2432	4.5029	4.3197	4.6452
zvf_then_drop	0.75	0.030	19	0.6895	2432	4.5029	4.3197	4.6452
zvf_then_drop	0.65	0.020	78	2.8075	9984	4.5025	4.4109	4.5902
zvf_then_drop	0.55	0.010	137	4.8161	17536	4.3927	4.2883	4.4897
zvf_then_drop	0.50	0.005	152	5.2614	19456	4.3171	4.0222	4.6120
drop_gated	n/a	0.005	152	5.2614	19456	4.3171	4.0222	4.6120
zvf_then_drop	0.60	0.010	122	4.1184	15616	4.2172	4.0997	4.2967
zvf_then_drop	0.55	0.005	146	4.8773	18688	4.1756	4.0222	4.3291
zvf_triage	0.50	0.0	160	5.2730	20480	4.1196	3.6949	4.5042
zvf_then_drop	0.60	0.005	131	4.1797	16768	3.9869	3.8203	4.1075
zvf_triage	0.55	0.0	154	4.8889	19712	3.9776	3.6540	4.2203
zvf_then_drop	0.65	0.010	101	3.1611	12928	3.8819	3.5474	4.1757
zvf_triage	0.60	0.0	139	4.1913	17792	3.7813	3.4287	3.9939
zvf_then_drop	0.70	0.020	45	1.3560	5760	3.7507	3.6092	3.8959
zvf_then_drop	0.75	0.020	45	1.3560	5760	3.7507	3.6092	3.8959
zvf_then_drop	0.80	0.020	24	0.7191	3072	3.6979	3.4919	3.9040
zvf_then_drop	0.65	0.005	110	3.2224	14080	3.6371	3.2695	3.9966
zvf_triage	0.65	0.0	118	3.2340	15104	3.4247	2.8767	3.8736
zvf_then_drop	0.80	0.030	8	0.2959	1024	3.3914	1.1452	4.6689
zvf_then_drop	0.70	0.010	66	1.6865	8448	3.1986	2.8556	3.4738
zvf_then_drop	0.75	0.010	66	1.6865	8448	3.1986	2.8556	3.4738
zvf_then_drop	0.80	0.010	40	0.9750	5120	3.0320	2.5555	3.3843
zvf_then_drop	0.70	0.005	74	1.7382	9472	2.9501	2.5848	3.2854
zvf_then_drop	0.75	0.005	74	1.7382	9472	2.9501	2.5848	3.2854
zvf_then_drop	0.50	0.080	2	0.1809	256	2.8266	0.0000	8.4799
drop_gated	n/a	0.080	2	0.1809	256	2.8266	0.0000	8.4799
zvf_then_drop	0.55	0.080	1	0.0902	128	2.8190	0.0000	8.4571
zvf_triage	0.70	0.0	82	1.7498	10496	2.7252	2.2157	3.1250
zvf_triage	0.75	0.0	82	1.7498	10496	2.7252	2.2157	3.1250
zvf_then_drop	0.80	0.005	47	1.0198	6016	2.7236	2.2419	3.1663
zvf_triage	0.80	0.0	54	1.0294	6912	2.4505	1.8539	2.9304
zvf_triage	0.85	0.0	27	0.3091	3456	1.4473	1.1841	1.7674
zvf_triage	0.90	0.0	12	0.0644	1536	0.5171	0.2816	0.7527
zvf_then_drop	0.50	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.50	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.50	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.55	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.55	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.55	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.60	0.080	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.60	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.60	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.60	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.65	0.080	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.65	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.65	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.65	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.70	0.050	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.70	0.080	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.70	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.70	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.70	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.75	0.050	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.75	0.080	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.75	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.75	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.75	0.200	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.80	0.050	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.80	0.080	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.80	0.100	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.80	0.150	0	0.0000	0	0.0000	0.0000	0.0000
zvf_then_drop	0.80	0.200	0	0.0000	0	0.0000	0.0000	0.0000
drop_gated	n/a	0.100	0	0.0000	0	0.0000	0.0000	0.0000
drop_gated	n/a	0.150	0	0.0000	0	0.0000	0.0000	0.0000
drop_gated	n/a	0.200	0	0.0000	0	0.0000	0.0000	0.0000
