axis	metric	n_cells	eta2_stack_point	eta2_stack_lo	eta2_stack_mean	eta2_stack_hi	n_boot	ub_le_0.05	ub_le_0.10
model_family	mean_reward	98	0.452666527374799	0.3031979100890571	0.45574962303635036	0.6281484998628702	2000	False	False
model_family	zvf	98	0.0052930199213006915	9.272567110205086e-06	0.015473161133202904	0.07437400002782542	2000	False	True
model_family	pcd	98	0.09310553757446549	0.01598887592914608	0.09833208542831977	0.21772224947207947	2000	False	False
model_family	mean_completion_len	98	0.3006259143041856	0.17714606218764656	0.3062303178477083	0.44791551362810894	2000	False	False
model_family	std_completion_len	98	0.15924552585004856	0.045525652145945554	0.16544865078449889	0.32297566469196043	2000	False	False
task_slice	mean_reward	98	0.2728604453647076	0.1823704900602163	0.28405988099984225	0.40276586394193176	2000	False	False
task_slice	zvf	98	0.4686906112465502	0.370145647738521	0.4784224124097266	0.5934301402360864	2000	False	False
task_slice	pcd	98	0.4507381003169186	0.3581028958953305	0.46269122817915437	0.5702606590726428	2000	False	False
task_slice	mean_completion_len	98	0.20966959913102437	0.07890489935240161	0.2227099395967329	0.39883541888812296	2000	False	False
task_slice	std_completion_len	98	0.4134717807951402	0.2845638028829327	0.4224175608146062	0.5617556885237467	2000	False	False
G	mean_reward	98	0.030434006848941084	0.011495393833114298	0.06971085383349397	0.17322561135315576	2000	False	False
G	zvf	98	0.4436565428463211	0.2801173757818098	0.4654959296295257	0.6402081494544656	2000	False	False
G	pcd	98	0.2303748551054317	0.12668146034516975	0.26226106886040457	0.4168352321245757	2000	False	False
G	mean_completion_len	98	0.0170283385247631	0.008221564027322653	0.057482275859685655	0.14410031023097186	2000	False	False
G	std_completion_len	98	0.03402988237583669	0.011065335870214554	0.0731354319304698	0.17542741326552086	2000	False	False
temperature	mean_reward	98	6.648894690039854e-06	1.1146082448442445e-05	0.009979050124787956	0.050134801607268055	2000	False	True
temperature	zvf	98	0.009153099847568277	2.6218405536860473e-05	0.019283423536342856	0.08040574860330323	2000	False	True
temperature	pcd	98	0.00910774325951233	3.414652151520149e-05	0.019803191426022042	0.08774584221450343	2000	False	True
temperature	mean_completion_len	98	0.20664100373017538	0.07666396517566695	0.2166071963261484	0.38246986316564946	2000	False	False
temperature	std_completion_len	98	0.122774027349987	0.02343899417404041	0.13131782165356243	0.27943103937636754	2000	False	False
seed	mean_reward	98	7.864172691297793e-06	1.0240621498017972e-05	0.010035434826007553	0.04885030778773579	2000	True	True
seed	zvf	98	2.4137681334331252e-05	1.1841556579949849e-05	0.010660301318013347	0.053224175049974884	2000	False	True
seed	pcd	98	0.0006940124182344182	1.0752519856816231e-05	0.01092959776061223	0.0521296932597781	2000	False	True
seed	mean_completion_len	98	4.988726635055992e-05	1.1281671882100878e-05	0.0106251224889401	0.052132637151109905	2000	False	True
seed	std_completion_len	98	0.001450759512777649	9.957653775469084e-06	0.011356944461284043	0.05308099235732491	2000	False	True
