item_key	item_label	json_field	n_unique	top_value	top_freq	shannon_H_bits	normalised_H	classification	exhibit11_validation	n_task_strata	mean_H_per_task_stratum	n_G_strata	mean_H_per_G_stratum	D_task	D_G	discriminative_score_2.5bit	gap_validation_minus_discriminative
item1	loss_form	loss_form	1	n/a-sampling	1.0	-0.0	0.0	VACUOUS	0.244	3	0.0	2	0.0	0.0	0.0	-0.0	0.244
item2	ref_policy_kl	ref_policy_kl	1	n/a	1.0	-0.0	0.0	VACUOUS	0.244	3	0.0	2	0.0	0.0	0.0	-0.0	0.244
item3	sampler_backend_precision	sampler_backend_precision	1	tinker-closed	1.0	-0.0	0.0	VACUOUS	0.64	3	0.0	2	0.0	0.0	0.0	-0.0	0.64
item4	per_step_zvf_path	per_step_zvf_path	98	/home/claude/tinker-rl-lab/experiments/results/mega_20260704	0.0102	6.6147	1.0	HIGH	0.495	3	4.9981	2	5.5621	0.2444	0.1591	1.0	-0.505
item5	group_size_schedule	group_size_schedule	5	fixed-G=2	0.2449	2.3121	0.9958	MEDIUM	0.743	3	2.204	2	1.2873	0.0468	0.4432	0.9248	-0.1818
item6	heldout_split	heldout_split	3	gsm8k_hard	0.4082	1.5546	0.9808	MEDIUM	0.762	3	0.0	2	1.5457	1.0	0.0057	0.6218	0.1402
item7	decontamination_notes	decontamination_notes	2	gsm8k-train-slice	0.6531	0.9313	0.9313	VACUOUS	0.618	3	0.0	2	0.9077	1.0	0.0254	0.3725	0.2455
