removed_bin	metric	max_stack_eta2_after	max_stack_eta2_before	drop_pct	ratio_after	ratio_before	ratio_change_pct
Qwen/Qwen3.5-4B|gsm8k_easy	mean_reward	0.377	0.4527	16.72	247697.79	96128.06	157.67
Qwen/Qwen3.5-4B|gsm8k_easy	zvf	0.4915	0.4687	-4.88	254960.87	38396.12	564.03
Qwen/Qwen3.5-4B|gsm8k_easy	pcd	0.5094	0.4507	-13.02	9173.95	1128.69	712.79
Qwen/Qwen3.5-4B|gsm8k_easy	mean_completion_len	0.3517	0.3006	-17.01	26567.83	14712.47	80.58
Qwen/Qwen3.5-4B|gsm8k_easy	std_completion_len	0.3874	0.4135	6.3	338.03	502.85	-32.78
Qwen/Qwen3.5-4B|gsm8k_hard	mean_reward	0.3654	0.4527	19.29	inf	96128.06	n/a
Qwen/Qwen3.5-4B|gsm8k_hard	zvf	0.5059	0.4687	-7.94	2400.54	38396.12	-93.75
Qwen/Qwen3.5-4B|gsm8k_hard	pcd	0.5024	0.4507	-11.46	473.88	1128.69	-58.01
Qwen/Qwen3.5-4B|gsm8k_hard	mean_completion_len	0.3643	0.3006	-21.2	8013.44	14712.47	-45.53
Qwen/Qwen3.5-4B|gsm8k_hard	std_completion_len	0.4779	0.4135	-15.59	744.27	502.85	48.01
Qwen/Qwen3.5-4B|humaneval_subset	mean_reward	0.9919	0.4527	-119.13	25093.53	96128.06	-73.9
Qwen/Qwen3.5-4B|humaneval_subset	zvf	0.5197	0.4687	-10.88	2468.84	38396.12	-93.57
Qwen/Qwen3.5-4B|humaneval_subset	pcd	0.4027	0.4507	10.66	480.84	1128.69	-57.4
Qwen/Qwen3.5-4B|humaneval_subset	mean_completion_len	0.4376	0.3006	-45.57	5766.15	14712.47	-60.81
Qwen/Qwen3.5-4B|humaneval_subset	std_completion_len	0.6174	0.4135	-49.33	301.67	502.85	-40.01
meta-llama/Llama-3.2-3B|gsm8k_easy	mean_reward	0.4964	0.4527	-9.65	78539.22	96128.06	-18.3
meta-llama/Llama-3.2-3B|gsm8k_easy	zvf	0.54	0.4687	-15.21	27800.32	38396.12	-27.6
meta-llama/Llama-3.2-3B|gsm8k_easy	pcd	0.5255	0.4507	-16.59	906.06	1128.69	-19.72
meta-llama/Llama-3.2-3B|gsm8k_easy	mean_completion_len	0.2387	0.3006	20.59	1658.16	14712.47	-88.73
meta-llama/Llama-3.2-3B|gsm8k_easy	std_completion_len	0.5329	0.4135	-28.89	978.62	502.85	94.61
meta-llama/Llama-3.2-3B|gsm8k_hard	mean_reward	0.7118	0.4527	-57.24	52623.36	96128.06	-45.26
meta-llama/Llama-3.2-3B|gsm8k_hard	zvf	0.559	0.4687	-19.27	9586.03	38396.12	-75.03
meta-llama/Llama-3.2-3B|gsm8k_hard	pcd	0.597	0.4507	-32.45	3135.04	1128.69	177.76
meta-llama/Llama-3.2-3B|gsm8k_hard	mean_completion_len	0.316	0.3006	-5.13	973.98	14712.47	-93.38
meta-llama/Llama-3.2-3B|gsm8k_hard	std_completion_len	0.7089	0.4135	-71.45	1386.67	502.85	175.76
meta-llama/Llama-3.2-3B|humaneval_subset	mean_reward	0.3893	0.4527	14.0	3308.33	96128.06	-96.56
meta-llama/Llama-3.2-3B|humaneval_subset	zvf	0.5197	0.4687	-10.88	13632.81	38396.12	-64.49
meta-llama/Llama-3.2-3B|humaneval_subset	pcd	0.3326	0.4507	26.21	1897.09	1128.69	68.08
meta-llama/Llama-3.2-3B|humaneval_subset	mean_completion_len	0.5489	0.3006	-82.57	4760.68	14712.47	-67.64
meta-llama/Llama-3.2-3B|humaneval_subset	std_completion_len	0.3733	0.4135	9.73	351.16	502.85	-30.17
