method_a	method_b	r_savings_tau	r_retention_tau	r_fires_tau
grpo	aero	0.9914780061123991	0.989207871378858	0.9939179474236707
grpo	gift	0.9851557175543931	0.9776617424444403	0.9862486306870382
grpo	areal	0.9948331499189274	0.9844995832221334	0.9957896832240959
aero	gift	0.9898012579439692	0.9885516101160945	0.9879248625733267
aero	areal	0.9894568337745562	0.9735810948325953	0.9928496298361014
gift	areal	0.9832558978668959	0.9782001085849384	0.9825028254206356
