a	b	ratio	lo	hi
D1	D2	0.017	0.017	0.017
D1	D3	0.023	0.023	0.023
D1	D4	0.011	0.011	0.011
D1	D5	0.008	0.008	0.008
D1	D6	1.566	1.566	1.566
D1	D7	0.532	0.532	0.532
D1	D8	0.091	0.091	0.091
D1	D9	0.091	0.091	0.091
D1	D10	0.011	0.01	0.012
D2	D3	1.361	1.361	1.361
D2	D4	0.686	0.686	0.686
D2	D5	0.5	0.5	0.5
D2	D6	94.34	94.34	94.34
D2	D7	32.051	32.051	32.051
D2	D8	5.47	5.47	5.47
D2	D9	5.47	5.47	5.47
D2	D10	0.641	0.588	0.725
D3	D4	0.504	0.504	0.504
D3	D5	0.367	0.367	0.367
D3	D6	69.302	69.302	69.302
D3	D7	23.545	23.545	23.545
D3	D8	4.019	4.019	4.019
D3	D9	4.019	4.019	4.019
D3	D10	0.471	0.432	0.533
D4	D5	0.729	0.729	0.729
D4	D6	137.604	137.604	137.604
D4	D7	46.75	46.75	46.75
D4	D8	7.979	7.979	7.979
D4	D9	7.979	7.979	7.979
D4	D10	0.935	0.858	1.058
D5	D6	188.679	188.679	188.679
D5	D7	64.103	64.103	64.103
D5	D8	10.941	10.941	10.941
D5	D9	10.941	10.941	10.941
D5	D10	1.282	1.176	1.451
D6	D7	0.34	0.34	0.34
D6	D8	0.058	0.058	0.058
D6	D9	0.058	0.058	0.058
D6	D10	0.007	0.006	0.008
D7	D8	0.171	0.171	0.171
D7	D9	0.171	0.171	0.171
D7	D10	0.02	0.018	0.023
D8	D9	1.0	1.0	1.0
D8	D10	0.117	0.108	0.133
D9	D10	0.117	0.108	0.133
