variant	metric_zvf_risk_mean	zvf_risk_ci	zvf_risk_significant_negative	mag_mean_delta	mag_mean_base	mag_mean_variant	interpretation
aero	-0.147637	[-0.285921, -0.009354]	True	-0.26052	0.48078	0.22026	zvf_risk_mean is significantly LOWER for aero than grpo (delta=-0.1476, CI=[-0.2859,-0.0094]), but reward_mean is significantly LOWER on n2_same_stack_last10 — i.e. aero trades reward for zvf reduction.
areal	-0.245767	[-0.354535, -0.137]	True	-0.35988	0.48078	0.1209	zvf_risk_mean is significantly LOWER for areal than grpo (delta=-0.2458, CI=[-0.3545,-0.1370]), but reward_mean is significantly LOWER on n2_same_stack_last10 — i.e. areal trades reward for zvf reduction.
