seed	rate_pct	fset	tau_vmean	tier	cost_llm_per_call	n_test	n_pos	n_xgb_pos	n_lift	n_waste	n_llm_only	value_rate	esc_prec	esc_cost_per_lift	esc_value	breakeven
20260706	1.44	24full	0.0	cheap_heuristic	0.0001	10000	144	48	50	4945	4995	0.5208333333333334	0.01001001001001001	0.00999	2500.0	True
20260706	1.44	24full	0.0	small_open	0.0006	10000	144	48	50	4945	4995	0.5208333333333334	0.01001001001001001	0.05994	2500.0	True
20260706	1.44	24full	0.0	iter120_default	0.001	10000	144	48	50	4945	4995	0.5208333333333334	0.01001001001001001	0.0999	2500.0	True
20260706	1.44	24full	0.0	mid_tier	0.005	10000	144	48	50	4945	4995	0.5208333333333334	0.01001001001001001	0.49950000000000006	2500.0	True
20260706	1.44	24full	0.0	frontier_gpt4	0.03	10000	144	48	50	4945	4995	0.5208333333333334	0.01001001001001001	2.997	2500.0	True
20260706	1.44	24full	0.5	cheap_heuristic	0.0001	10000	144	48	14	1616	1630	0.14583333333333334	0.008588957055214725	0.011642857142857144	700.0	True
20260706	1.44	24full	0.5	small_open	0.0006	10000	144	48	14	1616	1630	0.14583333333333334	0.008588957055214725	0.06985714285714285	700.0	True
20260706	1.44	24full	0.5	iter120_default	0.001	10000	144	48	14	1616	1630	0.14583333333333334	0.008588957055214725	0.11642857142857144	700.0	True
20260706	1.44	24full	0.5	mid_tier	0.005	10000	144	48	14	1616	1630	0.14583333333333334	0.008588957055214725	0.5821428571428572	700.0	True
20260706	1.44	24full	0.5	frontier_gpt4	0.03	10000	144	48	14	1616	1630	0.14583333333333334	0.008588957055214725	3.492857142857143	700.0	True
20260706	1.44	24full	1.0	cheap_heuristic	0.0001	10000	144	48	3	297	300	0.03125	0.01	0.01	150.0	True
20260706	1.44	24full	1.0	small_open	0.0006	10000	144	48	3	297	300	0.03125	0.01	0.06	150.0	True
20260706	1.44	24full	1.0	iter120_default	0.001	10000	144	48	3	297	300	0.03125	0.01	0.09999999999999999	150.0	True
