stack	delta	status	delta_measured_rows
colab-open_dapo_e3	delta_dapo	implemented	0
colab-open_dapo_e3	delta_dapo	implemented	0
colab-open_dapo_e3	delta_dapo	implemented	0
colab-open_dapo_e3	delta_dapo	implemented	0
colab-open_drgrpo_e3	delta_drgrpo	implemented	3
colab-open_drgrpo_e3	delta_drgrpo	implemented	3
colab-open_grpo-adaptiveg_e3	delta_adaptiveg	implemented	2
tinker_aero_qwen3.5-4b_gsm8k	delta_aero	implemented	6
tinker_areal_qwen3.5-4b_gsm8k	delta_areal	implemented	6
tinker_dapo_qwen3.5-4b_gsm8k	delta_dapo	surrogate	0
tinker_drgrpo_qwen3.5-4b_gsm8k	delta_drgrpo	surrogate	3
tinker_drgrpo_qwen3.5-4b_gsm8k	delta_drgrpo	surrogate	3
tinker_gift_qwen3.5-4b_gsm8k	delta_gift	implemented	6
tinker_gspo_qwen3.5-4b_gsm8k	delta_gspo	surrogate	0
wandb_ppo_reinforce_llama318b-inst_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_llama318b-inst_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_llama318b-inst_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_llama318b-inst_gsm8k	delta_ppo_reinforce	surrogate	0
wandb_ppo_reinforce_qwen38b_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_qwen38b_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_qwen38b_gsm8k	delta_ppo_reinforce	implemented	0
wandb_ppo_reinforce_qwen38b_gsm8k	delta_ppo_reinforce	surrogate	0
