axis	stratum	n	n_pos	auc_stratum	rank	feature	feature_class	gain
amount	0	2000	16	0.9308845766129032	1	V2	raw	130.18345642089844
amount	0	2000	16	0.9308845766129032	2	V3	raw	128.0295867919922
amount	0	2000	16	0.9308845766129032	3	V11	raw	119.62895965576172
amount	0	2000	16	0.9308845766129032	4	V10	raw	116.00785827636719
amount	0	2000	16	0.9308845766129032	5	V7	raw	91.69294738769531
amount	0	2000	16	0.9308845766129032	6	V5	raw	91.25267028808594
amount	0	2000	16	0.9308845766129032	7	V1	raw	82.79212188720703
amount	0	2000	16	0.9308845766129032	8	V6	raw	82.6678695678711
amount	0	2000	16	0.9308845766129032	9	V12	raw	77.08889770507812
amount	0	2000	16	0.9308845766129032	10	V15	raw	70.07830810546875
amount	0	2000	16	0.9308845766129032	11	V20	raw	59.4605712890625
amount	0	2000	16	0.9308845766129032	12	V16	raw	54.691070556640625
amount	0	2000	16	0.9308845766129032	13	V_mean	agg	45.66273880004883
amount	0	2000	16	0.9308845766129032	14	V_max	agg	44.36724853515625
amount	0	2000	16	0.9308845766129032	15	V18	raw	42.8883056640625
amount	0	2000	16	0.9308845766129032	16	V_std	agg	41.81222152709961
amount	0	2000	16	0.9308845766129032	17	V19	raw	39.0982551574707
amount	0	2000	16	0.9308845766129032	18	V9	raw	37.486507415771484
amount	0	2000	16	0.9308845766129032	19	V14	raw	35.40393829345703
amount	0	2000	16	0.9308845766129032	20	V17	raw	34.24226760864258
amount	0	2000	16	0.9308845766129032	21	V4	raw	33.54161071777344
amount	0	2000	16	0.9308845766129032	22	V_min	agg	32.664554595947266
amount	0	2000	16	0.9308845766129032	23	V13	raw	31.04877281188965
amount	0	2000	16	0.9308845766129032	24	V8	raw	28.444162368774414
amount	1	2000	34	0.9383190712704207	1	V2	raw	130.18345642089844
amount	1	2000	34	0.9383190712704207	2	V3	raw	128.0295867919922
amount	1	2000	34	0.9383190712704207	3	V11	raw	119.62895965576172
amount	1	2000	34	0.9383190712704207	4	V10	raw	116.00785827636719
amount	1	2000	34	0.9383190712704207	5	V7	raw	91.69294738769531
amount	1	2000	34	0.9383190712704207	6	V5	raw	91.25267028808594
amount	1	2000	34	0.9383190712704207	7	V1	raw	82.79212188720703
amount	1	2000	34	0.9383190712704207	8	V6	raw	82.6678695678711
amount	1	2000	34	0.9383190712704207	9	V12	raw	77.08889770507812
amount	1	2000	34	0.9383190712704207	10	V15	raw	70.07830810546875
amount	1	2000	34	0.9383190712704207	11	V20	raw	59.4605712890625
amount	1	2000	34	0.9383190712704207	12	V16	raw	54.691070556640625
amount	1	2000	34	0.9383190712704207	13	V_mean	agg	45.66273880004883
amount	1	2000	34	0.9383190712704207	14	V_max	agg	44.36724853515625
amount	1	2000	34	0.9383190712704207	15	V18	raw	42.8883056640625
amount	1	2000	34	0.9383190712704207	16	V_std	agg	41.81222152709961
amount	1	2000	34	0.9383190712704207	17	V19	raw	39.0982551574707
amount	1	2000	34	0.9383190712704207	18	V9	raw	37.486507415771484
amount	1	2000	34	0.9383190712704207	19	V14	raw	35.40393829345703
amount	1	2000	34	0.9383190712704207	20	V17	raw	34.24226760864258
amount	1	2000	34	0.9383190712704207	21	V4	raw	33.54161071777344
amount	1	2000	34	0.9383190712704207	22	V_min	agg	32.664554595947266
amount	1	2000	34	0.9383190712704207	23	V13	raw	31.04877281188965
amount	1	2000	34	0.9383190712704207	24	V8	raw	28.444162368774414
amount	2	2000	30	0.921725888324873	1	V2	raw	130.18345642089844
amount	2	2000	30	0.921725888324873	2	V3	raw	128.0295867919922
amount	2	2000	30	0.921725888324873	3	V11	raw	119.62895965576172
amount	2	2000	30	0.921725888324873	4	V10	raw	116.00785827636719
amount	2	2000	30	0.921725888324873	5	V7	raw	91.69294738769531
amount	2	2000	30	0.921725888324873	6	V5	raw	91.25267028808594
amount	2	2000	30	0.921725888324873	7	V1	raw	82.79212188720703
amount	2	2000	30	0.921725888324873	8	V6	raw	82.6678695678711
amount	2	2000	30	0.921725888324873	9	V12	raw	77.08889770507812
amount	2	2000	30	0.921725888324873	10	V15	raw	70.07830810546875
amount	2	2000	30	0.921725888324873	11	V20	raw	59.4605712890625
amount	2	2000	30	0.921725888324873	12	V16	raw	54.691070556640625
amount	2	2000	30	0.921725888324873	13	V_mean	agg	45.66273880004883
amount	2	2000	30	0.921725888324873	14	V_max	agg	44.36724853515625
amount	2	2000	30	0.921725888324873	15	V18	raw	42.8883056640625
amount	2	2000	30	0.921725888324873	16	V_std	agg	41.81222152709961
amount	2	2000	30	0.921725888324873	17	V19	raw	39.0982551574707
amount	2	2000	30	0.921725888324873	18	V9	raw	37.486507415771484
amount	2	2000	30	0.921725888324873	19	V14	raw	35.40393829345703
amount	2	2000	30	0.921725888324873	20	V17	raw	34.24226760864258
amount	2	2000	30	0.921725888324873	21	V4	raw	33.54161071777344
amount	2	2000	30	0.921725888324873	22	V_min	agg	32.664554595947266
amount	2	2000	30	0.921725888324873	23	V13	raw	31.04877281188965
amount	2	2000	30	0.921725888324873	24	V8	raw	28.444162368774414
amount	3	2000	43	0.9197276324702024	1	V2	raw	130.18345642089844
amount	3	2000	43	0.9197276324702024	2	V3	raw	128.0295867919922
amount	3	2000	43	0.9197276324702024	3	V11	raw	119.62895965576172
amount	3	2000	43	0.9197276324702024	4	V10	raw	116.00785827636719
amount	3	2000	43	0.9197276324702024	5	V7	raw	91.69294738769531
amount	3	2000	43	0.9197276324702024	6	V5	raw	91.25267028808594
amount	3	2000	43	0.9197276324702024	7	V1	raw	82.79212188720703
amount	3	2000	43	0.9197276324702024	8	V6	raw	82.6678695678711
amount	3	2000	43	0.9197276324702024	9	V12	raw	77.08889770507812
amount	3	2000	43	0.9197276324702024	10	V15	raw	70.07830810546875
amount	3	2000	43	0.9197276324702024	11	V20	raw	59.4605712890625
amount	3	2000	43	0.9197276324702024	12	V16	raw	54.691070556640625
amount	3	2000	43	0.9197276324702024	13	V_mean	agg	45.66273880004883
amount	3	2000	43	0.9197276324702024	14	V_max	agg	44.36724853515625
amount	3	2000	43	0.9197276324702024	15	V18	raw	42.8883056640625
amount	3	2000	43	0.9197276324702024	16	V_std	agg	41.81222152709961
amount	3	2000	43	0.9197276324702024	17	V19	raw	39.0982551574707
amount	3	2000	43	0.9197276324702024	18	V9	raw	37.486507415771484
amount	3	2000	43	0.9197276324702024	19	V14	raw	35.40393829345703
amount	3	2000	43	0.9197276324702024	20	V17	raw	34.24226760864258
amount	3	2000	43	0.9197276324702024	21	V4	raw	33.54161071777344
amount	3	2000	43	0.9197276324702024	22	V_min	agg	32.664554595947266
amount	3	2000	43	0.9197276324702024	23	V13	raw	31.04877281188965
amount	3	2000	43	0.9197276324702024	24	V8	raw	28.444162368774414
amount	4	2000	21	0.9353689934791501	1	V2	raw	130.18345642089844
amount	4	2000	21	0.9353689934791501	2	V3	raw	128.0295867919922
amount	4	2000	21	0.9353689934791501	3	V11	raw	119.62895965576172
amount	4	2000	21	0.9353689934791501	4	V10	raw	116.00785827636719
amount	4	2000	21	0.9353689934791501	5	V7	raw	91.69294738769531
amount	4	2000	21	0.9353689934791501	6	V5	raw	91.25267028808594
amount	4	2000	21	0.9353689934791501	7	V1	raw	82.79212188720703
amount	4	2000	21	0.9353689934791501	8	V6	raw	82.6678695678711
amount	4	2000	21	0.9353689934791501	9	V12	raw	77.08889770507812
amount	4	2000	21	0.9353689934791501	10	V15	raw	70.07830810546875
amount	4	2000	21	0.9353689934791501	11	V20	raw	59.4605712890625
amount	4	2000	21	0.9353689934791501	12	V16	raw	54.691070556640625
amount	4	2000	21	0.9353689934791501	13	V_mean	agg	45.66273880004883
amount	4	2000	21	0.9353689934791501	14	V_max	agg	44.36724853515625
amount	4	2000	21	0.9353689934791501	15	V18	raw	42.8883056640625
amount	4	2000	21	0.9353689934791501	16	V_std	agg	41.81222152709961
amount	4	2000	21	0.9353689934791501	17	V19	raw	39.0982551574707
amount	4	2000	21	0.9353689934791501	18	V9	raw	37.486507415771484
amount	4	2000	21	0.9353689934791501	19	V14	raw	35.40393829345703
amount	4	2000	21	0.9353689934791501	20	V17	raw	34.24226760864258
amount	4	2000	21	0.9353689934791501	21	V4	raw	33.54161071777344
