delta_id	tier	metric	panel	predicted_sign	observed_delta	ci_low	ci_high	significant	verdict
delta_adaptiveg	B	reward_mean	qp7_adaptive_armB_vs_armA_paired	>=0	-0.007812	-0.023926	0.009277	False	NEUTRAL
delta_adaptiveg	B	zvf	qp7_adaptive_armB_vs_armA_paired	<0	-0.074219	-0.121094	-0.03125	True	SUPPORTS
delta_aero	A	zvf	n2_same_stack_last10	<0	-0.025	-0.0625	0.0125	False	NEUTRAL
delta_aero	A	reward_mean	n2_same_stack_last10	>=0	-0.014063	-0.023438	-0.005469	True	CONTRADICTS
delta_aero	A	zvf_risk_mean	zvf130_5seed	<0	-0.147637	-0.285921	-0.009354	True	SUPPORTS
delta_aero	A	mean_zvf	zvf130_5seed		-0.26052	-0.26052	-0.26052	False	UNCLAIMED
delta_aero	A	pcd	n2_same_stack_last10		0.00293	-0.002441	0.008984	False	UNCLAIMED
delta_aero	A	mean_len	n2_same_stack_last10		31.077344	27.384375	35.092969	True	UNCLAIMED
delta_areal	A	zvf	n2_same_stack_last10	<0	-0.05625	-0.1125	0.00625	False	NEUTRAL
delta_areal	A	reward_mean	n2_same_stack_last10	>=0	-0.019531	-0.032031	-0.007812	True	CONTRADICTS
delta_areal	A	zvf_risk_mean	zvf130_5seed	<0	-0.245767	-0.354535	-0.137	True	SUPPORTS
delta_areal	A	mean_zvf	zvf130_5seed		-0.35988	-0.35988	-0.35988	False	UNCLAIMED
delta_areal	A	pcd	n2_same_stack_last10		0.007324	-0.000781	0.014551	False	UNCLAIMED
delta_areal	A	mean_len	n2_same_stack_last10		30.125781	25.170313	34.602344	True	UNCLAIMED
delta_cppo	B	zvf_risk_mean	zvf130_5seed	<0	-0.151077	-0.253342	-0.048813	True	SUPPORTS
delta_cppo	B	mean_zvf	zvf130_5seed		-0.18558	-0.18558	-0.18558	False	UNCLAIMED
delta_cppo	B	mag_mean	zvf130_5seed		-0.18558	None	None	None	UNCLAIMED
delta_drgrpo	B	neg_frac	length_bias_iter60_grpo_vs_drgrpo_paired	<0	0.1028	0.0646	0.1409	True	CONTRADICTS
delta_drgrpo	B	pos_frac	length_bias_iter60_grpo_vs_drgrpo_paired	>0	-0.1001	-0.2087	0.0085	False	NEUTRAL
delta_drgrpo	B	L_star	length_bias_iter60_grpo_vs_drgrpo_paired	<0	44.2503	-27.8523	116.3529	False	NEUTRAL
delta_es	B	zvf_risk_mean	zvf130_5seed	<0	-0.272578	-0.374617	-0.170539	True	SUPPORTS
delta_es	B	mean_zvf	zvf130_5seed		-0.36656	-0.36656	-0.36656	False	UNCLAIMED
delta_es	B	mag_mean	zvf130_5seed		-0.36656	None	None	None	UNCLAIMED
delta_gift	A	zvf	n2_same_stack_last10	>0	0.125	0.08125	0.175	True	SUPPORTS
delta_gift	A	reward_mean	n2_same_stack_last10	>=0	0.016406	-0.007031	0.039844	False	NEUTRAL
delta_gift	A	zvf_risk_mean	zvf130_5seed	<0	-0.263187	-0.365427	-0.160948	True	SUPPORTS
delta_gift	A	mean_zvf	zvf130_5seed		-0.36658	-0.36658	-0.36658	False	UNCLAIMED
delta_gift	A	pcd	n2_same_stack_last10		-0.018457	-0.026172	-0.010352	True	UNCLAIMED
delta_gift	A	mean_len	n2_same_stack_last10		-3.889063	-10.63125	3.10625	False	UNCLAIMED
delta_mcgrpo	B	zvf_risk_mean	zvf130_5seed	<0	-0.174277	-0.288771	-0.059783	True	SUPPORTS
delta_mcgrpo	B	mean_zvf	zvf130_5seed		-0.33474	-0.33474	-0.33474	False	UNCLAIMED
delta_mcgrpo	B	mag_mean	zvf130_5seed		-0.33474	None	None	None	UNCLAIMED
delta_ngrpo	B	zvf_risk_mean	zvf130_5seed	<0	-0.131025	-0.239395	-0.022656	True	SUPPORTS
delta_ngrpo	B	mean_zvf	zvf130_5seed		-0.18042	-0.18042	-0.18042	False	UNCLAIMED
delta_ngrpo	B	mag_mean	zvf130_5seed		-0.18042	None	None	None	UNCLAIMED
delta_scafgrpo	B	zvf_risk_mean	zvf130_5seed	<0	-0.352361	-0.455533	-0.249189	True	SUPPORTS
delta_scafgrpo	B	mean_zvf	zvf130_5seed		-0.16414	-0.16414	-0.16414	False	UNCLAIMED
delta_scafgrpo	B	mag_mean	zvf130_5seed		-0.16414	None	None	None	UNCLAIMED
