method	G_prime	n_fires	sum_zvf_drop	mean_zvf_drop_per_fire	boot_ci_lo	boot_ci_hi	extra_rollouts	benefit_per_1k
grpo	16	7	0.4091	0.0584	0.0553	0.0614	896	7.3056
grpo	32	16	1.1133	0.0696	0.0637	0.0755	6144	2.8991
grpo	64	18	1.2532	0.0696	0.0631	0.0763	16128	1.2433
grpo	128	18	1.2538	0.0697	0.0631	0.0763	34560	0.5805
aero	16	5	0.299	0.0598	0.0542	0.0663	640	7.4758
aero	32	16	1.0782	0.0674	0.061	0.0749	6144	2.8079
aero	64	16	1.1187	0.0699	0.0632	0.0778	14336	1.2485
aero	128	16	1.1192	0.07	0.0632	0.0778	30720	0.5829
gift	16	6	0.3788	0.0631	0.0574	0.0686	768	7.8909
gift	32	12	0.8897	0.0741	0.0645	0.0845	4608	3.0891
gift	64	13	0.9717	0.0747	0.0648	0.0854	11648	1.3348
gift	128	13	0.9722	0.0748	0.0649	0.0854	24960	0.6232
areal	16	12	0.756	0.063	0.0564	0.0709	1536	7.8746
areal	32	17	1.3658	0.0803	0.0708	0.0912	6528	3.3476
areal	64	20	1.569	0.0784	0.0682	0.0895	17920	1.4009
areal	128	20	1.5698	0.0785	0.0682	0.0896	38400	0.6541
