seed	heldout_acc	mean_zvf	C0_baseline_G_t	C0_baseline_total_G	C0_baseline_n_fire	C0_baseline_select_rate	C0_baseline_headroom_bad	C1_zvf_triage@0.70_G_t	C1_zvf_triage@0.70_total_G	C1_zvf_triage@0.70_n_fire	C1_zvf_triage@0.70_select_rate	C1_zvf_triage@0.70_headroom_bad	C2_dualformer@0.70_G_t	C2_dualformer@0.70_total_G	C2_dualformer@0.70_n_fire	C2_dualformer@0.70_select_rate	C2_dualformer@0.70_headroom_bad	C3_hybrid@0.70+0.20_G_t	C3_hybrid@0.70+0.20_total_G	C3_hybrid@0.70+0.20_n_fire	C3_hybrid@0.70+0.20_select_rate	C3_hybrid@0.70+0.20_headroom_bad	C1_zvf_triage@0.70_savings	C2_dualformer@0.70_savings	C3_hybrid@0.70+0.20_savings
179	0.5859375	0.6083333333333333	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8	120	0	0.0	0	16,8,16,8,8,8,8,16,8,16,8,8,8,8,8	152	4	0.26666666666666666	0	4,8,4,8,8,8,8,4,8,4,8,8,8,8,8	104	4	0.26666666666666666	0	16,8,16,8,8,8,8,16,8,16,8,8,8,8,8	152	4	0.26666666666666666	0	-0.26666666666666666	0.13333333333333333	-0.26666666666666666
316	0.4765625	0.5916666666666667	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8	120	0	0.0	0	8,8,8,8,8,16,16,16,8,16,8,8,8,8,8	152	4	0.26666666666666666	0	8,8,8,8,8,4,4,4,8,4,8,8,8,8,8	104	4	0.26666666666666666	0	8,8,8,8,8,16,16,16,8,16,8,8,8,8,8	152	4	0.26666666666666666	0	-0.26666666666666666	0.13333333333333333	-0.26666666666666666
42	0.375	0.49166666666666664	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8	120	0	0.0	0	8,8,8,8,8,8,8,8,16,8,16,8,8,8,8	136	2	0.13333333333333333	0	8,8,8,8,8,8,8,8,4,8,4,8,8,8,8	112	2	0.13333333333333333	0	8,8,8,8,8,8,8,8,16,8,16,8,8,8,8	136	2	0.13333333333333333	0	-0.13333333333333333	0.06666666666666667	-0.13333333333333333
453	0.4296875	0.6333333333333333	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8	120	0	0.0	0	16,16,8,16,16,8,8,8,8,16,8,16,8,8,8	168	6	0.4	0	4,4,8,4,4,8,8,8,8,4,8,4,8,8,8	96	6	0.4	0	16,16,8,16,16,8,8,8,8,16,8,16,8,8,8	168	6	0.4	0	-0.4	0.2	-0.4
590	0.40625	0.6083333333333333	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8	120	0	0.0	0	16,8,8,8,16,8,16,8,8,8,16,8,8,16,8	160	5	0.3333333333333333	0	4,8,8,8,4,8,4,8,8,8,4,8,8,4,8	100	5	0.3333333333333333	0	16,8,8,8,16,8,16,8,8,8,16,8,8,16,8	160	5	0.3333333333333333	0	-0.3333333333333333	0.16666666666666666	-0.3333333333333333
