step	metric	n_rows	eta2	omega2	ss_total
0	zvf	12	0.22408	0.0	0.097331
0	reward_mean	12	0.11538	0.0	0.006348
0	pcd	12	0.11189	0.0	0.005432
0	mean_len	12	0.04849	0.0	1436.03245
1	zvf	16	0.14286	0.0	0.116211
1	reward_mean	16	0.00952	0.0	0.020443
1	pcd	16	0.06613	0.0	0.005944
1	mean_len	16	0.00481	0.0	5708.388733
2	zvf	20	0.21649	0.0586	0.151562
2	reward_mean	20	0.01067	0.0	0.02374
2	pcd	20	0.06887	0.0	0.006122
2	mean_len	20	0.00082	0.0	6101.308301
3	zvf	20	0.12088	0.0	0.159961
3	reward_mean	20	0.00212	0.0	0.107822
3	pcd	20	0.01645	0.0	0.005993
3	mean_len	20	0.0034	0.0	6176.450854
4	zvf	20	0.13409	0.0	0.120898
4	reward_mean	20	0.00695	0.0	0.10188
4	pcd	20	0.02599	0.0	0.00309
4	mean_len	20	0.01057	0.0	3142.503833
5	zvf	20	0.07984	0.0	0.144336
5	reward_mean	20	0.02195	0.0	0.083847
5	pcd	20	0.19038	0.03249	0.003471
5	mean_len	20	0.03001	0.0	2575.472763
6	zvf	20	0.00529	0.0	0.147656
6	reward_mean	20	0.02183	0.0	0.083313
6	pcd	20	0.13556	0.0	0.004213
6	mean_len	20	0.00584	0.0	2735.327328
7	zvf	20	0.14094	0.0	0.116406
7	reward_mean	20	0.01988	0.0	0.113586
7	pcd	20	0.19005	0.03215	0.0042
7	mean_len	20	0.00036	0.0	3711.609619
8	zvf	20	0.02326	0.0	0.100781
8	reward_mean	20	0.02471	0.0	0.089917
8	pcd	20	0.08732	0.0	0.004318
8	mean_len	20	0.02222	0.0	1267.442859
9	zvf	20	0.01299	0.0	0.120313
9	reward_mean	20	0.00407	0.0	0.098325
9	pcd	20	0.09368	0.0	0.005515
9	mean_len	20	0.03765	0.0	1562.107358
10	zvf	20	0.01732	0.0	0.124023
10	reward_mean	20	0.00706	0.0	0.118954
10	pcd	20	0.10043	0.0	0.003963
10	mean_len	20	0.00906	0.0	3967.994763
11	zvf	20	0.04493	0.0	0.152148
11	reward_mean	20	0.01661	0.0	0.129321
11	pcd	20	0.1118	0.0	0.007281
11	mean_len	20	0.01639	0.0	6800.418689
12	zvf	20	0.05478	0.0	0.181836
12	reward_mean	20	0.00997	0.0	0.148132
12	pcd	20	0.08179	0.0	0.008344
12	mean_len	20	0.02169	0.0	8873.221326
13	zvf	20	0.05045	0.0	0.197461
