cell_id	baseline_total	augmented_total	augmented_low_total	delta	delta_low_weight
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	90.0	110.0	100.0	20.0	10.0
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	90.0	110.0	100.0	20.0	10.0
