seed	controller	total_G	savings
42	C0_baseline	120	0.0
42	C1_zvf_triage@0.70	136	-0.1333
42	C2_dualformer@0.70	112	0.0667
42	C3_hybrid@0.70+0.20	136	-0.1333
179	C0_baseline	120	0.0
179	C1_zvf_triage@0.70	152	-0.2667
179	C2_dualformer@0.70	104	0.1333
179	C3_hybrid@0.70+0.20	152	-0.2667
316	C0_baseline	120	0.0
316	C1_zvf_triage@0.70	152	-0.2667
316	C2_dualformer@0.70	104	0.1333
316	C3_hybrid@0.70+0.20	152	-0.2667
453	C0_baseline	120	0.0
453	C1_zvf_triage@0.70	168	-0.4
453	C2_dualformer@0.70	96	0.2
453	C3_hybrid@0.70+0.20	168	-0.4
590	C0_baseline	120	0.0
590	C1_zvf_triage@0.70	160	-0.3333
590	C2_dualformer@0.70	100	0.1667
590	C3_hybrid@0.70+0.20	160	-0.3333
