method	config	tau	k_up	k_dn	raw_flips	hyst_flips	flip_ratio_median	flip_ratio_lo	flip_ratio_hi	yield_retention_median	yield_retention_lo	yield_retention_hi	B	seed
grpo	C_hyst_0.70_2_2	0.7	2	2	15	5	0.3333	0.129	0.6429	1.1674	0.5924	1.6413	4000	20260705
aero	C_hyst_0.70_2_2	0.7	2	2	18	4	0.3333	0.12	0.6316	1.128	0.5216	1.6652	4000	20260705
gift	C_hyst_0.70_2_2	0.7	2	2	14	1	0.3125	0.0741	0.625	1.6604	1.1329	2.3765	4000	20260705
areal	C_hyst_0.70_2_2	0.7	2	2	17	3	0.32	0.1	0.625	1.1788	0.4385	1.8759	4000	20260705
grpo	C_hyst_0.70_3_2	0.7	3	2	15	3	0.1905	0.0	0.4667	0.6345	0.0	1.2986	4000	20260705
aero	C_hyst_0.70_3_2	0.7	3	2	18	2	0.1818	0.0	0.4444	0.5724	0.0	1.2761	4000	20260705
gift	C_hyst_0.70_3_2	0.7	3	2	14	1	0.2381	0.0526	0.5385	1.2876	0.5239	2.0382	4000	20260705
areal	C_hyst_0.70_3_2	0.7	3	2	17	2	0.1364	0.0	0.4118	0.5073	0.0	1.3293	4000	20260705
grpo	C_hyst_0.70_3_3	0.7	3	3	15	1	0.1429	0.0	0.375	1.0944	0.0	1.9884	4000	20260705
aero	C_hyst_0.70_3_3	0.7	3	3	18	2	0.1333	0.0	0.375	1.0045	0.0	2.0426	4000	20260705
gift	C_hyst_0.70_3_3	0.7	3	3	14	1	0.1364	0.0435	0.3571	1.8432	0.9172	2.9147	4000	20260705
areal	C_hyst_0.70_3_3	0.7	3	3	17	1	0.1111	0.0	0.3571	0.9229	0.0	2.2571	4000	20260705
grpo	C_hyst_0.70_4_3	0.7	4	3	15	1	0.0909	0.0	0.2857	0.5326	0.0	1.6846	4000	20260705
aero	C_hyst_0.70_4_3	0.7	4	3	18	2	0.087	0.0	0.2667	0.4349	0.0	1.6736	4000	20260705
gift	C_hyst_0.70_4_3	0.7	4	3	14	1	0.0952	0.0	0.3125	1.4994	0.0	2.6191	4000	20260705
areal	C_hyst_0.70_4_3	0.7	4	3	17	1	0.05	0.0	0.25	0.2537	0.0	1.7721	4000	20260705
grpo	C_hyst_0.75_2_2	0.75	2	2	15	5	0.3333	0.1364	0.6429	1.168	0.6471	1.6483	4000	20260705
aero	C_hyst_0.75_2_2	0.75	2	2	18	4	0.3333	0.12	0.6429	1.1316	0.5635	1.6647	4000	20260705
gift	C_hyst_0.75_2_2	0.75	2	2	14	1	0.3125	0.1	0.6429	1.6591	1.1363	2.3628	4000	20260705
areal	C_hyst_0.75_2_2	0.75	2	2	17	3	0.3182	0.1	0.625	1.1939	0.4565	1.8616	4000	20260705
grpo	C_hyst_0.75_3_2	0.75	3	2	15	3	0.1905	0.0	0.4667	0.6437	0.0	1.2977	4000	20260705
aero	C_hyst_0.75_3_2	0.75	3	2	18	2	0.1818	0.0	0.4444	0.5755	0.0	1.2739	4000	20260705
gift	C_hyst_0.75_3_2	0.75	3	2	14	1	0.25	0.0526	0.5385	1.2626	0.4992	2.0409	4000	20260705
areal	C_hyst_0.75_3_2	0.75	3	2	17	2	0.1364	0.0	0.4211	0.4947	0.0	1.3183	4000	20260705
grpo	C_hyst_0.75_3_3	0.75	3	3	15	1	0.1364	0.0	0.375	1.0905	0.0	1.9904	4000	20260705
aero	C_hyst_0.75_3_3	0.75	3	3	18	2	0.1304	0.0	0.3571	1.0043	0.0	2.0065	4000	20260705
gift	C_hyst_0.75_3_3	0.75	3	3	14	1	0.125	0.0435	0.3571	1.8505	0.8848	2.9256	4000	20260705
areal	C_hyst_0.75_3_3	0.75	3	3	17	1	0.1176	0.0	0.3529	0.9346	0.0	2.2624	4000	20260705
grpo	C_hyst_0.75_4_3	0.75	4	3	15	1	0.0909	0.0	0.2727	0.5294	0.0	1.7123	4000	20260705
aero	C_hyst_0.75_4_3	0.75	4	3	18	2	0.0833	0.0	0.2667	0.4278	0.0	1.7012	4000	20260705
gift	C_hyst_0.75_4_3	0.75	4	3	14	1	0.0909	0.0	0.3077	1.4981	0.0333	2.6252	4000	20260705
areal	C_hyst_0.75_4_3	0.75	4	3	17	1	0.0476	0.0	0.25	0.1829	0.0	1.7071	4000	20260705
grpo	C_hyst_0.80_2_2	0.8	2	2	15	4	0.2105	0.0	0.5294	0.4027	0.0	0.9748	4000	20260705
aero	C_hyst_0.80_2_2	0.8	2	2	18	4	0.2632	0.0588	0.5625	0.6328	0.1094	1.21	4000	20260705
gift	C_hyst_0.80_2_2	0.8	2	2	14	1	0.35	0.1	0.75	0.7454	0.1964	1.5224	4000	20260705
areal	C_hyst_0.80_2_2	0.8	2	2	17	2	0.2	0.0	0.5	0.4594	0.0	1.1831	4000	20260705
grpo	C_hyst_0.80_3_2	0.8	3	2	15	4	0.0833	0.0	0.2941	0.0688	0.0	0.5705	4000	20260705
aero	C_hyst_0.80_3_2	0.8	3	2	18	4	0.1	0.0	0.3529	0.1827	0.0	0.7759	4000	20260705
gift	C_hyst_0.80_3_2	0.8	3	2	14	1	0.1538	0.0	0.4737	0.3156	0.0	1.0203	4000	20260705
areal	C_hyst_0.80_3_2	0.8	3	2	17	2	0.0	0.0	0.2632	0.0	0.0	0.6197	4000	20260705
grpo	C_hyst_0.80_3_3	0.8	3	3	15	4	0.05	0.0	0.25	0.1247	0.0	0.9768	4000	20260705
aero	C_hyst_0.80_3_3	0.8	3	3	18	2	0.0952	0.0	0.2857	0.3286	0.0	1.3263	4000	20260705
gift	C_hyst_0.80_3_3	0.8	3	3	14	1	0.125	0.0	0.3846	0.5886	0.0	1.8432	4000	20260705
areal	C_hyst_0.80_3_3	0.8	3	3	17	2	0.0	0.0	0.25	0.0	0.0	1.1755	4000	20260705
