controller	tau	n_seeds	mean_total_G	mean_savings	mean_fire_rate	mean_headroom_bad	seed_cv_total	seed_cv_savings
zvf_triage	0.5	5	220.8	-0.84	0.84	0	0.060627538154643154	0.13280317881493264
zvf_triage	0.55	5	192	-0.6	0.6	0	0.07216878364870322	0.1924500897298752
zvf_triage	0.6	5	192	-0.6	0.6	0	0.07216878364870322	0.1924500897298752
zvf_triage	0.65	5	153.6	-0.28	0.28	0	0.07725206757391316	0.35315230890931726
zvf_triage	0.7	5	153.6	-0.28	0.28	0	0.07725206757391316	0.35315230890931726
zvf_triage	0.75	5	153.6	-0.28	0.28	0	0.07725206757391316	0.35315230890931726
zvf_triage	0.8	5	124.8	-0.04	0.04	0	0.057335076346148456	1.4907119849998598
zvf_triage	0.85	5	124.8	-0.04	0.04	0	0.057335076346148456	1.4907119849998598
zvf_triage	0.9	5	120	0.0	0.0	0	0.0	0.0
zvf_triage	0.95	5	120	0.0	0.0	0	0.0	0.0
dualformer_auto	0.5	5	69.6	0.42	0.84	0	0.09616781914184777	0.13280317881493264
dualformer_auto	0.55	5	84	0.3	0.6	0	0.08247860988423225	0.1924500897298752
dualformer_auto	0.6	5	84	0.3	0.6	0	0.08247860988423225	0.1924500897298752
dualformer_auto	0.65	5	103.2	0.14	0.28	0	0.057489910752679556	0.35315230890931726
dualformer_auto	0.7	5	103.2	0.14	0.28	0	0.057489910752679556	0.35315230890931726
dualformer_auto	0.75	5	103.2	0.14	0.28	0	0.057489910752679556	0.35315230890931726
dualformer_auto	0.8	5	117.6	0.02	0.04	0	0.03042269357142571	1.4907119849998598
dualformer_auto	0.85	5	117.6	0.02	0.04	0	0.03042269357142571	1.4907119849998598
dualformer_auto	0.9	5	120	0.0	0.0	0	0.0	0.0
dualformer_auto	0.95	5	120	0.0	0.0	0	0.0	0.0
hybrid	0.5	5	112.8	0.060000000000000005	0.84	0	0.1015448302360025	1.5908690070307059
hybrid	0.55	5	141.6	-0.18	0.6	0	0.06188955452035775	0.40572041296678973
hybrid	0.6	5	141.6	-0.18	0.6	0	0.06188955452035775	0.40572041296678973
hybrid	0.65	5	103.2	0.14	0.28	0	0.057489910752679556	0.35315230890931726
hybrid	0.7	5	146.4	-0.22	0.28	0	0.06580106327208905	0.36489680541794833
hybrid	0.75	5	146.4	-0.22	0.28	0	0.06580106327208905	0.36489680541794833
hybrid	0.8	5	124.8	-0.04	0.04	0	0.057335076346148456	1.4907119849998598
hybrid	0.85	5	124.8	-0.04	0.04	0	0.057335076346148456	1.4907119849998598
hybrid	0.9	5	120	0.0	0.0	0	0.0	0.0
hybrid	0.95	5	120	0.0	0.0	0	0.0	0.0
