rate_pct	tier	fset	cost_llm_per_call	n_test	n_pos	xgb_caught_K2	n_llm_grad	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd	acd_boot_mean	acd_boot_lo	acd_boot_hi	sweet_spot_price_per_call	grad_cheaper_at_cppr
1.44	cheap_heuristic	24full	0.0001	10000	144	48	96	0.0001	0.0001	0.020833333333333332	0.020833333333333332	1.0	1.0	1.0	1.0	5e-05	True
1.44	small_open	24full	0.0006	10000	144	48	96	0.0001	0.0001048	0.020833333333333332	0.021833333333333333	1.048	1.0479805	1.0385	1.0574999999999997	5e-05	False
1.44	iter120_default	24full	0.001	10000	144	48	96	0.0001	0.00010864	0.020833333333333332	0.022633333333333335	1.0864	1.0863649	1.0693	1.1035	5e-05	False
1.44	mid_tier	24full	0.005	10000	144	48	96	0.0001	0.00014704	0.020833333333333332	0.030633333333333332	1.4704	1.4702088999999998	1.3773	1.5634999999999997	5e-05	False
1.44	frontier_gpt4	24full	0.03	10000	144	48	96	0.0001	0.00038704	0.020833333333333332	0.08063333333333333	3.8704	3.8692339	3.3023	4.438499999999999	5e-05	False
1.44	cheap_heuristic	20raw	0.0001	10000	144	50	76	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	6.578947368421052e-05	True
1.44	small_open	20raw	0.0006	10000	144	50	76	0.0001	0.0001038	0.02	0.02076	1.038	1.0378800000000001	1.0294875	1.0465	6.578947368421052e-05	False
1.44	iter120_default	20raw	0.001	10000	144	50	76	0.0001	0.00010684	0.02	0.021368	1.0684	1.068184	1.0530774999999999	1.0836999999999999	6.578947368421052e-05	False
1.44	mid_tier	20raw	0.005	10000	144	50	76	0.0001	0.00013724	0.02	0.027448	1.3724	1.371224	1.2889774999999997	1.4557	6.578947368421052e-05	False
1.44	frontier_gpt4	20raw	0.03	10000	144	50	76	0.0001	0.00032723999999999996	0.02	0.06544799999999999	3.2723999999999993	3.265224	2.7633525	3.7806999999999995	6.578947368421052e-05	False
1.44	cheap_heuristic	20raw+minmax	0.0001	10000	144	50	82	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	6.097560975609756e-05	True
1.44	small_open	20raw+minmax	0.0006	10000	144	50	82	0.0001	0.0001041	0.02	0.020819999999999998	1.041	1.041229	1.0325	1.0505	6.097560975609756e-05	False
1.44	iter120_default	20raw+minmax	0.001	10000	144	50	82	0.0001	0.00010738	0.02	0.021476000000000002	1.0738	1.0742121999999998	1.0585	1.0909	6.097560975609756e-05	False
1.44	mid_tier	20raw+minmax	0.005	10000	144	50	82	0.0001	0.00014018	0.02	0.028036	1.4018	1.4040442	1.3185	1.4948999999999997	6.097560975609756e-05	False
1.44	frontier_gpt4	20raw+minmax	0.03	10000	144	50	82	0.0001	0.00034518	0.02	0.069036	3.4518	3.4654941999999993	2.9435000000000002	4.0199	6.097560975609756e-05	False
1.44	cheap_heuristic	20raw+stat	0.0001	10000	144	50	85	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	5.882352941176471e-05	True
1.44	small_open	20raw+stat	0.0006	10000	144	50	85	0.0001	0.00010425	0.02	0.02085	1.0425	1.0424605000000002	1.0335	1.052	5.882352941176471e-05	False
1.44	iter120_default	20raw+stat	0.001	10000	144	50	85	0.0001	0.00010765	0.02	0.02153	1.0765	1.0764288999999998	1.0603	1.0936	5.882352941176471e-05	False
1.44	mid_tier	20raw+stat	0.005	10000	144	50	85	0.0001	0.00014165	0.02	0.02833	1.4164999999999999	1.4161129	1.3283	1.5095999999999996	5.882352941176471e-05	False
1.44	frontier_gpt4	20raw+stat	0.03	10000	144	50	85	0.0001	0.00035415	0.02	0.07083	3.5415	3.5391378999999996	3.0032999999999994	4.1096	5.882352941176471e-05	False
1.0	cheap_heuristic	24full	0.0001	9956	100	34	95	0.0001	0.0001	0.02928235294117647	0.02928235294117647	1.0	1.0	1.0	1.0	3.578947368421053e-05	True
1.0	small_open	24full	0.0006	9956	100	34	95	0.0001	0.00010477099236641223	0.02928235294117647	0.030679411764705886	1.0477099236641223	1.0476526717557253	1.038670148654078	1.0572519083969465	3.578947368421053e-05	False
1.0	iter120_default	24full	0.001	9956	100	34	95	0.0001	0.00010858778625954198	0.02928235294117647	0.03179705882352941	1.0858778625954197	1.0857748091603052	1.0696062675773403	1.1030534351145038	3.578947368421053e-05	False
1.0	mid_tier	24full	0.005	9956	100	34	95	0.0001	0.0001467557251908397	0.02928235294117647	0.04297352941176471	1.467557251908397	1.4669961832061067	1.378967456809964	1.5610687022900762	3.578947368421053e-05	False
1.0	frontier_gpt4	24full	0.03	9956	100	34	95	0.0001	0.00038530534351145036	0.02928235294117647	0.11282647058823529	3.8530534351145036	3.849629770992366	3.3124748895138603	4.423664122137404	3.578947368421053e-05	False
1.0	cheap_heuristic	20raw	0.0001	9956	100	37	82	0.0001	0.0001	0.02690810810810811	0.02690810810810811	1.0	1.0	1.0	1.0	4.51219512195122e-05	True
