item	axis	n_unique	H_bits	weight
loss_form	v1	1	0.0	10
ref_policy_kl	v1	1	0.0	10
sampler_backend_precision	v1	1	0.0	10
per_step_zvf_path	v1	98	6.614709844115218	10
group_size_schedule	v1	5	2.31212196663623	10
heldout_split	v1	3	1.5546082072242513	10
decontamination_notes	v1	2	0.9313043685793763	10
model_family	v2_stack	2	0.9987979209581139	10
task_slice	v2_stack	3	1.5546082072242513	10
G	v2_stack	5	2.31212196663623	5
temperature	v2_stack	2	0.9951876662918927	5
seed	v2_stack	2	1.0	5
zvf_yield_residual	v2.1_yield	58	4.6449682053662205	20.0
K_variance_residual	v2.2_yield_extended	62	4.742006725818537	20.0
K_unique_count	v2.2_yield_extended	12	2.872727576859245	20.0
max_K_share	v2.2_yield_extended	21	3.5836083230361715	20.0
prompt_p_hat_var	v2.2_yield_extended	58	4.660374072757311	20.0
