method	step	prompt	k	p_hat	regime	zvf_step	is_sat_band	g_baseline	g_zvf70	g_dual	g_hybrid	zvf_baseline	zvf_zvf70	zvf_dual	zvf_hybrid
grpo	0	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	1	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	0	2	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	9	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	0	10	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	0	11	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	0	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	0	14	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	0	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	0	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	1	1	2	0.25	mid	0.5	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	1	2	4	0.5	mid	0.5	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	1	3	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	4	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	5	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	6	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	7	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	1	8	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	9	7	0.875	boundary	0.5	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	1	10	6	0.75	mid	0.5	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	1	11	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	12	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	13	4	0.5	mid	0.5	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	1	14	8	1.0	saturated	0.5	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	1	15	4	0.5	mid	0.5	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	2	0	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	2	1	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	2	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	2	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	4	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	2	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	6	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	2	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	9	2	0.25	mid	0.6875	False	8	8	16	8	0.1001	0.1001	0.01	0.1001
grpo	2	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	12	7	0.875	boundary	0.6875	False	8	8	4	8	0.3436	0.3436	0.5864	0.3436
grpo	2	13	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	14	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	2	15	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	3	0	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	1	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	2	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	3	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	3	4	0	0.0	saturated	0.75	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	3	5	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	6	6	0.75	mid	0.75	False	8	16	8	16	0.1001	0.01	0.1001	0.01
grpo	3	7	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	8	0	0.0	saturated	0.75	False	8	16	16	16	1.0	1.0	1.0	1.0
grpo	3	9	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	10	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	11	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	12	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	3	13	7	0.875	boundary	0.75	False	8	16	4	16	0.3436	0.1181	0.5864	0.1181
grpo	3	14	2	0.25	mid	0.75	False	8	16	16	16	0.1001	0.01	0.01	0.01
grpo	3	15	8	1.0	saturated	0.75	False	8	16	2	16	1.0	1.0	1.0	1.0
grpo	4	0	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	4	1	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	4	2	0	0.0	saturated	0.6875	False	8	8	16	8	1.0	1.0	1.0	1.0
grpo	4	3	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	4	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	6	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	7	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	9	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	10	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	11	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	12	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	13	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	4	14	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	4	15	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	5	0	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	1	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	5	2	6	0.75	mid	0.6875	False	8	8	8	8	0.1001	0.1001	0.1001	0.1001
grpo	5	3	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	4	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	5	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	6	1	0.125	boundary	0.6875	False	8	8	16	8	0.3436	0.3436	0.1181	0.3436
grpo	5	7	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
grpo	5	8	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	9	8	1.0	saturated	0.6875	False	8	8	2	8	1.0	1.0	1.0	1.0
grpo	5	10	4	0.5	mid	0.6875	False	8	8	16	8	0.0078	0.0078	0.0	0.0078
