model	k_pct	alert_rate	tp	fp	fn	n_pos	precision	recall	f1	usd_per_dec	usd_per_caught
20raw	0.05	0.0005	5	0	139	144	1.0	0.034722222222222224	0.06711409395973154	1.39	2780.0
24full	0.05	0.0005	5	0	139	144	1.0	0.034722222222222224	0.06711409395973154	1.3935	2787.0
4sensor	0.05	0.0005	2	3	142	144	0.4	0.013888888888888888	0.026845637583892617	3.553875	7107.75
20raw	0.1	0.001	9	1	135	144	0.9	0.0625	0.11688311688311688	1.5000555555555555	1500.0555555555557
24full	0.1	0.001	10	0	134	144	1.0	0.06944444444444445	0.12987012987012989	1.3435	1343.5
4sensor	0.1	0.001	4	6	140	144	0.4	0.027777777777777776	0.051948051948051945	3.50425	3504.25
20raw	0.25	0.0025	22	3	122	144	0.88	0.1527777777777778	0.2603550295857988	1.3865340909090909	554.6136363636364
24full	0.25	0.0025	23	2	121	144	0.92	0.1597222222222222	0.272189349112426	1.3188260869565218	527.5304347826087
4sensor	0.25	0.0025	9	16	135	144	0.36	0.0625	0.10650887573964497	3.7557222222222224	1502.288888888889
20raw	0.5	0.005	45	5	99	144	0.9	0.3125	0.4639175257731959	1.1002777777777777	220.05555555555554
24full	0.5	0.005	45	5	99	144	0.9	0.3125	0.4639175257731959	1.1037777777777777	220.75555555555556
4sensor	0.5	0.005	13	37	131	144	0.26	0.09027777777777778	0.13402061855670103	5.049076923076923	1009.8153846153847
20raw	1.0	0.01	68	32	76	144	0.68	0.4722222222222222	0.5573770491803278	1.12	112.0
24full	1.0	0.01	72	28	72	144	0.72	0.5	0.5901639344262295	1.0054444444444444	100.54444444444444
4sensor	1.0	0.01	18	82	126	144	0.18	0.125	0.14754098360655737	7.026277777777778	702.6277777777777
20raw	2.0	0.02	96	104	48	144	0.48	0.6666666666666666	0.5581395348837209	1.0108333333333333	50.541666666666664
24full	2.0	0.02	106	94	38	144	0.53	0.7361111111111112	0.6162790697674418	0.7293490566037736	36.467452830188684
4sensor	2.0	0.02	31	169	113	144	0.155	0.2152777777777778	0.1802325581395349	7.348338709677419	367.41693548387093
20raw	5.0	0.05	126	374	18	144	0.252	0.875	0.391304347826087	0.7884920634920635	15.76984126984127
24full	5.0	0.05	136	364	8	144	0.272	0.9444444444444444	0.422360248447205	0.3645294117647059	7.290588235294117
4sensor	5.0	0.05	64	436	80	144	0.128	0.4444444444444444	0.19875776397515527	6.4238124999999995	128.47625
