tau_esc	tau_des	method	step	total_G_prompts	savings	contrast_intent	fires_esc	fires_des
0.5	0.55	aero	0	84	0.34375	0.0	0	11
0.5	0.55	aero	1	84	0.34375	0.0	0	11
0.5	0.55	aero	2	76	0.40625	0.0	0	13
0.5	0.55	aero	3	84	0.34375	0.0	0	11
0.5	0.55	aero	4	80	0.375	0.0	0	12
0.5	0.55	aero	5	92	0.28125	0.0	0	9
0.5	0.55	aero	6	80	0.375	0.0	0	12
0.5	0.55	aero	7	88	0.3125	0.0	0	10
0.5	0.55	aero	8	84	0.34375	0.0	0	11
0.5	0.55	aero	9	88	0.3125	0.0	0	10
0.5	0.55	aero	10	80	0.375	0.0	0	12
0.5	0.55	aero	11	92	0.28125	0.0	0	9
0.5	0.55	aero	12	84	0.34375	0.0	0	11
0.5	0.55	aero	13	92	0.28125	0.0	0	9
0.5	0.55	aero	14	80	0.375	0.0	0	12
0.5	0.55	aero	15	76	0.40625	0.0	0	13
0.5	0.55	aero	16	92	0.28125	0.0	0	9
0.5	0.55	aero	17	92	0.28125	0.0	0	9
0.5	0.55	aero	18	88	0.3125	0.0	0	10
0.5	0.55	aero	19	88	0.3125	0.0	0	10
0.5	0.55	aero	20	88	0.3125	0.0	0	10
0.5	0.55	aero	21	76	0.40625	0.0	0	13
0.5	0.55	aero	22	84	0.34375	0.0	0	11
0.5	0.55	aero	23	76	0.40625	0.0	0	13
0.5	0.55	aero	24	76	0.40625	0.0	0	13
0.5	0.55	aero	25	84	0.34375	0.0	0	11
0.5	0.55	aero	26	72	0.4375	0.0	0	14
0.5	0.55	aero	27	68	0.46875	0.0	0	15
0.5	0.55	aero	28	76	0.40625	0.0	0	13
0.5	0.55	aero	29	72	0.4375	0.0	0	14
0.5	0.55	aero	30	76	0.40625	0.0	0	13
0.5	0.55	aero	31	76	0.40625	0.0	0	13
0.5	0.55	aero	32	80	0.375	0.0	0	12
0.5	0.55	aero	33	88	0.3125	0.0	0	10
0.5	0.55	aero	34	72	0.4375	0.0	0	14
0.5	0.55	aero	35	76	0.40625	0.0	0	13
0.5	0.55	aero	36	76	0.40625	0.0	0	13
0.5	0.55	aero	37	84	0.34375	0.0	0	11
0.5	0.55	aero	38	84	0.34375	0.0	0	11
0.5	0.55	aero	39	88	0.3125	0.0	0	10
0.5	0.55	areal	0	84	0.34375	0.0	0	11
0.5	0.55	areal	1	96	0.25	0.0	0	8
0.5	0.55	areal	2	84	0.34375	0.0	0	11
0.5	0.55	areal	3	84	0.34375	0.0	0	11
0.5	0.55	areal	4	96	0.25	0.0	0	8
0.5	0.55	areal	5	80	0.375	0.0	0	12
0.5	0.55	areal	6	84	0.34375	0.0	0	11
0.5	0.55	areal	7	72	0.4375	0.0	0	14
0.5	0.55	areal	8	88	0.3125	0.0	0	10
0.5	0.55	areal	9	84	0.34375	0.0	0	11
0.5	0.55	areal	10	84	0.34375	0.0	0	11
0.5	0.55	areal	11	96	0.25	0.0	0	8
0.5	0.55	areal	12	76	0.40625	0.0	0	13
0.5	0.55	areal	13	92	0.28125	0.0	0	9
0.5	0.55	areal	14	84	0.34375	0.0	0	11
0.5	0.55	areal	15	84	0.34375	0.0	0	11
0.5	0.55	areal	16	88	0.3125	0.0	0	10
0.5	0.55	areal	17	96	0.25	0.0	0	8
0.5	0.55	areal	18	92	0.28125	0.0	0	9
0.5	0.55	areal	19	80	0.375	0.0	0	12
0.5	0.55	areal	20	84	0.34375	0.0	0	11
0.5	0.55	areal	21	84	0.34375	0.0	0	11
0.5	0.55	areal	22	76	0.40625	0.0	0	13
0.5	0.55	areal	23	76	0.40625	0.0	0	13
0.5	0.55	areal	24	72	0.4375	0.0	0	14
0.5	0.55	areal	25	88	0.3125	0.0	0	10
0.5	0.55	areal	26	72	0.4375	0.0	0	14
0.5	0.55	areal	27	68	0.46875	0.0	0	15
0.5	0.55	areal	28	72	0.4375	0.0	0	14
0.5	0.55	areal	29	76	0.40625	0.0	0	13
0.5	0.55	areal	30	80	0.375	0.0	0	12
0.5	0.55	areal	31	92	0.28125	0.0	0	9
0.5	0.55	areal	32	80	0.375	0.0	0	12
0.5	0.55	areal	33	88	0.3125	0.0	0	10
0.5	0.55	areal	34	84	0.34375	0.0	0	11
0.5	0.55	areal	35	76	0.40625	0.0	0	13
0.5	0.55	areal	36	80	0.375	0.0	0	12
0.5	0.55	areal	37	84	0.34375	0.0	0	11
0.5	0.55	areal	38	76	0.40625	0.0	0	13
0.5	0.55	areal	39	80	0.375	0.0	0	12
0.5	0.55	gift	0	80	0.375	0.0	0	12
0.5	0.55	gift	1	92	0.28125	0.0	0	9
0.5	0.55	gift	2	84	0.34375	0.0	0	11
0.5	0.55	gift	3	92	0.28125	0.0	0	9
0.5	0.55	gift	4	84	0.34375	0.0	0	11
0.5	0.55	gift	5	88	0.3125	0.0	0	10
0.5	0.55	gift	6	80	0.375	0.0	0	12
0.5	0.55	gift	7	84	0.34375	0.0	0	11
0.5	0.55	gift	8	88	0.3125	0.0	0	10
0.5	0.55	gift	9	88	0.3125	0.0	0	10
0.5	0.55	gift	10	80	0.375	0.0	0	12
0.5	0.55	gift	11	88	0.3125	0.0	0	10
0.5	0.55	gift	12	80	0.375	0.0	0	12
0.5	0.55	gift	13	92	0.28125	0.0	0	9
0.5	0.55	gift	14	76	0.40625	0.0	0	13
0.5	0.55	gift	15	88	0.3125	0.0	0	10
0.5	0.55	gift	16	88	0.3125	0.0	0	10
0.5	0.55	gift	17	80	0.375	0.0	0	12
0.5	0.55	gift	18	88	0.3125	0.0	0	10
0.5	0.55	gift	19	80	0.375	0.0	0	12
0.5	0.55	gift	20	84	0.34375	0.0	0	11
0.5	0.55	gift	21	80	0.375	0.0	0	12
0.5	0.55	gift	22	72	0.4375	0.0	0	14
0.5	0.55	gift	23	72	0.4375	0.0	0	14
0.5	0.55	gift	24	72	0.4375	0.0	0	14
0.5	0.55	gift	25	80	0.375	0.0	0	12
0.5	0.55	gift	26	76	0.40625	0.0	0	13
0.5	0.55	gift	27	68	0.46875	0.0	0	15
0.5	0.55	gift	28	72	0.4375	0.0	0	14
0.5	0.55	gift	29	68	0.46875	0.0	0	15
0.5	0.55	gift	30	72	0.4375	0.0	0	14
0.5	0.55	gift	31	68	0.46875	0.0	0	15
0.5	0.55	gift	32	80	0.375	0.0	0	12
0.5	0.55	gift	33	68	0.46875	0.0	0	15
0.5	0.55	gift	34	64	0.5	0.0	0	16
0.5	0.55	gift	35	68	0.46875	0.0	0	15
0.5	0.55	gift	36	68	0.46875	0.0	0	15
0.5	0.55	gift	37	72	0.4375	0.0	0	14
0.5	0.55	gift	38	68	0.46875	0.0	0	15
0.5	0.55	gift	39	76	0.40625	0.0	0	13
0.5	0.55	grpo	0	84	0.34375	0.0	0	11
0.5	0.55	grpo	1	96	0.25	0.0	0	8
0.5	0.55	grpo	2	84	0.34375	0.0	0	11
0.5	0.55	grpo	3	80	0.375	0.0	0	12
0.5	0.55	grpo	4	84	0.34375	0.0	0	11
0.5	0.55	grpo	5	84	0.34375	0.0	0	11
0.5	0.55	grpo	6	76	0.40625	0.0	0	13
0.5	0.55	grpo	7	84	0.34375	0.0	0	11
0.5	0.55	grpo	8	92	0.28125	0.0	0	9
0.5	0.55	grpo	9	84	0.34375	0.0	0	11
0.5	0.55	grpo	10	84	0.34375	0.0	0	11
0.5	0.55	grpo	11	84	0.34375	0.0	0	11
0.5	0.55	grpo	12	76	0.40625	0.0	0	13
