rho	L_usd	advantage_of	vs	delta_cost_per_dec_usd	boot_mean	ci_lo	ci_hi	excludes_zero	sign
2	1.0	XGB-24full	XGB-4sensor	0.0036	0.003606	0.00265	0.0046	True	a_cheaper
2	1.0	XGB-24full	XGB-20raw	-0.003	-0.003007	-0.0035	-0.00255	True	b_cheaper
2	1.0	XGB-20raw	XGB-4sensor	0.0066	0.006613	0.005748	0.00755	True	a_cheaper
5	2.5	XGB-24full	XGB-4sensor	0.0165	0.016577	0.0126	0.020203	True	a_cheaper
5	2.5	XGB-24full	XGB-20raw	-0.0025	-0.002484	-0.004251	-0.000799	True	b_cheaper
5	2.5	XGB-20raw	XGB-4sensor	0.019	0.01906	0.015349	0.022901	True	a_cheaper
10	5.0	XGB-24full	XGB-4sensor	0.03885	0.039113	0.031746	0.047276	True	a_cheaper
10	5.0	XGB-24full	XGB-20raw	-0.00035	-0.000337	-0.0038	0.003002	False	b_cheaper
10	5.0	XGB-20raw	XGB-4sensor	0.0392	0.03945	0.031745	0.047967	True	a_cheaper
20	10.0	XGB-24full	XGB-4sensor	0.0633	0.063884	0.050894	0.079454	True	a_cheaper
20	10.0	XGB-24full	XGB-20raw	-0.0001	-0.000256	-0.006806	0.005601	False	b_cheaper
20	10.0	XGB-20raw	XGB-4sensor	0.0634	0.06414	0.050248	0.080115	True	a_cheaper
50	25.0	XGB-24full	XGB-4sensor	0.1173	0.119225	0.088796	0.149772	True	a_cheaper
50	25.0	XGB-24full	XGB-20raw	0.0015	0.001349	-0.013084	0.016051	False	a_cheaper
50	25.0	XGB-20raw	XGB-4sensor	0.1158	0.117876	0.089506	0.154311	True	a_cheaper
100	50.0	XGB-24full	XGB-4sensor	0.1524	0.154532	0.11973	0.19012	True	a_cheaper
100	50.0	XGB-24full	XGB-20raw	0.0098	0.009663	-0.009901	0.030351	False	a_cheaper
100	50.0	XGB-20raw	XGB-4sensor	0.1426	0.144869	0.106989	0.179474	True	a_cheaper
200	100.0	XGB-24full	XGB-4sensor	0.15725	0.161119	0.096413	0.222252	True	a_cheaper
200	100.0	XGB-24full	XGB-20raw	0.0131	0.013426	-0.028614	0.05602	False	a_cheaper
200	100.0	XGB-20raw	XGB-4sensor	0.14415	0.147693	0.084235	0.205514	True	a_cheaper
500	250.0	XGB-24full	XGB-4sensor	0.16965	0.177857	0.037478	0.32314	True	a_cheaper
500	250.0	XGB-24full	XGB-20raw	0.0094	0.012627	-0.065604	0.061551	False	a_cheaper
500	250.0	XGB-20raw	XGB-4sensor	0.16025	0.16523	0.056241	0.287009	True	a_cheaper
