domain_i	domain_j	density_i	density_j	ratio_i_over_j
D1	D2	0.008333333333333333	0.5	0.016666666666666666
D1	D3	0.008333333333333333	0.3673469387755102	0.022685185185185183
D1	D4	0.008333333333333333	0.729296875	0.01142653097661132
D1	D5	0.008333333333333333	1.0	0.008333333333333333
D1	D6	0.008333333333333333	0.00530359555546593	1.5712610899873258
D1	D7	0.008333333333333333	0.015625	0.5333333333333333
D1	D8	0.008333333333333333	0.09140625	0.09116809116809117
D1	D9	0.008333333333333333	0.09140625	0.09116809116809117
D2	D3	0.5	0.3673469387755102	1.361111111111111
D2	D4	0.5	0.729296875	0.6855918585966793
D2	D5	0.5	1.0	0.5
D2	D6	0.5	0.00530359555546593	94.27566539923954
D2	D7	0.5	0.015625	32.0
D2	D8	0.5	0.09140625	5.47008547008547
D2	D9	0.5	0.09140625	5.47008547008547
D3	D4	0.3673469387755102	0.729296875	0.5037001410098052
D3	D5	0.3673469387755102	1.0	0.3673469387755102
D3	D6	0.3673469387755102	0.00530359555546593	69.26375417086987
D3	D7	0.3673469387755102	0.015625	23.510204081632654
D3	D8	0.3673469387755102	0.09140625	4.018838304552591
D3	D9	0.3673469387755102	0.09140625	4.018838304552591
D4	D5	0.729296875	1.0	0.729296875
D4	D6	0.729296875	0.00530359555546593	137.50989632842206
D4	D7	0.729296875	0.015625	46.675
D4	D8	0.729296875	0.09140625	7.978632478632479
D4	D9	0.729296875	0.09140625	7.978632478632479
D5	D6	1.0	0.00530359555546593	188.55133079847909
D5	D7	1.0	0.015625	64.0
D5	D8	1.0	0.09140625	10.94017094017094
D5	D9	1.0	0.09140625	10.94017094017094
D6	D7	0.00530359555546593	0.015625	0.3394301155498195
D6	D8	0.00530359555546593	0.09140625	0.05802224197432812
D6	D9	0.00530359555546593	0.09140625	0.05802224197432812
D7	D8	0.015625	0.09140625	0.17094017094017094
D7	D9	0.015625	0.09140625	0.17094017094017094
D8	D9	0.09140625	0.09140625	1.0
