C_inv	L	rho	regret_20raw_mean	regret_20raw_ci_low	regret_20raw_ci_high	regret_24full_mean	regret_24full_ci_low	regret_24full_ci_high	regret_4sensor_mean	regret_4sensor_ci_low	regret_4sensor_ci_high	sensor_closure_24full_mean	sensor_closure_24full_ci_low	sensor_closure_24full_ci_high	sensor_closure_24full_excl0	sensor_full_ceiling_mean	sensor_full_ceiling_ci_low	sensor_full_ceiling_ci_high	fraction_captured_mean	fraction_captured_ci_low	fraction_captured_ci_high	n_boot_used
0.1	5.0	50.0	0.0029917800000000003	0.0017200000000000002	0.00466	0.0026519399999999998	0.0011300000000000008	0.004550749999999999	0.021970860000000002	0.018099499999999998	0.02622075	0.00033984000000000027	-0.001300249999999999	0.0019202499999999996	False	0.0029917800000000003	0.0017200000000000002	0.00466	0.09252871173590088	-0.5077416544781903	0.5222130261660978	1000
0.1	25.0	250.0	0.006404	0.00191925	0.012140499999999999	0.00750509	0.0011800000000000005	0.010590250000000002	0.03942886	0.029088000000000006	0.049410749999999996	-0.0011010899999999999	-0.0066602499999999995	0.0059005	False	0.006404	0.00191925	0.012140499999999999	-0.41368930587663283	-3.281815683206832	0.6762227196190983	1000
0.1	100.0	1000.0	0.009488110000000001	0.0018392500000000002	0.013	0.009124700000000001	0.0011397500000000004	0.010669999999999999	0.051451170000000004	0.03487925	0.06058025000000001	0.00036341	-0.008240249999999998	0.010330999999999998	False	0.009488110000000001	0.0018392500000000002	0.013	-0.39152198127307736	-4.0735628342245995	0.8902043673559862	1000
0.1	250.0	2500.0	0.009386760000000001	0.0018795	0.01303	0.00920777	0.0011200000000000003	0.010700250000000001	0.053951330000000006	0.03470675	0.060910750000000013	0.00017899	-0.00821	0.010951250000000001	False	0.009386760000000001	0.0018795	0.01303	-0.4462138477735615	-4.015517241379309	0.899564954032879	1000
0.1	1000.0	10000.0	0.00930631	0.0017287500000000005	0.013059999999999999	0.00904429	0.0010899999999999998	0.010710250000000001	0.05377061	0.034558750000000006	0.06083025	0.0002620199999999999	-0.008250250000000002	0.011051	False	0.00930631	0.0017287500000000005	0.013059999999999999	-0.40177459532844556	-4.012802742564002	0.9033553192265018	1000
0.5	5.0	10.0	0.0079324	0.005450000000000001	0.010450000000000001	0.005891350000000001	0.0036000000000000008	0.008299999999999998	0.04212345	0.0357	0.0493575	0.0020410500000000004	-0.0001512499999999982	0.004351249999999998	False	0.0079324	0.005450000000000001	0.010450000000000001	0.25116678433102063	-0.021983276355908455	0.5000739644970413	1000
0.5	25.0	50.0	0.01493225	0.008398750000000002	0.023151249999999998	0.01306215	0.0058487500000000015	0.02285125	0.1091424	0.0883	0.12980375	0.0018701	-0.006402499999999999	0.01005125	False	0.01493225	0.008398750000000002	0.023151249999999998	0.10610789056028097	-0.5074411572409285	0.5676528263279053	1000
0.5	100.0	200.0	0.028728749999999997	0.009748749999999999	0.05895875	0.032556550000000004	0.005948749999999999	0.051949999999999996	0.1834758	0.13714875	0.22712124999999997	-0.0038277999999999997	-0.0293125	0.024903750000000002	False	0.028728749999999997	0.009748749999999999	0.05895875	-0.30753060607523264	-2.299489728442955	0.6215194805194796	1000
0.5	250.0	500.0	0.041320899999999994	0.00839875	0.06425	0.0429704	0.0055	0.053349999999999995	0.229755	0.16142374999999998	0.29895375	-0.0016495000000000001	-0.04085125000000001	0.03220249999999999	False	0.041320899999999994	0.00839875	0.06425	-0.4591498215160551	-4.005073038091986	0.837628098929681	1000
0.5	1000.0	2000.0	0.04659165	0.009698749999999999	0.06520125	0.04591085	0.005800000000000001	0.0534	0.26751345000000004	0.1760925	0.3041	0.0006807999999999995	-0.041551250000000005	0.05505	False	0.04659165	0.009698749999999999	0.06520125	-0.48794120465206836	-4.094319861090586	0.9013236113321661	1000
