framework	method	n_entries	entries	mean_badge	min_badge	max_badge	status
colab-open	dapo	1	colab-open_dapo_e3	96.15	96.15	96.15	POPULATED
colab-open	drgrpo	1	colab-open_drgrpo_e3	95.65	95.65	95.65	POPULATED
colab-open	grpo	2	colab-open_grpo-adaptiveg_e3,colab-open_grpo_e3	95.65	95.65	95.65	POPULATED
openrlhf	grpo	1	openrlhf_grpo_qwen3-8b_gsm8k	56.52	56.52	56.52	POPULATED
tinker	aero	1	tinker_aero_qwen3.5-4b_gsm8k	65.22	65.22	65.22	POPULATED
tinker	areal	1	tinker_areal_qwen3.5-4b_gsm8k	65.22	65.22	65.22	POPULATED
tinker	dapo	1	tinker_dapo_qwen3.5-4b_gsm8k	65.38	65.38	65.38	POPULATED
tinker	drgrpo	1	tinker_drgrpo_qwen3.5-4b_gsm8k	60.87	60.87	60.87	POPULATED
tinker	gift	1	tinker_gift_qwen3.5-4b_gsm8k	66.67	66.67	66.67	POPULATED
tinker	grpo	2	tinker_grpo_qwen3-8b_gsm8k,tinker_grpo_qwen3.5-4b_gsm8k	54.34	52.17	56.52	POPULATED
tinker	gspo	1	tinker_gspo_qwen3.5-4b_gsm8k	58.33	58.33	58.33	POPULATED
tinker	ppo-reinforce	2	wandb_ppo_reinforce_llama318b-inst_gsm8k,wandb_ppo_reinforce_qwen38b_gsm8k	52.17	52.17	52.17	POPULATED
trl	grpo	1	trl_grpo_qwen3-8b_gsm8k	69.57	69.57	69.57	POPULATED
verl	grpo	1	verl_grpo_qwen3-8b_gsm8k	56.52	56.52	56.52	POPULATED
zvf130	aero	1	zvf130_aero	39.13	39.13	39.13	POPULATED
zvf130	areal	1	zvf130_areal	39.13	39.13	39.13	POPULATED
zvf130	cppo	1	zvf130_cppo	39.13	39.13	39.13	POPULATED
zvf130	es	1	zvf130_es	39.13	39.13	39.13	POPULATED
zvf130	gift	1	zvf130_gift	39.13	39.13	39.13	POPULATED
zvf130	grpo	1	zvf130_grpo	39.13	39.13	39.13	POPULATED
zvf130	mcgrpo	1	zvf130_mcgrpo	39.13	39.13	39.13	POPULATED
zvf130	ngrpo	1	zvf130_ngrpo	39.13	39.13	39.13	POPULATED
zvf130	scafgrpo	1	zvf130_scafgrpo	39.13	39.13	39.13	POPULATED
zvf130	tool_use_llama-8b-inst	1	zvf130_tool_use_llama-8b-inst	39.13	39.13	39.13	POPULATED
zvf130	tool_use_qwen3-32b	1	zvf130_tool_use_qwen3-32b	39.13	39.13	39.13	POPULATED
