K_pct	pair	gap_a	gap_b	brier_a	brier_b	delta_gap	ci_lo	ci_hi	excludes_zero	direction
0.25	XGB-24full-XGB-20raw	0.014709909570217134	0.08280573179721833	0.045781174539359475	0.10652646119380464	-0.06809582222700118	-0.2058229252696037	0.07122174531221379	no	neg
0.25	XGB-20raw-XGB-4sensor	0.08280573179721833	0.47527499544024465	0.10652646119380464	0.45747783181763263	-0.39246926364302637	-0.6309763437509537	-0.1593010994791984	YES	neg
0.25	XGB-24full-XGB-4sensor	0.014709909570217134	0.47527499544024465	0.045781174539359475	0.45747783181763263	-0.4605650858700275	-0.6719409823417664	-0.24018968999385845	YES	neg
0.5	XGB-24full-XGB-20raw	0.0544286925137043	0.05732070119380952	0.09719436815944611	0.09757279054201985	-0.00289200868010521	-0.0814775842428207	0.06930095881223668	no	neg
0.5	XGB-20raw-XGB-4sensor	0.05732070119380952	0.5484387225151062	0.09757279054201985	0.4943178786229509	-0.49111802132129667	-0.6318712851405144	-0.3358036255836487	YES	neg
0.5	XGB-24full-XGB-4sensor	0.0544286925137043	0.5484387225151062	0.09719436815944611	0.4943178786229509	-0.4940100300014019	-0.6302004541754722	-0.35684027206897734	YES	neg
1.0	XGB-24full-XGB-20raw	0.1821284389734268	0.22223476218581198	0.22095072879415953	0.24763888725691566	-0.04010632321238518	-0.10859562778472898	0.027418195009231587	no	neg
1.0	XGB-20raw-XGB-4sensor	0.22223476218581198	0.6022759728252888	0.24763888725691566	0.5090880632786317	-0.38004121063947677	-0.4878275831341743	-0.2838110758662226	YES	neg
1.0	XGB-24full-XGB-4sensor	0.1821284389734268	0.6022759728252888	0.22095072879415953	0.5090880632786317	-0.420147533851862	-0.5294741874337197	-0.3088530146479607	YES	neg
2.0	XGB-24full-XGB-20raw	0.29773993144631383	0.3591196711838245	0.3064835693691121	0.3451677062771118	-0.06137973973751068	-0.10074151575565335	-0.024547779262065906	YES	neg
2.0	XGB-20raw-XGB-4sensor	0.3591196711838245	0.6018977809488772	0.3451677062771118	0.4908032306478532	-0.2427781097650528	-0.30625451785325997	-0.18061370384693143	YES	neg
2.0	XGB-24full-XGB-4sensor	0.29773993144631383	0.6018977809488772	0.3064835693691121	0.4908032306478532	-0.30415784950256347	-0.3685389345288276	-0.23634362667798994	YES	neg
5.0	XGB-24full-XGB-20raw	0.4263134430003166	0.4637440594124794	0.3315319970380291	0.36107013159032936	-0.03743061641216279	-0.05311199268102648	-0.02127106206417085	YES	neg
5.0	XGB-20raw-XGB-4sensor	0.4637440594124794	0.5819141956734657	0.36107013159032936	0.44692536681409584	-0.11817013626098632	-0.1469620086193085	-0.08649791504144669	YES	neg
5.0	XGB-24full-XGB-4sensor	0.4263134430003166	0.5819141956734657	0.3315319970380291	0.44692536681409584	-0.1556007526731491	-0.18606995548009872	-0.12615682145357127	YES	neg
