band	band_label	channel	n_obs	mean	sd
0	steps_1-3	zvf	15	0.6167	0.1528
0	steps_1-3	reward	15	0.1833	0.1069
0	steps_1-3	mean_len	15	252.8177	3.6291
0	steps_1-3	loss	15	58.4894	109.2613
1	steps_4-6	zvf	15	0.5833	0.1308
1	steps_4-6	reward	15	0.2375	0.108
1	steps_4-6	mean_len	15	251.501	4.2666
1	steps_4-6	loss	15	70.0834	62.2831
2	steps_7-9	zvf	15	0.6	0.165
2	steps_7-9	reward	15	0.2812	0.1758
2	steps_7-9	mean_len	15	248.4125	8.3877
2	steps_7-9	loss	15	63.5455	99.3058
3	steps_10-12	zvf	15	0.6	0.1902
3	steps_10-12	reward	15	0.2219	0.111
3	steps_10-12	mean_len	15	251.399	4.9489
3	steps_10-12	loss	15	53.964	42.3245
4	steps_13-15	zvf	15	0.5333	0.1375
4	steps_13-15	reward	15	0.3479	0.1802
4	steps_13-15	mean_len	15	246.2604	7.6917
4	steps_13-15	loss	15	82.658	86.5932
