backbone	rule	seed	auc_comp	recall_at_K2	precision_at_K2	n_caught_at_K2	n_llm_calls	cost_per_decision	cost_per_fraud_caught
XGB-20raw	gradient-band	20260705	0.99976	0.979167	0.705	141	9	0.00010081	0.00714965
XGB-20raw	gradient-band	42	0.999766	0.993056	0.715	143	5	0.00010045	0.00702448
XGB-20raw	absolute-band	20260705	0.99976	0.979167	0.705	141	21	0.00010189	0.00722624
XGB-20raw	absolute-band	42	0.999776	0.993056	0.715	143	18	0.00010162	0.00710629
XGB-24full	gradient-band	20260705	0.999803	0.993056	0.715	143	9	0.00010081	0.00704965
XGB-24full	gradient-band	42	0.999854	0.993056	0.715	143	6	0.00010054	0.00703077
XGB-24full	absolute-band	20260705	0.999803	0.993056	0.715	143	22	0.00010198	0.00713147
XGB-24full	absolute-band	42	0.999849	0.993056	0.715	143	18	0.00010162	0.00710629
