controller	n_methods	sd_cost	ci95_sd_cost_lo	ci95_sd_cost_hi	sd_retention	ci95_sd_ret_lo	ci95_sd_ret_hi	sd_mag_per_cost	ci95_sd_mpc_lo	ci95_sd_mpc_hi
STATIC_G8	4	0.0	0.0	0.0	0.024375	0.024375	0.024375	0.019697	0.019697	0.019697
STATIC_G16	4	0.0	0.0	0.0	0.0292	0.0292	0.0292	0.01145	0.01145	0.01145
DUALFORMER_PP	4	0.0	0.0	0.0	0.024375	0.024375	0.024375	0.019697	0.019697	0.019697
ADAPTIVE_PP_ORACLE	4	0.073102	0.073102	0.073102	0.031221	0.031221	0.031221	0.006046	0.006046	0.006046
UNIFIED_C4	4	0.007848	0.007848	0.007848	0.024596	0.024596	0.024596	0.022901	0.022901	0.022901
