pair	tau	r1	r2	diff	ci_lo	ci_hi	tost_pass
42-179	0.5	0.6667	0.9333	-0.2667	-0.5333	0.0000	0
42-179	0.55	0.4000	0.6667	-0.2667	-0.6667	0.1333	0
42-179	0.6	0.4000	0.6667	-0.2667	-0.6000	0.1333	0
42-179	0.65	0.1333	0.2667	-0.1333	-0.4667	0.2000	0
42-179	0.7	0.1333	0.2667	-0.1333	-0.4667	0.2000	0
42-179	0.75	0.1333	0.2667	-0.1333	-0.4000	0.2000	0
42-179	0.8	0.0000	0.0000	0.0000	0.0000	0.0000	1
42-179	0.85	0.0000	0.0000	0.0000	0.0000	0.0000	1
42-316	0.5	0.6667	0.8667	-0.2000	-0.4000	0.0000	0
42-316	0.55	0.4000	0.6000	-0.2000	-0.6000	0.2000	0
42-316	0.6	0.4000	0.6000	-0.2000	-0.5333	0.2000	0
42-316	0.65	0.1333	0.2667	-0.1333	-0.4667	0.2000	0
42-316	0.7	0.1333	0.2667	-0.1333	-0.4000	0.2000	0
42-316	0.75	0.1333	0.2667	-0.1333	-0.4000	0.2000	0
42-316	0.8	0.0000	0.0000	0.0000	0.0000	0.0000	1
42-316	0.85	0.0000	0.0000	0.0000	0.0000	0.0000	1
42-453	0.5	0.6667	0.9333	-0.2667	-0.5333	0.0000	0
42-453	0.55	0.4000	0.6667	-0.2667	-0.6000	0.0667	0
42-453	0.6	0.4000	0.6667	-0.2667	-0.6000	0.0667	0
42-453	0.65	0.1333	0.4000	-0.2667	-0.6000	0.0667	0
42-453	0.7	0.1333	0.4000	-0.2667	-0.6000	0.0667	0
42-453	0.75	0.1333	0.4000	-0.2667	-0.6000	0.0667	0
42-453	0.8	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
42-453	0.85	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
42-590	0.5	0.6667	0.8000	-0.1333	-0.4667	0.1333	0
42-590	0.55	0.4000	0.6667	-0.2667	-0.6000	0.0667	0
42-590	0.6	0.4000	0.6667	-0.2667	-0.6000	0.0667	0
42-590	0.65	0.1333	0.3333	-0.2000	-0.4667	0.0667	0
42-590	0.7	0.1333	0.3333	-0.2000	-0.4667	0.0667	0
42-590	0.75	0.1333	0.3333	-0.2000	-0.4667	0.0667	0
42-590	0.8	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
42-590	0.85	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
179-316	0.5	0.9333	0.8667	0.0667	-0.1333	0.2667	0
179-316	0.55	0.6667	0.6000	0.0667	-0.2667	0.4000	0
179-316	0.6	0.6667	0.6000	0.0667	-0.2667	0.4000	0
179-316	0.65	0.2667	0.2667	0.0000	-0.2667	0.2667	0
179-316	0.7	0.2667	0.2667	0.0000	-0.2667	0.2667	0
179-316	0.75	0.2667	0.2667	0.0000	-0.2667	0.2667	0
179-316	0.8	0.0000	0.0000	0.0000	0.0000	0.0000	1
179-316	0.85	0.0000	0.0000	0.0000	0.0000	0.0000	1
179-453	0.5	0.9333	0.9333	0.0000	-0.2000	0.2000	0
179-453	0.55	0.6667	0.6667	0.0000	-0.4000	0.4000	0
179-453	0.6	0.6667	0.6667	0.0000	-0.4000	0.4000	0
179-453	0.65	0.2667	0.4000	-0.1333	-0.4667	0.2000	0
179-453	0.7	0.2667	0.4000	-0.1333	-0.4000	0.2000	0
179-453	0.75	0.2667	0.4000	-0.1333	-0.4000	0.2000	0
179-453	0.8	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
179-453	0.85	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
179-590	0.5	0.9333	0.8000	0.1333	0.0000	0.3333	0
179-590	0.55	0.6667	0.6667	0.0000	-0.2000	0.2000	0
179-590	0.6	0.6667	0.6667	0.0000	-0.2000	0.2000	0
179-590	0.65	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
179-590	0.7	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
179-590	0.75	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
179-590	0.8	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
179-590	0.85	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
316-453	0.5	0.8667	0.9333	-0.0667	-0.3333	0.1333	0
316-453	0.55	0.6000	0.6667	-0.0667	-0.4000	0.2667	0
316-453	0.6	0.6000	0.6667	-0.0667	-0.4000	0.2667	0
316-453	0.65	0.2667	0.4000	-0.1333	-0.4667	0.2000	0
316-453	0.7	0.2667	0.4000	-0.1333	-0.4667	0.2000	0
316-453	0.75	0.2667	0.4000	-0.1333	-0.4667	0.2667	0
316-453	0.8	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
316-453	0.85	0.0000	0.0667	-0.0667	-0.2000	0.0000	0
316-590	0.5	0.8667	0.8000	0.0667	-0.2000	0.3333	0
316-590	0.55	0.6000	0.6667	-0.0667	-0.4000	0.2667	0
316-590	0.6	0.6000	0.6667	-0.0667	-0.4000	0.2667	0
316-590	0.65	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
316-590	0.7	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
316-590	0.75	0.2667	0.3333	-0.0667	-0.4000	0.2667	0
316-590	0.8	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
316-590	0.85	0.0000	0.1333	-0.1333	-0.3333	0.0000	0
453-590	0.5	0.9333	0.8000	0.1333	-0.1333	0.4000	0
453-590	0.55	0.6667	0.6667	0.0000	-0.4000	0.4000	0
453-590	0.6	0.6667	0.6667	0.0000	-0.4000	0.4000	0
453-590	0.65	0.4000	0.3333	0.0667	-0.2667	0.4000	0
453-590	0.7	0.4000	0.3333	0.0667	-0.2667	0.4000	0
453-590	0.75	0.4000	0.3333	0.0667	-0.2667	0.4000	0
453-590	0.8	0.0667	0.1333	-0.0667	-0.2667	0.1333	0
453-590	0.85	0.0667	0.1333	-0.0667	-0.2667	0.2000	0
