entry_id	record_type	min_report_coverage	min_report_pop	min_report_total	declared_deltas_coverage	declared_deltas_informative	declared_deltas_total	declared_deltas_implemented	measured_coverage	measured_pop	measured_total	ci_method_present
colab-open_dapo_e3	stack	1.0	7	7	0.8	4	5	4	0.6	3	5	False
colab-open_drgrpo_e3	stack	1.0	7	7	1.0	2	2	2	0.6	3	5	False
colab-open_grpo-adaptiveg_e3	stack	1.0	7	7	1.0	1	1	1	0.6	3	5	False
colab-open_grpo_e3	stack	1.0	7	7	0.0	0	0	0	0.6	3	5	False
delta_adaptiveg	variant_delta	0.0	0	7	0.0	0	0	0	1.0	2	1	False
delta_aero	variant_delta	0.0	0	7	0.0	0	0	0	1.0	6	1	False
delta_areal	variant_delta	0.0	0	7	0.0	0	0	0	1.0	6	1	False
delta_cppo	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	1	False
delta_dapo	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	5	False
delta_drgrpo	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	2	False
delta_es	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	1	False
delta_gift	variant_delta	0.0	0	7	0.0	0	0	0	1.0	6	1	False
delta_gspo	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	2	False
delta_liteppo	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	2	False
delta_mcgrpo	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	2	False
delta_ngrpo	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	1	False
delta_ppo	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	4	False
delta_ppo_reinforce	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	4	False
delta_reinforce	variant_delta	0.0	0	7	0.0	0	0	0	0.0	0	2	False
delta_scafgrpo	variant_delta	0.0	0	7	0.0	0	0	0	1.0	3	1	False
delta_tool_use_llama-8b-inst	variant_delta	0.0	0	7	0.0	0	0	0	1.0	1	1	False
delta_tool_use_qwen3-32b	variant_delta	0.0	0	7	0.0	0	0	0	1.0	1	1	False
openrlhf_grpo_qwen3-8b_gsm8k	stack	0.7143	5	7	0.0	0	0	0	0.0	0	5	False
tinker_aero_qwen3.5-4b_gsm8k	stack	0.8571	6	7	1.0	1	1	1	0.8	4	5	True
tinker_areal_qwen3.5-4b_gsm8k	stack	0.8571	6	7	1.0	1	1	1	0.8	4	5	True
tinker_dapo_qwen3.5-4b_gsm8k	stack	0.8571	6	7	0.2	1	5	0	0.6	3	5	True
tinker_drgrpo_qwen3.5-4b_gsm8k	stack	0.8571	6	7	1.0	2	2	0	0.6	3	5	True
tinker_gift_qwen3.5-4b_gsm8k	stack	0.8571	6	7	1.0	1	1	1	0.8	4	5	True
tinker_grpo_qwen3-8b_gsm8k	stack	0.7143	5	7	0.0	0	0	0	0.0	0	5	False
tinker_grpo_qwen3.5-4b_gsm8k	stack	0.7143	5	7	0.0	0	0	0	0.6	3	5	True
tinker_gspo_qwen3.5-4b_gsm8k	stack	0.8571	6	7	0.5	1	2	0	0.6	3	5	True
trl_grpo_qwen3-8b_gsm8k	stack	0.8571	6	7	0.0	0	0	0	0.0	0	5	False
verl_grpo_qwen3-8b_gsm8k	stack	0.7143	5	7	0.0	0	0	0	0.0	0	5	False
wandb_ppo_reinforce_llama318b-inst_gsm8k	stack	0.8571	6	7	1.0	4	4	3	0.0	0	5	False
wandb_ppo_reinforce_qwen38b_gsm8k	stack	0.8571	6	7	1.0	4	4	3	0.0	0	5	False
zvf130_aero	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_areal	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_cppo	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_es	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_gift	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_grpo	stack	0.4286	3	7	0.0	0	0	0	0.0	0	5	False
zvf130_mcgrpo	stack	0.4286	3	7	0.0	0	2	0	0.0	0	5	False
zvf130_ngrpo	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_scafgrpo	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_tool_use_llama-8b-inst	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
zvf130_tool_use_qwen3-32b	stack	0.4286	3	7	0.0	0	1	0	0.0	0	5	False
