method	step	prompt_idx	k	p_hat	step_zvf	oracle_g	oracle_dy	g_dualformer_target	dy_dualformer_target	fire_due_to_dualformer	fire_due_to_zvf	g_c6	dy_c6	g_c0	dy_c0	g_c1	dy_c1	g_c2	dy_c2	g_c3	dy_c3	g_c5	dy_c5
aero	0	0	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	1	5	0.625	0.6875	10	0.014524189755320549	8	0.0	1	0	8	0.0	8	0.0	8	0.0	12	0.02011368327657692	8	0.0	6	-0.03871142864227295
aero	0	2	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	3	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	4	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	5	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	6	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	7	7	0.875	0.6875	10	0.08053339831531048	8	0.0	1	0	8	0.0	8	0.0	8	0.0	24	0.3030400716467391	8	0.0	24	0.3030400716467391
aero	0	8	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	9	1	0.125	0.6875	10	0.08053339831531048	8	0.0	1	0	8	0.0	8	0.0	8	0.0	2	-0.4376410245895386	8	0.0	24	0.3030400716467391
aero	0	10	7	0.875	0.6875	10	0.08053339831531048	8	0.0	1	0	8	0.0	8	0.0	8	0.0	24	0.3030400716467391	8	0.0	24	0.3030400716467391
aero	0	11	1	0.125	0.6875	10	0.08053339831531048	8	0.0	1	0	8	0.0	8	0.0	8	0.0	2	-0.4376410245895386	8	0.0	24	0.3030400716467391
aero	0	12	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	13	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	14	0	0.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	0	15	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	0	5	0.625	0.6875	10	0.014524189755320549	8	0.0	1	0	8	0.0	8	0.0	8	0.0	12	0.02011368327657692	8	0.0	6	-0.03871142864227295
aero	1	1	5	0.625	0.6875	10	0.014524189755320549	8	0.0	1	0	8	0.0	8	0.0	8	0.0	12	0.02011368327657692	8	0.0	6	-0.03871142864227295
aero	1	2	4	0.5	0.6875	10	0.005859375	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	6	-0.0234375
aero	1	3	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	4	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	5	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	6	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	7	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	8	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	9	5	0.625	0.6875	10	0.014524189755320549	8	0.0	1	0	8	0.0	8	0.0	8	0.0	12	0.02011368327657692	8	0.0	6	-0.03871142864227295
aero	1	10	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
aero	1	11	8	1.0	0.6875	8	0.0	8	0.0	0	0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0	8	0.0
