seed	step	zvf_obs	reward	mean_len	p0_inverted	predicted_zvf_G16	predicted_zvf_G32	predicted_zvf_G64	Gstar	zvf_at_Gstar	salvageable	Gstar_eq_G16	Gstar_eq_G32	Gstar_eq_G64
453	14	0.5	0.453125	251.859	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
453	15	0.625	0.140625	255.078	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	1	0.875	0.328125	246.672	0.0165529	0.765625	0.586182	0.343609	64	0.343609	1	0	0	1
590	2	0.5	0.09375	255.438	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
590	3	0.625	0.203125	255.109	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	4	0.5	0.34375	248.109	0.082996	0.25	0.0625	0.00390625	16	0.25	1	1	0	0
590	5	0.75	0.078125	255.016	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
590	6	0.625	0.25	251.422	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	7	0.875	0.0625	256	0.0165529	0.765625	0.586182	0.343609	64	0.343609	1	0	0	1
590	8	0.625	0.125	255.281	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	9	0.25	0.4375	250.953	0.159104	0.0624998	0.00390622	1.52586e-05	16	0.0624998	1	1	0	0
590	10	0.625	0.1875	253.797	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	11	0.75	0.140625	255.328	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
590	12	0.375	0.28125	255.031	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
590	13	0.625	0.21875	248.328	0.057058	0.390625	0.152588	0.0232831	16	0.390625	1	1	0	0
590	14	0.75	0.234375	246.797	0.0353214	0.5625	0.316406	0.100113	32	0.316406	1	0	1	0
590	15	0.375	0.40625	248.484	0.115386	0.140625	0.0197754	0.000391066	16	0.140625	1	1	0	0
