corpus	axis	channel	eta2	omega2	ci_lo	ci_hi	k_levels	n_obs
n2_samestack	algorithm	zvf	0.04542	0.02690	0.00932	0.14370	4	160
n2_samestack	algorithm	reward	0.00747	-0.01155	0.00245	0.07839	4	160
n2_samestack	algorithm	len	0.06314	0.04485	0.01859	0.16071	4	160
mega	model_family	zvf	0.00529	-0.00502	0.00002	0.07196	2	98
mega	task_slice	zvf	0.46869	0.45496	0.39399	0.57722	3	98
mega	G	zvf	0.44366	0.41723	0.29371	0.62785	5	98
mega	temperature	zvf	0.00915	-0.00116	0.00002	0.08485	2	98
mega	seed	zvf	0.00002	-0.01029	0.00001	0.05264	2	98
mega	model_family	reward	0.45267	0.44443	0.32044	0.60891	2	98
mega	task_slice	reward	0.27286	0.25560	0.19913	0.39366	3	98
mega	G	reward	0.03043	-0.01115	0.01015	0.17331	5	98
mega	temperature	reward	0.00001	-0.01030	0.00001	0.05350	2	98
mega	seed	reward	0.00001	-0.01030	0.00001	0.04870	2	98
mega	model_family	len	0.30063	0.29122	0.17917	0.44728	2	98
mega	task_slice	len	0.20967	0.19144	0.08543	0.39726	3	98
mega	G	len	0.01703	-0.02499	0.00940	0.14960	5	98
mega	temperature	len	0.20664	0.19675	0.08793	0.38343	2	98
mega	seed	len	0.00005	-0.01026	0.00001	0.05445	2	98
