model	C_inv	L	rho	n_test	n_pos_test	tau_star	cost_actual_per_dec	cost_oracle_per_dec	regret_per_dec	regret_pct_of_oracle	tp_at_star	fp_at_star	fn_at_star	c_sense
XGB-20raw	0.1	5.0	50.0	10000	144	0.03727451711893082	0.00461	0.00144	0.00317	220.13888888888889	142	219	2	0.0
XGB-24full	0.1	5.0	50.0	10000	144	0.05550694838166237	0.007559999999999999	0.00494	0.002619999999999999	53.036437246963544	141	115	3	0.0035
XGB-4sensor	0.1	5.0	50.0	10000	144	0.024460962042212486	0.027089999999999996	0.00494	0.022149999999999996	448.38056680161935	125	1284	19	0.0035
XGB-20raw	0.1	25.0	250.0	10000	144	0.03727451711893082	0.00861	0.00144	0.007169999999999999	497.91666666666663	142	219	2	0.0
XGB-24full	0.1	25.0	250.0	10000	144	0.05550694838166237	0.01356	0.00494	0.00862	174.49392712550608	141	115	3	0.0035
XGB-4sensor	0.1	25.0	250.0	10000	144	0.01649005524814129	0.046990000000000004	0.00494	0.042050000000000004	851.2145748987855	138	2711	6	0.0035
XGB-20raw	0.1	100.0	1000.0	10000	144	0.012312019243836403	0.013890000000000001	0.00144	0.012450000000000001	864.5833333333334	144	1245	0	0.0
XGB-24full	0.1	100.0	1000.0	10000	144	0.013741803355515003	0.015090000000000001	0.00494	0.010150000000000001	205.4655870445344	144	1015	0	0.0035
XGB-4sensor	0.1	100.0	1000.0	10000	144	0.010923336260020733	0.06093	0.00494	0.05599	1133.4008097165993	143	4600	1	0.0035
XGB-20raw	0.1	250.0	2500.0	10000	144	0.012312019243836403	0.013890000000000001	0.00144	0.012450000000000001	864.5833333333334	144	1245	0	0.0
XGB-24full	0.1	250.0	2500.0	10000	144	0.013741803355515003	0.015090000000000001	0.00494	0.010150000000000001	205.4655870445344	144	1015	0	0.0035
XGB-4sensor	0.1	250.0	2500.0	10000	144	0.007970549166202545	0.06494000000000001	0.00494	0.06000000000000001	1214.5748987854254	144	6000	0	0.0035
XGB-20raw	0.1	1000.0	10000.0	10000	144	0.012312019243836403	0.013890000000000001	0.00144	0.012450000000000001	864.5833333333334	144	1245	0	0.0
XGB-24full	0.1	1000.0	10000.0	10000	144	0.013741803355515003	0.015090000000000001	0.00494	0.010150000000000001	205.4655870445344	144	1015	0	0.0035
XGB-4sensor	0.1	1000.0	10000.0	10000	144	0.007970549166202545	0.06494000000000001	0.00494	0.06000000000000001	1214.5748987854254	144	6000	0	0.0035
XGB-20raw	0.5	5.0	10.0	10000	144	0.0826466977596283	0.01585	0.0072	0.00865	120.13888888888889	130	47	14	0.0
XGB-24full	0.5	5.0	10.0	10000	144	0.0955514907836914	0.01705	0.0107	0.00635	59.345794392523366	134	37	10	0.0035
XGB-4sensor	0.5	5.0	10.0	10000	144	0.05233317241072655	0.0535	0.0107	0.0428	400.0	70	190	74	0.0035
XGB-20raw	0.5	25.0	50.0	10000	144	0.03727451711893082	0.02305	0.0072	0.015850000000000003	220.1388888888889	142	219	2	0.0
XGB-24full	0.5	25.0	50.0	10000	144	0.05550694838166237	0.0238	0.0107	0.013100000000000002	122.4299065420561	141	115	3	0.0035
XGB-4sensor	0.5	25.0	50.0	10000	144	0.024460962042212486	0.12145	0.0107	0.11075	1035.0467289719627	125	1284	19	0.0035
XGB-20raw	0.5	100.0	200.0	10000	144	0.03727451711893082	0.03805	0.0072	0.030850000000000002	428.47222222222223	142	219	2	0.0
XGB-24full	0.5	100.0	200.0	10000	144	0.05550694838166237	0.0463	0.0107	0.0356	332.7102803738318	141	115	3	0.0035
XGB-4sensor	0.5	100.0	200.0	10000	144	0.01649005524814129	0.20595	0.0107	0.19525	1824.766355140187	138	2711	6	0.0035
XGB-20raw	0.5	250.0	500.0	10000	144	0.02095082215964794	0.0613	0.0072	0.0541	751.3888888888889	143	583	1	0.0
XGB-24full	0.5	250.0	500.0	10000	144	0.013741803355515003	0.06145	0.0107	0.050749999999999997	474.2990654205608	144	1015	0	0.0035
XGB-4sensor	0.5	250.0	500.0	10000	144	0.01388558279722929	0.2613	0.0107	0.2506	2342.056074766355	141	3515	3	0.0035
XGB-20raw	0.5	1000.0	2000.0	10000	144	0.012312019243836403	0.06945	0.0072	0.06225	864.5833333333334	144	1245	0	0.0
XGB-24full	0.5	1000.0	2000.0	10000	144	0.013741803355515003	0.06145	0.0107	0.050749999999999997	474.2990654205608	144	1015	0	0.0035
XGB-4sensor	0.5	1000.0	2000.0	10000	144	0.007970549166202545	0.3107	0.0107	0.3	2803.738317757009	144	6000	0	0.0035
XGB-20raw	1.0	5.0	5.0	10000	144	0.0826466977596283	0.0247	0.0144	0.0103	71.52777777777779	130	47	14	0.0
XGB-24full	1.0	5.0	5.0	10000	144	0.10578137636184692	0.0255	0.0179	0.007599999999999999	42.45810055865922	132	28	12	0.0035
XGB-4sensor	1.0	5.0	5.0	10000	144	0.05336644873023033	0.0662	0.0179	0.048299999999999996	269.83240223463685	69	183	75	0.0035
XGB-20raw	1.0	25.0	25.0	10000	144	0.04438880458474159	0.0398	0.0144	0.025400000000000002	176.3888888888889	140	158	4	0.0
XGB-24full	1.0	25.0	25.0	10000	144	0.05550694838166237	0.0366	0.0179	0.0187	104.46927374301677	141	115	3	0.0035
XGB-4sensor	1.0	25.0	25.0	10000	144	0.03625835105776787	0.1769	0.0179	0.159	888.2681564245811	99	510	45	0.0035
XGB-20raw	1.0	100.0	100.0	10000	144	0.03727451711893082	0.0561	0.0144	0.0417	289.58333333333337	142	219	2	0.0
XGB-24full	1.0	100.0	100.0	10000	144	0.05550694838166237	0.0591	0.0179	0.0412	230.16759776536313	141	115	3	0.0035
XGB-4sensor	1.0	100.0	100.0	10000	144	0.01903435029089451	0.3209	0.0179	0.30300000000000005	1692.7374301675982	135	2139	9	0.0035
XGB-20raw	1.0	250.0	250.0	10000	144	0.03727451711893082	0.0861	0.0144	0.0717	497.9166666666667	142	219	2	0.0
XGB-24full	1.0	250.0	250.0	10000	144	0.05550694838166237	0.1041	0.0179	0.0862	481.56424581005587	141	115	3	0.0035
XGB-4sensor	1.0	250.0	250.0	10000	144	0.01649005524814129	0.4384	0.0179	0.4205	2349.1620111731845	138	2711	6	0.0035
XGB-20raw	1.0	1000.0	1000.0	10000	144	0.012312019243836403	0.1389	0.0144	0.1245	864.5833333333334	144	1245	0	0.0
XGB-24full	1.0	1000.0	1000.0	10000	144	0.013741803355515003	0.1194	0.0179	0.1015	567.0391061452515	144	1015	0	0.0035
XGB-4sensor	1.0	1000.0	1000.0	10000	144	0.010923336260020733	0.5778	0.0179	0.5599	3127.9329608938547	143	4600	1	0.0035
XGB-20raw	2.5	5.0	2.0	10000	144	0.15644635260105133	0.04625	0.036	0.010250000000000002	28.472222222222232	117	14	27	0.0
XGB-24full	2.5	5.0	2.0	10000	144	0.20375405251979828	0.04775	0.0395	0.00825	20.88607594936709	117	6	27	0.0035
XGB-4sensor	2.5	5.0	2.0	10000	144	0.16545218229293823	0.07375	0.0395	0.034249999999999996	86.70886075949366	12	5	132	0.0035
XGB-20raw	2.5	25.0	10.0	10000	144	0.0826466977596283	0.07925	0.036	0.043250000000000004	120.1388888888889	130	47	14	0.0
XGB-24full	2.5	25.0	10.0	10000	144	0.0955514907836914	0.07125	0.0395	0.031749999999999994	80.37974683544303	134	37	10	0.0035
XGB-4sensor	2.5	25.0	10.0	10000	144	0.05233317241072655	0.2535	0.0395	0.214	541.7721518987341	70	190	74	0.0035
XGB-20raw	2.5	100.0	40.0	10000	144	0.03727451711893082	0.11025	0.036	0.07425000000000001	206.25000000000006	142	219	2	0.0
XGB-24full	2.5	100.0	40.0	10000	144	0.05550694838166237	0.0975	0.0395	0.058	146.8354430379747	141	115	3	0.0035
XGB-4sensor	2.5	100.0	40.0	10000	144	0.024460962042212486	0.54575	0.0395	0.50625	1281.6455696202531	125	1284	19	0.0035
XGB-20raw	2.5	250.0	100.0	10000	144	0.03727451711893082	0.14025	0.036	0.10425000000000001	289.58333333333337	142	219	2	0.0
XGB-24full	2.5	250.0	100.0	10000	144	0.05550694838166237	0.1425	0.0395	0.10299999999999998	260.75949367088606	141	115	3	0.0035
XGB-4sensor	2.5	250.0	100.0	10000	144	0.01903435029089451	0.797	0.0395	0.7575000000000001	1917.7215189873418	135	2139	9	0.0035
XGB-20raw	2.5	1000.0	400.0	10000	144	0.02095082215964794	0.2815	0.036	0.24549999999999997	681.9444444444443	143	583	1	0.0
XGB-24full	2.5	1000.0	400.0	10000	144	0.013741803355515003	0.29325	0.0395	0.25375000000000003	642.4050632911393	144	1015	0	0.0035
XGB-4sensor	2.5	1000.0	400.0	10000	144	0.01388558279722929	1.2175	0.0395	1.178	2982.278481012658	141	3515	3	0.0035
XGB-20raw	5.0	5.0	1.0	10000	144	0.9958788156509399	0.072	0.072	0.0	0.0	1	0	143	0.0
XGB-24full	5.0	5.0	1.0	10000	144	0.9887470602989197	0.0755	0.0755	0.0	0.0	1	0	143	0.0035
XGB-4sensor	5.0	5.0	1.0	10000	144	0.3671809136867523	0.0755	0.0755	0.0	0.0	1	0	143	0.0035
XGB-20raw	5.0	25.0	5.0	10000	144	0.0826466977596283	0.1235	0.072	0.051500000000000004	71.52777777777779	130	47	14	0.0
XGB-24full	5.0	25.0	5.0	10000	144	0.10578137636184692	0.1135	0.0755	0.038000000000000006	50.33112582781458	132	28	12	0.0035
XGB-4sensor	5.0	25.0	5.0	10000	144	0.05336644873023033	0.317	0.0755	0.2415	319.8675496688742	69	183	75	0.0035
XGB-20raw	5.0	100.0	20.0	10000	144	0.04438880458474159	0.189	0.072	0.117	162.50000000000003	140	158	4	0.0
XGB-24full	5.0	100.0	20.0	10000	144	0.05550694838166237	0.1615	0.0755	0.08600000000000001	113.90728476821192	141	115	3	0.0035
XGB-4sensor	5.0	100.0	20.0	10000	144	0.03625835105776787	0.758	0.0755	0.6825	903.973509933775	99	510	45	0.0035
XGB-20raw	5.0	250.0	50.0	10000	144	0.03727451711893082	0.2305	0.072	0.15850000000000003	220.1388888888889	142	219	2	0.0
XGB-24full	5.0	250.0	50.0	10000	144	0.05550694838166237	0.2065	0.0755	0.131	173.50993377483445	141	115	3	0.0035
XGB-4sensor	5.0	250.0	50.0	10000	144	0.024460962042212486	1.183	0.0755	1.1075000000000002	1466.8874172185433	125	1284	19	0.0035
XGB-20raw	5.0	1000.0	200.0	10000	144	0.03727451711893082	0.3805	0.072	0.3085	428.47222222222223	142	219	2	0.0
XGB-24full	5.0	1000.0	200.0	10000	144	0.05550694838166237	0.4315	0.0755	0.356	471.52317880794703	141	115	3	0.0035
XGB-4sensor	5.0	1000.0	200.0	10000	144	0.01649005524814129	2.028	0.0755	1.9525000000000001	2586.0927152317886	138	2711	6	0.0035
