method	step	kl_to_grpo_bits	js_to_grpo_bits	wass1_to_grpo	adv_mean_diff	adv_var_ratio	n_advs_grpo	n_advs_var	adv_mean_grpo	adv_mean_var
grpo	0	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	0	1.09318252593701	0.05563376900523627	0.029296875	0.0	1.075	128	128	0.0	0.0
gift	0	5.298607645048326	0.6873222172250629	0.4208984375	0.41015625	1.373046875	128	128	0.0	0.41015625
areal	0	4.971956779888198	0.18188318536244402	0.05859375	0.0	1.4	128	128	0.0	0.0
grpo	1	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	1	4.497278977107949	0.20460552355227965	0.0703125	0.0	0.7849462365591398	128	128	0.0	0.0
gift	1	18.882179444998915	0.7045529882594482	0.40478515625	0.40234375	0.691364247311828	128	128	0.0	0.40234375
areal	1	0.34347922902183986	0.017905119275718768	0.03125	0.0	1.0	128	128	0.0	0.0
grpo	2	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	2	3.4386849765823375	0.1121021731073821	0.06640625	0.0	0.3888888888888889	128	128	0.0	0.0
gift	2	6.623561293026839	0.6651980986412966	0.4296875	0.42578125	0.8017939814814815	128	128	0.0	0.42578125
areal	2	1.3764188696097317	0.05214000627570478	0.03515625	0.0	0.8148148148148148	128	128	0.0	0.0
grpo	3	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	3	0.16696278460913194	0.05230606656922135	0.048828125	0.0	1.605263157894737	128	128	0.0	0.0
gift	3	6.180482598924701	0.6386659704931228	0.3857421875	0.37890625	1.8038651315789473	128	128	0.0	0.37890625
areal	3	3.6734943572492327	0.15969915422176034	0.0546875	0.0	1.605263157894737	128	128	0.0	0.0
grpo	4	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	4	1.5110681197175253	0.07941068531304632	0.048828125	0.0	1.0169491525423728	128	128	0.0	0.0
gift	4	7.856302877423646	0.6838935602261511	0.43798828125	0.43359375	0.7804555084745762	128	128	0.0	0.43359375
areal	4	3.6637680153999037	0.22844456010337041	0.060546875	0.0	1.1864406779661016	128	128	0.0	0.0
grpo	5	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	5	1.5077740173192968	0.08222716072907298	0.048828125	0.0	1.2413793103448276	128	128	0.0	0.0
gift	5	2.792127142968652	0.37774594297996966	0.3212890625	0.3125	1.3038793103448276	128	128	0.0	0.3125
areal	5	4.953941576063078	0.1715675344190163	0.0546875	0.0	0.7586206896551724	128	128	0.0	0.0
grpo	6	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	6	1.2647996259488417	0.0596564873490478	0.03515625	0.0	1.5	128	128	0.0	0.0
gift	6	4.93927507672611	0.6492791102583279	0.39892578125	0.39453125	1.7035845588235294	128	128	0.0	0.39453125
areal	6	1.1419062511043814	0.07081944171853094	0.04296875	0.0	1.5	128	128	0.0	0.0
grpo	7	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	7	1.1352255586875597	0.06634684302146968	0.041015625	0.0	1.3673469387755102	128	128	0.0	0.0
gift	7	4.300774483589916	0.4775520440166451	0.3681640625	0.36328125	1.324936224489796	128	128	0.0	0.36328125
areal	7	2.3491357932094545	0.0734305237709011	0.068359375	0.0	0.2857142857142857	128	128	0.0	0.0
grpo	8	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	8	5.1776441345938	0.1565029746391111	0.0546875	0.0	0.9866666666666667	128	128	0.0	0.0
gift	8	4.120727783771534	0.46751466291997024	0.36767578125	0.35546875	0.9889583333333334	128	128	0.0	0.35546875
areal	8	0.9688150809658123	0.06841229902036217	0.046875	0.0	0.96	128	128	0.0	0.0
grpo	9	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	9	1.3710310286236083	0.09222385016580077	0.041015625	0.0	1.2830188679245282	128	128	0.0	0.0
gift	9	23.855109120421123	0.919886941781201	0.44384765625	0.44140625	0.823997641509434	128	128	0.0	0.44140625
areal	9	3.4030469454895376	0.13036514829071189	0.046875	0.0	1.2075471698113207	128	128	0.0	0.0
grpo	10	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	10	0.09292473840260314	0.021689723390498676	0.03125	0.0	0.8113207547169812	128	128	0.0	0.0
gift	10	6.786013533389299	0.7276500893960501	0.44677734375	0.44140625	0.7178655660377359	128	128	0.0	0.44140625
areal	10	1.1147813530573822	0.06196792350900489	0.0234375	0.0	0.8113207547169812	128	128	0.0	0.0
grpo	11	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	11	2.6659843688042	0.12679418965921385	0.06640625	0.0	1.5	128	128	0.0	0.0
gift	11	6.543446245416218	0.6443773107470159	0.38623046875	0.37890625	1.1926185344827587	128	128	0.0	0.37890625
areal	11	1.6251368651727043	0.12142660174755912	0.05859375	0.0	1.4137931034482758	128	128	0.0	0.0
grpo	12	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	12	0.30173056944541254	0.09956663757746086	0.05078125	0.0	1.564102564102564	128	128	0.0	0.0
gift	12	25.955988754258218	0.9999991593577551	0.47119140625	0.46875	0.7532051282051282	128	128	0.0	0.46875
areal	12	2.1777737987347074	0.08312904555661756	0.0390625	0.0	1.1538461538461537	128	128	0.0	0.0
grpo	13	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	13	6.18465034623725	0.2089575876819706	0.107421875	0.0	1.4507042253521127	128	128	0.0	0.0
gift	13	9.227138406977161	0.6794905198938579	0.369140625	0.35546875	1.1503080985915493	128	128	0.0	0.35546875
areal	13	5.911379710191158	0.17916909485493565	0.08203125	0.0	1.352112676056338	128	128	0.0	0.0
grpo	14	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	14	1.0242123732358528	0.03301211272952469	0.0234375	0.0	1.0952380952380953	128	128	0.0	0.0
gift	14	24.077773927986854	0.8723347531409489	0.46875	0.46875	0.6398809523809523	128	128	0.0	0.46875
areal	14	0.052837731141048644	0.016278410746848417	0.0234375	0.0	1.2857142857142858	128	128	0.0	0.0
grpo	15	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	15	0.658378438813441	0.019792448791083342	0.03125	0.0	0.6981132075471698	128	128	0.0	0.0
gift	15	21.055213119943485	0.7165569588627214	0.4248046875	0.421875	1.0141509433962264	128	128	0.0	0.421875
areal	15	2.442895632844235	0.14209610940447392	0.064453125	0.0	0.8113207547169812	128	128	0.0	0.0
grpo	16	0.0	0.0	0.0	0.0	1.0	128	128	0.0	0.0
aero	16	2.9926354382033407	0.16855249334919628	0.048828125	0.0	1.131578947368421	128	128	0.0	0.0
gift	16	8.6866608748703	0.666846688635993	0.373046875	0.37109375	0.9118009868421053	128	128	0.0	0.37109375
