method	step	zvf_obs	zvf_iid	zvf_delta	reward_mean
grpo	0	0.6875	0.77966	-0.09216	0.8125
grpo	1	0.5	0.578408	-0.078408	0.820312
grpo	2	0.6875	0.743455	-0.055955	0.828125
grpo	3	0.75	0.805467	-0.055467	0.796875
grpo	4	0.6875	0.728238	-0.040738	0.804688
grpo	5	0.6875	0.737686	-0.050186	0.6875
grpo	6	0.8125	0.841713	-0.029213	0.796875
grpo	7	0.6875	0.758673	-0.071173	0.710938
grpo	8	0.5625	0.642402	-0.079902	0.726562
grpo	9	0.6875	0.744447	-0.056947	0.882812
grpo	10	0.6875	0.744447	-0.056947	0.882812
grpo	11	0.6875	0.737686	-0.050186	0.71875
grpo	12	0.8125	0.826496	-0.013996	0.945312
grpo	13	0.5625	0.656628	-0.094128	0.742188
grpo	14	0.75	0.799697	-0.049697	0.875
grpo	15	0.75	0.774923	-0.024923	0.851562
grpo	16	0.625	0.66343	-0.03843	0.734375
grpo	17	0.5	0.585169	-0.085169	0.84375
grpo	18	0.5625	0.586201	-0.023701	0.648438
grpo	19	0.625	0.713862	-0.088862	0.78125
grpo	20	0.625	0.667218	-0.042218	0.828125
grpo	21	0.75	0.79591	-0.04591	0.859375
grpo	22	0.75	0.780693	-0.030693	0.882812
grpo	23	0.875	0.902734	-0.027734	0.882812
grpo	24	0.8125	0.876927	-0.064427	0.929688
grpo	25	0.5625	0.636632	-0.074132	0.789062
grpo	26	0.8125	0.861709	-0.049209	0.875
grpo	27	0.9375	0.937988	-0.000488	0.96875
grpo	28	0.8125	0.856931	-0.044431	0.898438
grpo	29	0.8125	0.855939	-0.043439	0.953125
grpo	30	0.8125	0.861709	-0.049209	0.9375
grpo	31	0.75	0.820685	-0.070685	0.914062
grpo	32	0.6875	0.723459	-0.035959	0.890625
grpo	33	0.6875	0.759664	-0.072164	0.875
grpo	34	0.875	0.902734	-0.027734	0.898438
grpo	35	0.9375	0.943758	-0.006258	0.859375
grpo	36	0.8125	0.856931	-0.044431	0.898438
grpo	37	0.75	0.78448	-0.03448	0.726562
grpo	38	0.6875	0.744447	-0.056947	0.804688
grpo	39	0.75	0.780693	-0.030693	0.804688
aero	0	0.6875	0.774882	-0.087382	0.789062
aero	1	0.6875	0.698685	-0.011185	0.820312
aero	2	0.8125	0.876927	-0.064427	0.867188
aero	3	0.6875	0.724451	-0.036951	0.757812
aero	4	0.75	0.757723	-0.007723	0.828125
aero	5	0.5625	0.64718	-0.08468	0.640625
aero	6	0.75	0.770254	-0.020254	0.742188
aero	7	0.625	0.692874	-0.067874	0.710938
aero	8	0.6875	0.697694	-0.010194	0.75
aero	9	0.625	0.683426	-0.058426	0.859375
aero	10	0.75	0.79025	-0.04025	0.851562
aero	11	0.5625	0.609984	-0.047484	0.757812
aero	12	0.6875	0.724451	-0.036951	0.867188
aero	13	0.5625	0.578449	-0.015949	0.710938
aero	14	0.75	0.793928	-0.043928	0.921875
aero	15	0.8125	0.836935	-0.024435	0.882812
aero	16	0.5625	0.619432	-0.056932	0.71875
aero	17	0.5625	0.615645	-0.053145	0.78125
aero	18	0.625	0.681444	-0.056444	0.703125
aero	19	0.625	0.667218	-0.042218	0.78125
aero	20	0.625	0.691883	-0.066883	0.828125
aero	21	0.8125	0.855939	-0.043439	0.90625
aero	22	0.6875	0.774882	-0.087382	0.898438
aero	23	0.8125	0.846492	-0.033992	0.867188
aero	24	0.8125	0.876927	-0.064427	0.929688
aero	25	0.6875	0.744447	-0.056947	0.820312
aero	26	0.875	0.882738	-0.007738	0.820312
aero	27	0.9375	0.93898	-0.00148	0.976562
aero	28	0.8125	0.855939	-0.043439	0.90625
aero	29	0.875	0.887516	-0.012516	0.9375
aero	30	0.8125	0.861709	-0.049209	0.9375
aero	31	0.8125	0.861709	-0.049209	0.90625
aero	32	0.75	0.779701	-0.029701	0.875
aero	33	0.625	0.698644	-0.073644	0.867188
aero	34	0.875	0.897955	-0.022955	0.890625
aero	35	0.8125	0.840722	-0.028222	0.820312
aero	36	0.8125	0.846492	-0.033992	0.898438
aero	37	0.6875	0.753895	-0.066395	0.703125
aero	38	0.6875	0.752903	-0.065403	0.804688
aero	39	0.625	0.733857	-0.108857	0.765625
gift	0	0.75	0.764484	-0.014484	0.820312
gift	1	0.5625	0.640419	-0.077919	0.804688
gift	2	0.6875	0.794878	-0.107378	0.851562
gift	3	0.5625	0.651959	-0.089459	0.757812
gift	4	0.6875	0.744447	-0.056947	0.867188
gift	5	0.625	0.733857	-0.108857	0.625
gift	6	0.75	0.780693	-0.030693	0.789062
gift	7	0.6875	0.764443	-0.076943	0.726562
gift	8	0.625	0.682435	-0.057435	0.710938
gift	9	0.625	0.71864	-0.09364	0.882812
gift	10	0.75	0.814915	-0.064915	0.882812
gift	11	0.625	0.671996	-0.046996	0.757812
gift	12	0.75	0.785471	-0.035471	0.9375
gift	13	0.5625	0.600427	-0.037927	0.710938
gift	14	0.8125	0.835943	-0.023443	0.9375
gift	15	0.625	0.697653	-0.072653	0.84375
gift	16	0.625	0.688205	-0.063205	0.742188
gift	17	0.75	0.751953	-0.001953	0.8125
gift	18	0.625	0.677657	-0.052657	0.703125
gift	19	0.75	0.799697	-0.049697	0.84375
gift	20	0.6875	0.737686	-0.050186	0.828125
gift	21	0.75	0.780693	-0.030693	0.867188
gift	22	0.875	0.897955	-0.022955	0.890625
gift	23	0.875	0.897955	-0.022955	0.890625
gift	24	0.875	0.917951	-0.042951	0.9375
gift	25	0.75	0.764484	-0.014484	0.851562
gift	26	0.8125	0.856931	-0.044431	0.898438
gift	27	0.9375	0.943758	-0.006258	0.953125
gift	28	0.875	0.902734	-0.027734	0.929688
gift	29	0.9375	0.93898	-0.00148	0.960938
gift	30	0.875	0.881746	-0.006746	0.921875
gift	31	0.9375	0.958976	-0.021476	0.929688
gift	32	0.75	0.79591	-0.04591	0.84375
gift	33	0.9375	0.958976	-0.021476	0.929688
gift	34	1.0	1.0	0.0	0.9375
gift	35	0.9375	0.958976	-0.021476	0.820312
gift	36	0.9375	0.937988	-0.000488	0.90625
gift	37	0.875	0.897955	-0.022955	0.78125
gift	38	0.9375	0.93898	-0.00148	0.835938
gift	39	0.8125	0.820726	-0.008226	0.867188
areal	0	0.6875	0.739668	-0.052168	0.859375
areal	1	0.5	0.578408	-0.078408	0.851562
areal	2	0.6875	0.773891	-0.086391	0.8125
areal	3	0.6875	0.724451	-0.036951	0.742188
areal	4	0.5	0.6356	-0.1356	0.828125
areal	5	0.75	0.79591	-0.04591	0.65625
areal	6	0.6875	0.754886	-0.067386	0.820312
areal	7	0.875	0.917951	-0.042951	0.75
areal	8	0.625	0.677657	-0.052657	0.75
areal	9	0.6875	0.719672	-0.032172	0.859375
areal	10	0.6875	0.774882	-0.087382	0.882812
areal	11	0.5	0.601378	-0.101378	0.734375
areal	12	0.8125	0.816939	-0.004439	0.914062
areal	13	0.5625	0.587193	-0.024693	0.71875
areal	14	0.6875	0.743455	-0.055955	0.890625
areal	15	0.6875	0.774882	-0.087382	0.835938
areal	16	0.625	0.703422	-0.078422	0.75
areal	17	0.5	0.574621	-0.074621	0.789062
areal	18	0.5625	0.636632	-0.074132	0.664062
areal	19	0.75	0.763493	-0.013493	0.75
areal	20	0.6875	0.701481	-0.013981	0.84375
areal	21	0.6875	0.773891	-0.086391	0.84375
areal	22	0.8125	0.855939	-0.043439	0.90625
areal	23	0.8125	0.841713	-0.029213	0.875
areal	24	0.875	0.902734	-0.027734	0.929688
areal	25	0.625	0.643435	-0.018435	0.828125
areal	26	0.875	0.882738	-0.007738	0.835938
areal	27	0.9375	0.943758	-0.006258	0.953125
areal	28	0.875	0.897955	-0.022955	0.90625
areal	29	0.8125	0.855939	-0.043439	0.953125
areal	30	0.75	0.800689	-0.050689	0.914062
areal	31	0.5625	0.697611	-0.135111	0.875
areal	32	0.75	0.780693	-0.030693	0.898438
areal	33	0.625	0.697653	-0.072653	0.875
areal	34	0.6875	0.77966	-0.09216	0.859375
areal	35	0.8125	0.861709	-0.049209	0.84375
areal	36	0.75	0.800689	-0.050689	0.898438
areal	37	0.6875	0.737686	-0.050186	0.671875
areal	38	0.8125	0.841713	-0.029213	0.78125
areal	39	0.75	0.785471	-0.035471	0.796875
