a	b	n_steps	delta_div_diff	delta_div_mean_a	delta_div_mean_b	delta_div_lo	delta_div_hi	delta_div_sig	delta_div_p	y_obs_diff	y_obs_mean_a	y_obs_mean_b	y_obs_lo	y_obs_hi	y_obs_sig	y_obs_p	zvf_obs_diff	zvf_obs_mean_a	zvf_obs_mean_b	zvf_obs_lo	zvf_obs_hi	zvf_obs_sig	zvf_obs_p	verdict_delta_div	verdict_y_obs	verdict_zvf_obs
grpo	aero	40	0.004369	0.049686	0.045317	-0.004811	0.013805	False	0.364	0.0	0.279687	0.279687	-0.023438	0.023438	False	1.0	0.0	0.720313	0.720313	-0.023438	0.023438	False	1.0	NS(+0.0044)	NS(+0.0000)	NS(+0.0000)
grpo	areal	40	-0.003518	0.049686	0.053204	-0.015346	0.007773	False	0.5415	-0.014063	0.279687	0.29375	-0.042187	0.0125	False	0.311	0.014062	0.720313	0.70625	-0.0125	0.042187	False	0.311	NS(-0.0035)	NS-trend(-0.0141)	NS-trend(+0.0141)
grpo	gift	40	0.01026	0.049686	0.039426	-0.000683	0.021027	False	0.0655	0.05	0.279687	0.229687	0.020312	0.079688	True	0.001	-0.05	0.720313	0.770312	-0.079688	-0.020312	True	0.001	NS-trend(+0.0103)	grpo>gift	grpo<gift
aero	areal	40	-0.007887	0.045317	0.053204	-0.020858	0.004867	False	0.215	-0.014063	0.279687	0.29375	-0.048437	0.01875	False	0.4115	0.014062	0.720313	0.70625	-0.01875	0.048438	False	0.4115	NS-trend(-0.0079)	NS-trend(-0.0141)	NS-trend(+0.0141)
aero	gift	40	0.005891	0.045317	0.039426	-0.005801	0.017685	False	0.3205	0.05	0.279687	0.229687	0.01875	0.08125	True	0.002	-0.05	0.720313	0.770312	-0.08125	-0.01875	True	0.002	NS-trend(+0.0059)	aero>gift	aero<gift
areal	gift	40	0.013778	0.053204	0.039426	0.001574	0.026824	True	0.0275	0.064063	0.29375	0.229687	0.028125	0.103125	True	0.0	-0.064062	0.70625	0.770312	-0.103125	-0.028125	True	0.0	areal>gift	areal>gift	areal<gift
