contrast	c	mean_gap	lo	mean_20raw	mean_loo	h_pass	lift_frac
24full-20raw	1	-0.001440	-0.001620	0.006140	0.004700	1	+1.0000
24full-20raw	10	-0.002720	-0.004120	0.015120	0.012400	1	+1.0000
24full-20raw	100	-0.011160	-0.014060	0.030200	0.019040	1	+1.0000
24full-20raw	1000	-0.015540	-0.020160	0.034780	0.019240	1	+1.0000
23_noVmean-20raw	1	-0.001000	-0.001320	0.006140	0.005140	1	+0.6944
23_noVmean-20raw	10	-0.001960	-0.003360	0.015120	0.013160	1	+0.7206
23_noVmean-20raw	100	-0.011480	-0.014880	0.030200	0.018720	1	+1.0287
23_noVmean-20raw	1000	-0.013820	-0.019883	0.034780	0.020960	1	+0.8893
23_noVstd-20raw	1	-0.001260	-0.001500	0.006140	0.004880	1	+0.8750
23_noVstd-20raw	10	-0.003320	-0.005080	0.015120	0.011800	1	+1.2206
23_noVstd-20raw	100	-0.010880	-0.013160	0.030200	0.019320	1	+0.9749
23_noVstd-20raw	1000	-0.015020	-0.020580	0.034780	0.019760	1	+0.9665
23_noVmax-20raw	1	-0.000800	-0.001200	0.006140	0.005340	1	+0.5556
23_noVmax-20raw	10	-0.000560	-0.002140	0.015120	0.014560	0	+0.2059
23_noVmax-20raw	100	-0.006360	-0.009000	0.030200	0.023840	1	+0.5699
23_noVmax-20raw	1000	-0.010520	-0.016260	0.034780	0.024260	1	+0.6770
23_noVmin-20raw	1	-0.000780	-0.001260	0.006140	0.005360	1	+0.5417
23_noVmin-20raw	10	-0.001640	-0.003380	0.015120	0.013480	1	+0.6029
23_noVmin-20raw	100	-0.009700	-0.014080	0.030200	0.020500	1	+0.8692
23_noVmin-20raw	1000	-0.011680	-0.020360	0.034780	0.023100	1	+0.7516
4sensor-20raw	1	+0.008000	+0.007780	0.006140	0.014140	0	-5.5556
4sensor-20raw	10	+0.065080	+0.062620	0.015120	0.080200	0	-23.9265
4sensor-20raw	100	+0.182820	+0.172060	0.030200	0.213020	0	-16.3817
4sensor-20raw	1000	+0.249120	+0.223720	0.034780	0.283900	0	-16.0309
