framework	method	method_transferable_from	n_other_methods_for_framework	framework_has_2plus_methods	method_already_covered	priority_score	status
zvf130	dapo	colab-open,tinker	11	True	True	18	UNMINED
zvf130	drgrpo	colab-open,tinker	11	True	True	18	UNMINED
zvf130	gspo	tinker	11	True	True	17	UNMINED
zvf130	ppo-reinforce	tinker	11	True	True	17	UNMINED
tinker	cppo	zvf130	8	True	True	14	UNMINED
tinker	es	zvf130	8	True	True	14	UNMINED
tinker	mcgrpo	zvf130	8	True	True	14	UNMINED
tinker	ngrpo	zvf130	8	True	True	14	UNMINED
tinker	scafgrpo	zvf130	8	True	True	14	UNMINED
tinker	tool_use_llama-8b-inst	zvf130	8	True	True	14	UNMINED
tinker	tool_use_qwen3-32b	zvf130	8	True	True	14	UNMINED
colab-open	aero	tinker,zvf130	3	True	True	10	UNMINED
colab-open	areal	tinker,zvf130	3	True	True	10	UNMINED
colab-open	gift	tinker,zvf130	3	True	True	10	UNMINED
colab-open	cppo	zvf130	3	True	True	9	UNMINED
colab-open	es	zvf130	3	True	True	9	UNMINED
colab-open	gspo	tinker	3	True	True	9	UNMINED
colab-open	mcgrpo	zvf130	3	True	True	9	UNMINED
colab-open	ngrpo	zvf130	3	True	True	9	UNMINED
colab-open	ppo-reinforce	tinker	3	True	True	9	UNMINED
colab-open	scafgrpo	zvf130	3	True	True	9	UNMINED
colab-open	tool_use_llama-8b-inst	zvf130	3	True	True	9	UNMINED
colab-open	tool_use_qwen3-32b	zvf130	3	True	True	9	UNMINED
openrlhf	aero	tinker,zvf130	1	False	True	5	UNMINED
trl	aero	tinker,zvf130	1	False	True	5	UNMINED
verl	aero	tinker,zvf130	1	False	True	5	UNMINED
openrlhf	areal	tinker,zvf130	1	False	True	5	UNMINED
trl	areal	tinker,zvf130	1	False	True	5	UNMINED
verl	areal	tinker,zvf130	1	False	True	5	UNMINED
openrlhf	dapo	colab-open,tinker	1	False	True	5	UNMINED
trl	dapo	colab-open,tinker	1	False	True	5	UNMINED
verl	dapo	colab-open,tinker	1	False	True	5	UNMINED
openrlhf	drgrpo	colab-open,tinker	1	False	True	5	UNMINED
trl	drgrpo	colab-open,tinker	1	False	True	5	UNMINED
verl	drgrpo	colab-open,tinker	1	False	True	5	UNMINED
openrlhf	gift	tinker,zvf130	1	False	True	5	UNMINED
trl	gift	tinker,zvf130	1	False	True	5	UNMINED
verl	gift	tinker,zvf130	1	False	True	5	UNMINED
openrlhf	cppo	zvf130	1	False	True	4	UNMINED
trl	cppo	zvf130	1	False	True	4	UNMINED
verl	cppo	zvf130	1	False	True	4	UNMINED
openrlhf	es	zvf130	1	False	True	4	UNMINED
trl	es	zvf130	1	False	True	4	UNMINED
verl	es	zvf130	1	False	True	4	UNMINED
openrlhf	gspo	tinker	1	False	True	4	UNMINED
trl	gspo	tinker	1	False	True	4	UNMINED
verl	gspo	tinker	1	False	True	4	UNMINED
openrlhf	mcgrpo	zvf130	1	False	True	4	UNMINED
trl	mcgrpo	zvf130	1	False	True	4	UNMINED
verl	mcgrpo	zvf130	1	False	True	4	UNMINED
openrlhf	ngrpo	zvf130	1	False	True	4	UNMINED
trl	ngrpo	zvf130	1	False	True	4	UNMINED
verl	ngrpo	zvf130	1	False	True	4	UNMINED
openrlhf	ppo-reinforce	tinker	1	False	True	4	UNMINED
trl	ppo-reinforce	tinker	1	False	True	4	UNMINED
verl	ppo-reinforce	tinker	1	False	True	4	UNMINED
openrlhf	scafgrpo	zvf130	1	False	True	4	UNMINED
trl	scafgrpo	zvf130	1	False	True	4	UNMINED
verl	scafgrpo	zvf130	1	False	True	4	UNMINED
openrlhf	tool_use_llama-8b-inst	zvf130	1	False	True	4	UNMINED
trl	tool_use_llama-8b-inst	zvf130	1	False	True	4	UNMINED
verl	tool_use_llama-8b-inst	zvf130	1	False	True	4	UNMINED
openrlhf	tool_use_qwen3-32b	zvf130	1	False	True	4	UNMINED
trl	tool_use_qwen3-32b	zvf130	1	False	True	4	UNMINED
verl	tool_use_qwen3-32b	zvf130	1	False	True	4	UNMINED
